YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.1617779	0.1103365	0.6191865	0.3487130	0.4233102	0.7038119	0.5581596	0.7297678	0.0624283	0.7044629
0.2158530	0.0455752	0.5665627	0.3483617	0.2223046	0.2560084	0.3493923	0.7962041	0.0526562	0.7498874
0.3953714	0.2279319	0.3903497	0.1227255	0.3235995	0.3495836	0.3055221	0.7635322	0.0577337	0.8223300
0.2427561	0.0391818	0.6299490	0.1555777	0.1488140	0.2661353	0.3818894	0.7310390	0.1152152	0.7431252
0.0781530	0.0673574	0.5939295	0.5155908	0.1791675	0.6409749	0.6023267	0.6960305	0.0551299	0.7103226
0.1666616	0.1016443	0.5304475	0.5538284	0.2090988	0.3755974	0.7555194	0.6831163	0.0623969	0.8098933
0.0887663	0.0303469	0.4816150	0.5818135	0.1294894	0.2864826	0.3910317	0.6226592	0.0511906	0.7185150
0.2719824	0.0745617	0.5821992	0.2502481	0.1591783	0.1622965	0.3649617	0.3312000	0.0840244	0.7319346
0.1687561	0.0687356	0.5056496	0.3841394	0.2320980	0.4749927	0.5241612	0.8677417	0.0235119	0.6132159
0.2586331	0.0886515	0.7291720	0.2754183	0.2854315	0.3721922	0.4798680	0.7174391	0.0814896	0.3675614
