YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0425436	0.0730748	0.3245443	0.2494590	0.5379173	0.6428540	0.6156002	1.0000000	0.3147498	0.9971395
0.0841214	0.0517006	0.3612788	0.2284710	0.5786330	0.6428540	0.6156002	1.0000000	0.3350505	0.9990621
0.0837444	0.0219940	0.1920417	0.2162848	0.6062713	0.6428540	0.6156002	1.0000000	0.3482310	0.9999714
0.0863593	0.0515598	0.3114324	0.1832455	0.5101840	0.6428540	0.6156002	1.0000000	0.2321174	0.9990648
0.0837345	0.0177499	0.1545603	0.4614899	0.3038433	0.6428540	0.6156002	1.0000000	0.2094872	0.9999983
0.0935669	0.0663326	0.2336968	0.3071338	0.5941602	0.3214270	0.6156002	1.0000000	0.2742544	0.9913805
0.1615759	0.1411272	0.2690740	0.3670703	0.4270170	0.0895676	0.3078001	1.0000000	0.2731157	0.9790718
0.2731890	0.2780693	0.3953494	0.3230273	0.3637888	0.1316896	0.3442314	0.5000000	0.3235653	0.9606771
0.0850871	0.0730748	0.3245443	0.2494590	0.5379173	0.6428540	0.6156002	1.0000000	0.1570149	0.9997898
0.0850871	0.0730748	0.3245443	0.2494590	0.5379173	0.6428540	0.6156002	1.0000000	0.5133290	0.4917130
