YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.0000000	0.3226198	0.1878814	0.5519859	0.9876710	0.0590396	0.0598049	0.6262787	0.9743232	0.9577365
0.3729393	0.0000000	0.1943974	0.4899809	0.9825016	0.0716048	0.0718558	0.5765293	0.9397176	0.9820393
0.4976362	0.0200990	0.0000000	0.4952308	0.9691010	0.0580345	0.0422507	0.5378460	1.0292970	0.9800218
0.0142079	0.0525720	0.0279314	0.0000000	0.9538846	0.0597735	0.0514681	0.6511022	0.9796051	1.0196902
0.7807004	0.9070293	0.6634742	0.9432080	0.0000000	0.2732547	0.0561377	0.6103473	1.0424634	0.2279397
0.3817266	0.2007845	0.1392176	0.3734545	1.0416898	0.0000000	0.0414430	0.6023502	1.0791027	0.9875440
0.4572421	0.2322540	0.1636133	0.5685144	1.0229890	0.0330456	0.0000000	0.6367418	1.0126265	0.9632381
0.6336254	0.7404619	0.5206548	0.8686057	0.7076866	0.5832970	0.9318078	0.0000000	0.9987437	0.0494973
0.4085025	0.2862134	0.1480765	0.5861245	0.9479134	0.1022886	0.0901506	0.0960332	0.0000000	0.9901714
0.4426147	0.4405225	0.2356862	0.6367243	0.9658774	0.0760210	0.0478858	0.6506164	0.9869751	0.0000000
