"Time"	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W

0	0.5157466	0.6993305	0.8839651	0.0742399	0.1172535	0.1164368	0.8984917	0.7550224	0.0524023	0.6791211
50	0.6061740	0.7967924	0.4987173	0.6181292	0.1172377	0.0433584	0.7123998	0.7744134	0.0490572	0.7894945
100	0.5369034	0.7331942	0.0754171	0.6194967	0.2658496	0.0124078	0.8666141	0.7430561	0.1051378	0.8035421
150	0.4481169	0.6327271	0.0508270	0.6788850	0.4993761	0.0071269	0.7157873	0.7473404	0.0674560	0.6258332
200	0.6164579	0.8904270	0.0350177	0.7028791	0.5067652	0.0023528	0.6398865	0.7655013	0.0728784	0.5739108
250	0.4598712	0.7275166	0.0036759	0.7130614	0.5696869	0.0079152	0.5886103	0.7081108	0.0973666	0.7442110
300	0.5493477	0.7233008	0.0079498	0.7506427	0.5702807	0.0176350	0.6314561	0.7623189	0.0911988	0.6901652
350	0.6932731	0.8233258	0.0106052	0.7294593	0.6024830	0.0100261	0.7224535	0.7724082	0.0625428	0.9033294
400	0.6171790	0.6896653	0.0039136	0.7411124	0.5923000	0.0034166	0.7032469	0.8509106	0.0659415	0.7820649
450	0.6866852	0.7737456	0.0344439	0.7125443	0.5884987	0.0100688	0.7350278	0.7427599	0.0846077	0.5182733
500	0.5785353	0.7002566	0.0023341	0.8594531	0.5428589	0.0006281	0.7770954	0.7016069	0.0715213	0.7878999
550	0.6332773	0.7780020	0.0088243	0.4075009	0.6519938	0.0823948	0.8787295	0.6219691	0.0629898	0.7739464
600	0.6608352	0.6552942	0.0346624	0.3898165	0.4685716	0.1062185	0.7934824	0.7774026	0.0960659	0.8024732
650	0.6018798	0.8732272	0.0415253	0.2756796	0.2889468	0.1448787	0.7932426	0.7463686	0.1057837	0.6938381
700	0.6296457	0.7262513	0.1473772	0.2640562	0.2942146	0.0970581	0.6721416	0.7664860	0.0880897	0.6605791
750	0.5944217	0.8483282	0.2442606	0.1199647	0.2607182	0.1833776	0.6819910	0.6425122	0.0431358	0.6145629
800	0.5847503	0.7948802	0.5859589	0.1386925	0.2170577	0.1949011	0.6873305	0.7600734	0.1126559	0.8009133
850	0.6162492	0.8329683	0.6787129	0.1001685	0.1802071	0.1666374	0.7627957	0.7374683	0.0875665	0.7724687
900	0.5551153	0.6705645	0.5934516	0.0400742	0.1127897	0.1185788	0.7368936	0.7820601	0.0916407	0.9056121
950	0.5629869	0.7149781	0.8362771	0.0938934	0.1014632	0.0954037	0.6810312	0.7100720	0.1113491	0.7752958
1000	0.5917612	0.8118118	0.6977115	0.0769570	0.0870477	0.1396507	0.6549219	0.8188874	0.0800305	0.8287984

0	0.6763568	0.7145985	0.9059722	0.0696415	0.1643484	0.2764850	0.8110547	0.7615959	0.0512316	0.7405860
50	0.5541211	0.6758620	0.2643994	0.1966244	0.1229735	0.1712850	0.7798459	0.6511028	0.1715953	0.1860454
100	0.5581288	0.7703089	0.1556683	0.2045462	0.0927235	0.1818646	0.7255207	0.6988462	0.1776623	0.0670915
150	0.6177781	0.8538622	0.0908926	0.2412200	0.1282838	0.2110626	0.5370834	0.8231884	0.2746007	0.0691482
200	0.5923097	0.6619092	0.0683186	0.3768702	0.2989932	0.1315398	0.7694272	0.8510561	0.3132919	0.1097037
