YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.0593314	0.2871387	0.8933676	0.5363264	0.7564483	0.5056258	0.2251793	0.0175127	0.8868957	0.5414270
0.1752893	0.1772546	0.7787774	0.4515383	0.5988589	0.9697547	0.6600191	0.0400494	0.4737999	0.6029689
0.1113340	0.3546935	0.3892305	0.4512938	0.5983744	0.9719058	0.6769369	0.0422309	0.4619946	0.6031494
0.1111629	0.3573030	0.1280357	0.2241347	0.5933623	0.9909520	0.9639435	0.3087410	0.2112061	0.6053400
0.1054912	0.5904300	0.1508014	0.2365673	0.2966461	0.9912060	0.9725068	0.3727722	0.1937799	0.7660190
0.1205510	0.2774908	0.9049213	0.5493347	0.7836735	0.4437913	0.4292225	0.0237101	0.6404450	0.5319233
0.1199017	0.2811371	0.9009731	0.5441984	0.7725479	0.4687075	0.2142905	0.0236751	0.6414045	0.5356933
0.1122651	0.3419488	0.8055392	0.4663547	0.6240428	0.8790040	0.4179277	0.0116224	0.6502788	0.5922380
0.1112056	0.3567782	0.7738603	0.4488496	0.5943089	0.9873337	0.8683434	0.1023133	0.3241872	0.6049207
0.1129858	0.3329917	0.8227257	0.4772942	0.6433178	0.8147149	0.3577171	0.0210634	0.7070788	0.2921549
