YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.0867185	0.0703799	0.1039395	0.1977659	0.2493944	0.6262668	0.0681266	0.0094006	0.9819996	1.0000000
0.1734323	0.0351915	0.1039395	0.1977659	0.2493944	0.6262668	0.0681266	0.0093040	0.9819996	1.0000000
0.1734320	0.0701555	0.0519696	0.1977658	0.2493944	0.6262668	0.0681266	0.0093994	0.9819997	1.0000000
0.0876722	0.0701405	0.0254874	0.0988830	0.2493944	0.6262668	0.0681266	0.0084506	0.9986073	1.0000000
0.2658892	0.1588255	0.4763234	0.3021435	0.1246972	0.6262668	0.0681266	0.0163280	0.9190955	1.0000000
0.4116620	0.6173689	0.9214009	0.4893866	0.0528093	0.3249437	0.0741635	0.3081694	0.6631427	1.0000000
0.2206670	0.0788546	0.2588284	0.2504880	0.1692385	0.5252275	0.0340633	0.0110584	0.9578404	1.0000000
0.1734323	0.0703799	0.1039395	0.1977659	0.2493944	0.6262668	0.0681266	0.0047014	0.9819996	1.0000000
0.1665127	0.0702736	0.0895595	0.1900521	0.2666106	0.6467177	0.0730489	0.2988389	0.4922141	1.0000000
0.1734323	0.0703799	0.1039395	0.1977659	0.2493944	0.6262668	0.0681266	0.0093212	0.9834091	0.5000000
