YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
-0.33154116407968104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	-0.23477126052603126	0.0	0.0	-0.7461216717492789	0.18508436587643284	-0.4634546305387819	0.0
0.0	0.5346605870174449	-0.2347843344323337	-0.6947830002754927	0.0	0.0	-0.12986042397096753	0.028858641497832113	-0.035271249093075996	-0.24921117932535708
-0.6844750901218504	0.0	0.0	-0.5535596457775682	0.5525194807420645	0.0	-0.35910051316022873	0.6812121575791802	0.0	0.0
0.0	0.0	0.0	0.0	0.0	-0.878398439148441	0.0	0.0	0.0	0.0
0.0	0.46049479551149713	-0.10108156595379114	0.0	0.5341083531244818	-0.41534521663561463	0.0	0.0	0.0	0.0
0.0	0.7131293580634724	-0.9464941145852208	0.0	0.5035396037134502	0.0	-0.39006088906899095	0.5208043107856478	-0.3398177813142145	0.0
0.0	0.751364231971113	-0.9037397687789053	-0.6267315971199423	0.5615725575923148	0.0	0.0	0.0	0.0	0.0
0.0	0.19352480273230183	0.0	0.0	0.03895342959791157	0.0	0.0	0.0	0.0	0.0
-0.24179554148577154	0.21875050144737768	-0.3975643941666931	0.0	0.0	0.0	-0.8734967524651438	0.0	0.0	0.0
