YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.0000000	0.5794791	0.0568548	0.9147667	0.0945023	0.2579412	1.0255461	0.8793124	0.8571174	0.1833170
0.0502529	0.0000000	0.0503541	0.8842801	0.0784866	0.3185468	0.9907753	0.8351632	0.8650278	0.2405424
0.4188761	0.6899359	0.0000000	0.8067714	0.1160040	0.3018630	0.9696287	0.8778013	0.8537367	0.2895955
0.2770604	0.6322026	0.0510093	0.0000000	0.7525846	1.0168313	0.9136092	0.9297978	0.9825885	0.1676336
0.5422559	0.9235625	0.0485053	0.9701480	0.0000000	0.3396477	1.0133689	0.4644605	0.4809768	0.6857485
0.3977273	0.6204012	0.0610124	0.9608490	0.0610487	0.0000000	0.9943307	0.9584052	0.9160095	0.1805340
0.1384449	0.2843933	0.9981758	0.3355930	0.7731961	1.0242040	0.0000000	0.8799716	0.9445780	0.1552422
0.3436932	0.5830434	0.1269883	0.5911527	0.2668695	0.6496069	0.4113339	0.0000000	0.8767760	0.2263560
0.5692285	0.9632641	0.0982309	0.6449924	0.2489139	0.6138174	0.6444470	0.0229155	0.0000000	0.9652393
0.3130548	0.5500004	0.0571554	0.8561673	0.0877890	0.3024936	0.9225409	0.9351611	0.9967314	0.0000000
