YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.0710990	0.0556222	0.4334462	0.7656462	0.9994996	0.0122689	0.9374258	0.9328073	0.6958676	0.6503925
0.1014659	0.0278120	0.4334465	0.7656461	0.9994996	0.0122689	0.9374261	0.9328084	0.6958685	0.6503904
0.1270545	0.0456934	0.2161941	0.7682811	0.9994274	0.0131487	0.8832091	0.8179097	0.5416294	0.7861920
0.1986791	0.0917666	0.6539667	0.3823842	0.9995038	0.0122179	0.9411360	0.9446351	0.7284142	0.6219665
0.1342134	0.0503769	0.3684285	0.9485534	0.4997662	0.0123157	0.9337606	0.9215165	0.6703636	0.6725635
0.1421347	0.0556245	0.4334812	0.7655360	0.9998727	0.0061413	0.9374261	0.9328091	0.6958749	0.6503895
0.1420570	0.0555428	0.4323726	0.7688413	0.9888771	0.0554169	0.4687076	0.9327398	0.6956158	0.6505175
0.1387676	0.0534004	0.4095612	0.8274841	0.8254603	0.2339874	0.2943008	0.4647941	0.6880705	0.6571483
0.1399379	0.0541833	0.4185125	0.8034468	0.8988485	0.1693718	0.3282031	0.4793475	0.3786092	0.9073142
0.1440936	0.0569449	0.4458119	0.7365403	0.9994801	0.0125347	0.9186752	0.8832319	0.6084118	0.3640788
