"Time"	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W

0	0.1044440	0.3377650	0.4504641	0.4766209	0.7688291	0.1192842	0.1342700	0.0782714	0.0307201	0.2438067
50	0.1011313	0.3306010	0.3869876	0.4274554	0.8089454	0.1023479	0.1166736	0.0741086	0.0971367	0.1278728
100	0.1154534	0.4224628	0.3927123	0.3646987	0.7626785	0.1327611	0.1376152	0.0400534	0.1770334	0.1481113
150	0.1514378	0.5698972	0.5607007	0.4062532	0.7793780	0.1432478	0.0850816	0.1176465	0.2631562	0.1838072
200	0.1420337	0.3836783	0.5996919	0.4428673	0.5903554	0.1602467	0.1525588	0.0954054	0.3859415	0.1680641
250	0.1883694	0.4462011	0.5836289	0.4110862	0.7031556	0.1232056	0.1143820	0.1362819	0.3077873	0.1523093
300	0.1925288	0.5851236	0.6441523	0.5826000	0.7590710	0.1008365	0.0965099	0.1571673	0.3222290	0.2028983
350	0.2018220	0.6182533	0.6174637	0.4944726	0.7095746	0.0990846	0.1215512	0.1956532	0.3056964	0.1820480
400	0.2436969	0.5091141	0.5897630	0.5185557	0.7686137	0.0800696	0.0887769	0.1631099	0.3529796	0.1857727
450	0.2955888	0.6351696	0.5594121	0.5986516	0.7675215	0.1467695	0.1469227	0.1959915	0.4740899	0.1392336
500	0.4343805	0.6473773	0.5678377	0.4196613	0.7779077	0.0993463	0.1154923	0.1888408	0.3594382	0.2097033
550	0.3356883	0.7190400	0.5122052	0.4710079	0.6676232	0.1628648	0.1008898	0.1581263	0.2759976	0.2028328
600	0.2727086	0.5587668	0.3897632	0.4570593	0.7802263	0.0722754	0.1129027	0.1835226	0.1082935	0.2000148
650	0.2094293	0.4015276	0.5181808	0.4617670	0.7438035	0.0990333	0.0997521	0.1003634	0.0865322	0.1722325
700	0.1513860	0.3129752	0.5719043	0.7152836	0.6738687	0.1116487	0.0947670	0.1298756	0.0485695	0.1699428
750	0.0639570	0.3303121	0.4357320	0.6683036	0.6612794	0.0920847	0.0846504	0.1139115	0.0694189	0.3776641
800	0.0488715	0.3553973	0.4492977	0.5287860	0.6062877	0.0977313	0.1194441	0.1073336	0.0756928	0.3096541
850	0.0707246	0.3809087	0.5518981	0.6044599	0.7393567	0.1720244	0.0846862	0.0358638	0.1343248	0.3885916
900	0.1194581	0.3767694	0.5324496	0.4449933	0.7073842	0.1610431	0.0701809	0.0768789	0.0975775	0.2889502
950	0.1051284	0.3719926	0.4307981	0.5862247	0.6473517	0.1782364	0.1920797	0.0635394	0.0902335	0.2302978
1000	0.1482419	0.2670805	0.4050706	0.4946266	0.7659911	0.1185274	0.1297139	0.0754601	0.0837618	0.2609005

0	0.1381095	0.4086441	0.4760504	0.4670787	0.8871484	0.1304460	0.1196837	0.0595217	0.0311312	0.2121790
50	0.2404930	0.4476855	0.4405956	0.4312535	0.6742863	0.1447324	0.1371547	0.0464379	0.1539870	0.3614045
100	0.3711587	0.4427816	0.7164436	0.5559651	0.5023505	0.1417387	0.0874509	0.0768956	0.4159230	0.5069133
150	0.3856940	0.4363170	0.5478518	0.5285252	0.4848329	0.1093385	0.1240049	0.2022023	0.4974573	0.5057460
200	0.5153989	0.4726769	0.4861367	0.6157878	0.4155896	0.1038050	0.1462216	0.2422296	0.4687266	0.5507903
250	0.5393689	0.5273313	0.6399417	0.5080765	0.4285709	0.1941080	0.1777504	0.2937895	0.5879071	0.6884327
300	0.4003085	0.4797756	0.5688616	0.5864619	0.3884136	0.1436324	0.2464556	0.4459573	0.5103682	0.7668608
350	0.5205710	0.4315864	0.6513255	0.5603369	0.4746618	0.2039085	0.2654022	0.4872485	0.5520044	0.6740890
400	0.5436978	0.4893262	0.7593272	0.6054392	0.3792591	0.2438663	0.3342157	0.4482104	0.6531121	0.6970948
450	0.4480286	0.5176028	0.6554797	0.6876164	0.4059151	0.2993192	0.3042679	0.4724104	0.6204810	0.7801527
500	0.7366504	0.6272863	0.8377472	0.7966528	0.3156319	0.2966583	0.3112645	0.4483956	0.7162568	0.6805229
550	0.5881952	0.6210721	0.6565876	0.8195189	0.3767510	0.3186950	0.2728278	0.5339371	0.5583862	0.7181715
600	0.4200073	0.5725887	0.6971152	0.7611840	0.4736705	0.3643132	0.2529270	0.5778304	0.5929733	0.5741633
650	0.2510074	0.8137340	0.7257969	0.8106404	0.3775644	0.3497570	0.2973463	0.4413151	0.5064035	0.6270002
700	0.3690609	0.7623231	0.6115057	0.7924319	0.3598745	0.2548619	0.2556870	0.3879381	0.4245441	0.7025718
750	0.4064354	0.5963050	0.7126439	0.5857125	0.5542491	0.2812791	0.2592658	0.4027763	0.5084345	0.5794711
800	0.4063882	0.7998194	0.6895558	0.7727332	0.5357477	0.2440226	0.2855600	0.4127631	0.3838872	0.4965225
850	0.4413816	0.5767192	0.6082875	0.6509430	0.6421455	0.2471291	0.2253515	0.3068897	0.3151938	0.4912440
900	0.5299616	0.6570029	0.6661584	0.6242321	0.5105168	0.3233561	0.2053940	0.3329539	0.4776336	0.5972243
950	0.3118805	0.5710228	0.5458342	0.7212644	0.5413408	0.2789661	0.2861432	0.3036623	0.4217667	0.4941891
1000	0.2704268	0.4171109	0.5474558	0.5460587	0.5921760	0.2086310	0.2528717	0.3459849	0.3761855	0.4703362

0	0.1081513	0.3870600	0.4775523	0.3747786	0.7039796	0.1976840	0.1423788	0.0867166	0.0349655	0.2239760
50	0.0714838	0.3214043	0.4995188	0.3664272	0.9661183	0.1032493	0.0430083	0.0775396	0.1223270	0.4359851
100	0.1228910	0.2797881	0.3563938	0.3191909	0.8369489	0.0564937	0.0840488	0.0400662	0.2810539	0.6798109
150	0.0857482	0.1917955	0.4460880	0.2983285	0.9470460	0.0690704	0.1535768	0.0933280	0.4139154	0.8773806
