YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.0000001	0.1683867	1.0000000	0.0966567	0.4631915	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
1.0000000	0.0000000	1.0000000	0.4551137	0.5784613	0.9130059	0.4992014	0.7131938	0.2559344	0.1200392
0.2137306	1.0000000	0.0000000	0.0459306	0.4580534	0.9999999	0.0170321	0.6572121	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.0000001	0.4566945	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.2410930	0.0000001	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.2412944	0.0696340	0.0000000	0.0183260	0.1410917	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.3190219	0.5276625	1.0000000	0.0000002	0.6572121	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.3190235	0.5276644	0.9999999	0.0169897	0.0000000	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.3190218	0.5276625	0.9999995	0.0240421	0.6377525	0.0000004	0.0495538
0.6840931	0.1683867	1.0000000	0.3190235	0.5276644	0.9999995	0.0240744	0.6413728	0.0586313	0.0000010
