"Time"	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C

0	0.9859311	0.1294621	0.5122833	0.2533248	0.9655031	0.8666416	0.1687231	0.5607380	0.0745401	1.0000000
50	0.7358516	0.1289071	0.7857672	0.2532775	0.9669544	0.9409559	0.5225930	0.5812245	0.0337384	0.5109541
100	0.6110585	0.1271757	0.8431430	0.2527028	0.9711017	0.9756408	0.6119543	0.6014006	0.0870273	0.3634993
150	0.5354112	0.1253392	0.8599197	0.2513688	0.9750637	0.9888903	0.6281185	0.5320259	0.1910972	0.3190394
200	0.4977939	0.1239973	0.8667170	0.2497667	0.9777077	0.9937005	0.6283448	0.3913994	0.2597461	0.3056341
250	0.4824639	0.1231758	0.8698908	0.2483880	0.9792152	0.9954002	0.6256304	0.2880133	0.2895527	0.3015922
300	0.4774815	0.1227219	0.8714029	0.2474104	0.9800043	0.9959790	0.6233025	0.2336115	0.3006510	0.3003735
350	0.4764597	0.1224875	0.8721087	0.2467976	0.9803951	0.9961640	0.6220427	0.2084537	0.3045101	0.3000060
400	0.4765877	0.1223723	0.8724285	0.2464449	0.9805810	0.9962173	0.6215180	0.1975893	0.3058012	0.2998952
450	0.4768696	0.1223179	0.8725693	0.2462543	0.9806665	0.9962302	0.6213500	0.1931074	0.3062221	0.2998618
500	0.4770597	0.1222930	0.8726296	0.2461561	0.9807047	0.9962323	0.6213182	0.1913211	0.3063568	0.2998517
550	0.7116614	0.1223234	0.6525172	0.2461096	0.9806466	0.9867709	0.2381211	0.1571920	0.4613373	0.7888946
600	0.8685818	0.1225542	0.6085937	0.2461222	0.9802296	0.9658749	0.2343183	0.1509654	0.2127727	0.9363485
650	0.9273748	0.1231152	0.5923219	0.2462665	0.9791998	0.9517771	0.3656929	0.2384410	0.1160410	0.9808081
700	0.9182698	0.1236884	0.5832399	0.2466010	0.9781432	0.9599172	0.4546106	0.3767134	0.0868183	0.9942133
750	0.8879784	0.1238818	0.5818351	0.2469917	0.9778173	0.9694719	0.4218762	0.4763270	0.0782139	0.9982552
800	0.8866957	0.1237854	0.5842751	0.2472341	0.9780306	0.9713356	0.3191216	0.5271931	0.0756532	0.9994739
850	0.9156948	0.1236833	0.5857425	0.2472890	0.9782295	0.9633825	0.2398062	0.5496755	0.0748801	0.9998414
900	0.9466260	0.1238129	0.5830766	0.2472764	0.9779703	0.9455594	0.1977884	0.5589235	0.0746444	0.9999522
950	0.9667589	0.1243082	0.5749489	0.2473652	0.9769846	0.9218648	0.1785142	0.5625091	0.0745721	0.9999856
1000	0.9774171	0.1251603	0.5622793	0.2476950	0.9752379	0.8993316	0.1703226	0.5637067	0.0745499	0.9999957

0	0.9859311	0.1294621	0.5122833	0.2533248	0.9655031	0.8666416	0.1687231	0.5607380	0.0745401	1.0000000
50	0.9859096	0.1294429	0.6319666	0.1213591	0.9655538	0.8667945	0.1671601	0.5803697	0.0322350	0.7692687
100	0.9863147	0.1294355	0.6537012	0.0904031	0.9655714	0.8643571	0.1547140	0.6093450	0.0373333	0.6996997
150	0.9878586	0.1295333	0.6565473	0.0831445	0.9653064	0.8533177	0.1384276	0.6166441	0.0522285	0.6787236
200	0.9899482	0.1299288	0.6532644	0.0814890	0.9642319	0.8340134	0.1296107	0.6070308	0.0630000	0.6723989
250	0.9915045	0.1307165	0.6461098	0.0812584	0.9620431	0.8156731	0.1302451	0.5920707	0.0683836	0.6704920
300	0.9920644	0.1317054	0.6379118	0.0815100	0.9592135	0.8079267	0.1371553	0.5796691	0.0706189	0.6699170
350	0.9917011	0.1325000	0.6322696	0.0819669	0.9569107	0.8123695	0.1460373	0.5716860	0.0714540	0.6697436
400	0.9907361	0.1327997	0.6311289	0.0824222	0.9561002	0.8237540	0.1538554	0.5671906	0.0717464	0.6696914
450	0.9895532	0.1325890	0.6339377	0.0826953	0.9568244	0.8362206	0.1594429	0.5649434	0.0718445	0.6696756
500	0.9884610	0.1320594	0.6388217	0.0827123	0.9584442	0.8465195	0.1628623	0.5640605	0.0718765	0.6696708
550	0.9876020	0.1314337	0.5198838	0.2160474	0.9602633	0.8539056	0.1676374	0.5284731	0.1250701	0.9004007
600	0.9862044	0.1308442	0.5035622	0.2467136	0.9619097	0.8633848	0.1943951	0.4893604	0.1007613	0.9699693
650	0.9820039	0.1301949	0.5071602	0.2532872	0.9636702	0.8832252	0.2275210	0.4990139	0.0848262	0.9909453
700	0.9757869	0.1292981	0.5178589	0.2541468	0.9660142	0.9039382	0.2337856	0.5231937	0.0782315	0.9972699
750	0.9722094	0.1282788	0.5304874	0.2535225	0.9685402	0.9146431	0.2183646	0.5417774	0.0758078	0.9991768
800	0.9731490	0.1274491	0.5400178	0.2525064	0.9704854	0.9142206	0.1991674	0.5525373	0.0749631	0.9997518
850	0.9765286	0.1270130	0.5439437	0.2515543	0.9714519	0.9061938	0.1847475	0.5580611	0.0746782	0.9999252
900	0.9800205	0.1269954	0.5424806	0.2509110	0.9714494	0.8950888	0.1759551	0.5606979	0.0745844	0.9999774
950	0.9826320	0.1272952	0.5374287	0.2506620	0.9707242	0.8845708	0.1711964	0.5618317	0.0745542	0.9999932
1000	0.9842923	0.1277599	0.5309770	0.2507712	0.9696146	0.8765163	0.1688593	0.5621839	0.0745445	0.9999979

0	0.9859311	0.1294621	0.5122833	0.2533248	0.9655031	0.8666416	0.1687231	0.5607380	0.0745401	1.0000000
50	0.9859086	0.0706050	0.9055230	0.1412744	0.9815792	0.8668006	0.1672787	0.5794226	0.0339050	1.0000000
100	0.9862959	0.0508042	0.9769547	0.1131594	0.9865852	0.8644756	0.1548549	0.6127557	0.0250506	1.0000000
150	0.9878758	0.0442279	0.9899075	0.1053797	0.9880580	0.8531592	0.1361865	0.6325407	0.0231212	1.0000000
200	0.9902311	0.0423451	0.9921760	0.1030075	0.9881783	0.8306455	0.1214698	0.6415491	0.0227008	1.0000000
250	0.9923709	0.0423877	0.9924225	0.1022788	0.9874921	0.8021233	0.1126995	0.6452174	0.0226092	1.0000000
300	0.9938610	0.0433693	0.9922428	0.1021620	0.9861710	0.7752301	0.1081946	0.6465037	0.0225892	1.0000000
350	0.9947520	0.0447773	0.9919749	0.1023430	0.9844221	0.7547866	0.1061261	0.6467225	0.0225849	1.0000000
400	0.9952335	0.0462403	0.9917233	0.1026944	0.9825507	0.7416039	0.1053172	0.6464395	0.0225839	1.0000000
450	0.9954713	0.0475070	0.9915270	0.1031275	0.9808612	0.7342120	0.1051315	0.6459301	0.0225837	1.0000000
500	0.9955743	0.0484622	0.9913927	0.1035644	0.9795440	0.7306697	0.1052426	0.6453596	0.0225837	1.0000000
550	0.9956051	0.1088409	0.5153561	0.2156386	0.9473770	0.7294512	0.1059162	0.6334666	0.0632188	1.0000000
600	0.9955261	0.1293317	0.4270438	0.2487795	0.9366162	0.7316870	0.1118323	0.6010111	0.0720732	1.0000000
650	0.9950344	0.1361500	0.4119827	0.2613558	0.9335884	0.7450915	0.1263193	0.5746236	0.0740026	1.0000000
700	0.9937687	0.1378504	0.4160639	0.2664958	0.9350997	0.7728861	0.1444299	0.5605286	0.0744230	1.0000000
750	0.9917191	0.1372275	0.4307389	0.2677953	0.9402364	0.8060030	0.1596725	0.5546334	0.0745146	1.0000000
800	0.9893416	0.1355492	0.4513035	0.2666269	0.9471060	0.8342442	0.1693235	0.5531577	0.0745346	1.0000000
850	0.9872439	0.1336433	0.4722420	0.2640542	0.9536268	0.8537533	0.1739158	0.5538499	0.0745389	1.0000000
900	0.9857990	0.1319870	0.4896355	0.2610742	0.9587074	0.8652503	0.1751207	0.5553930	0.0745399	1.0000000
950	0.9850441	0.1307565	0.5020725	0.2583813	0.9621885	0.8709241	0.1745176	0.5570407	0.0745401	1.0000000
1000	0.9848109	0.1299461	0.5098791	0.2562866	0.9643450	0.8729055	0.1732113	0.5584366	0.0745401	1.0000000

0	0.9859311	0.1294621	0.5122833	0.2533248	0.9655031	0.8666416	0.1687231	0.5607380	0.0745401	1.0000000
50	0.9858970	0.1294159	0.7727195	0.2533211	0.9656264	0.8701899	0.1687835	0.5607328	0.0745401	1.0000000
100	0.9858760	0.1293188	0.8204421	0.2532768	0.9658802	0.8714390	0.1688063	0.5607550	0.0745401	1.0000000
150	0.9858651	0.1292244	0.8294187	0.2531895	0.9661212	0.8718845	0.1687982	0.5608059	0.0745401	1.0000000
200	0.9858619	0.1291573	0.8312239	0.2530876	0.9662883	0.8720331	0.1687631	0.5608697	0.0745401	1.0000000
250	0.9858651	0.1291171	0.8316387	0.2529990	0.9663862	0.8720598	0.1687113	0.5609287	0.0745401	1.0000000
300	0.9858727	0.1290959	0.8317514	0.2529351	0.9664365	0.8720309	0.1686565	0.5609739	0.0745401	1.0000000
350	0.9858824	0.1290865	0.8317828	0.2528948	0.9664582	0.8719787	0.1686088	0.5610040	0.0745401	1.0000000
400	0.9858921	0.1290837	0.8317862	0.2528726	0.9664639	0.8719221	0.1685730	0.5610218	0.0745401	1.0000000
450	0.9859004	0.1290842	0.8317789	0.2528621	0.9664618	0.8718721	0.1685490	0.5610310	0.0745401	1.0000000
500	0.9859066	0.1290863	0.8317683	0.2528587	0.9664564	0.8718334	0.1685348	0.5610348	0.0745401	1.0000000
550	0.9859109	0.1291153	0.5734498	0.2528613	0.9663797	0.8684782	0.1685275	0.5610343	0.0745401	1.0000000
600	0.9859134	0.1291966	0.5254735	0.2528912	0.9661679	0.8673492	0.1685266	0.5610180	0.0745401	1.0000000
650	0.9859144	0.1292793	0.5159688	0.2529607	0.9659567	0.8669706	0.1685384	0.5609774	0.0745401	1.0000000
700	0.9859131	0.1293383	0.5138001	0.2530468	0.9658085	0.8668534	0.1685681	0.5609237	0.0745401	1.0000000
750	0.9859088	0.1293736	0.5131903	0.2531236	0.9657218	0.8668371	0.1686114	0.5608729	0.0745401	1.0000000
800	0.9859018	0.1293920	0.5129889	0.2531796	0.9656776	0.8668654	0.1686580	0.5608335	0.0745401	1.0000000
850	0.9858934	0.1294001	0.5129271	0.2532150	0.9656589	0.8669127	0.1686991	0.5608072	0.0745401	1.0000000
900	0.9858851	0.1294023	0.5129232	0.2532344	0.9656543	0.8669634	0.1687303	0.5607916	0.0745401	1.0000000
950	0.9858779	0.1294017	0.5129436	0.2532435	0.9656566	0.8670083	0.1687511	0.5607836	0.0745401	1.0000000
1000	0.9858725	0.1293998	0.5129715	0.2532463	0.9656617	0.8670432	0.1687635	0.5607804	0.0745401	1.0000000

0	0.9859311	0.1294621	0.5122833	0.2533248	0.9655031	0.8666416	0.1687231	0.5607380	0.0745401	1.0000000
50	0.4507205	0.1294442	0.5125046	0.2526846	0.9726168	0.8657794	0.1522463	0.5610722	0.0745401	1.0000000
100	0.2957164	0.1295342	0.5109685	0.2510974	0.9746483	0.8423320	0.0876062	0.5620078	0.0745401	1.0000000
150	0.2516832	0.1305547	0.4956816	0.2499054	0.9733089	0.7468623	0.0492427	0.5628133	0.0745401	1.0000000
200	0.2393306	0.1345775	0.4443085	0.2500459	0.9641457	0.5853491	0.0362533	0.5628771	0.0745401	1.0000000
250	0.2358588	0.1441350	0.3553188	0.2535506	0.9333721	0.4372238	0.0322462	0.5610002	0.0745401	1.0000000
300	0.2348812	0.1605209	0.2649564	0.2663151	0.8568934	0.3444622	0.0310345	0.5539714	0.0745401	1.0000000
350	0.2346064	0.1823239	0.2036002	0.3009319	0.7339350	0.2970512	0.0306705	0.5357563	0.0745401	1.0000000
400	0.2345297	0.2054441	0.1710251	0.3709492	0.6121331	0.2753728	0.0305617	0.5017400	0.0745401	1.0000000
450	0.2345084	0.2254222	0.1556274	0.4719784	0.5272606	0.2661192	0.0305296	0.4557715	0.0745401	1.0000000
500	0.2345025	0.2399636	0.1486170	0.5762560	0.4785576	0.2623519	0.0305204	0.4086421	0.0745401	1.0000000
550	0.7771780	0.2491894	0.1454542	0.6968892	0.2900914	0.2644810	0.0440177	0.3542918	0.0745401	1.0000000
600	0.9342747	0.2490474	0.1467891	0.8338210	0.2431359	0.4085082	0.1853321	0.2817903	0.0745401	1.0000000
650	0.9676866	0.2169657	0.1813392	0.8964654	0.4182202	0.7110081	0.3820022	0.2357475	0.0745401	1.0000000
700	0.9344170	0.1764991	0.2876291	0.8063488	0.7094818	0.8768204	0.4929103	0.2745766	0.0745401	1.0000000
750	0.8793878	0.1501722	0.4129127	0.5834559	0.8697715	0.9435875	0.4921866	0.3710555	0.0745401	1.0000000
800	0.8549119	0.1361392	0.5009632	0.4092217	0.9364223	0.9670964	0.4129780	0.4554711	0.0745401	1.0000000
850	0.8731650	0.1292228	0.5491642	0.3187484	0.9624491	0.9712248	0.3187523	0.5086221	0.0745401	1.0000000
900	0.9103604	0.1260322	0.5711606	0.2777315	0.9723602	0.9639604	0.2500459	0.5375797	0.0745401	1.0000000
