YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.2327740	0.1695424	0.2922994	0.2991366	0.3424080	0.5741128	0.5844254	0.3418772	0.7424034	0.6471323
0.4870899	0.1769688	0.2696467	0.3598808	0.4025080	0.7899162	0.6621694	0.3068912	0.8878045	0.7288456
0.5493648	0.2406124	0.1904616	0.3776447	0.3575715	0.7739773	0.7604717	0.3007858	0.7914588	0.7826559
0.4742156	0.1621764	0.5130841	0.2041121	0.2750754	0.8712867	0.6724375	0.3706709	0.7409997	0.6674548
0.6134522	0.2410422	0.3871713	0.3885119	0.1885435	0.7020274	0.6809143	0.3081898	0.6153876	0.6750189
0.5115807	0.2023093	0.2627863	0.3869858	0.5797642	0.3637552	0.6702550	0.4168878	0.7773855	0.8737122
0.5539049	0.3677617	0.2983326	0.3327889	0.3336962	0.7122736	0.3629696	0.3527887	0.6505176	0.7420416
0.6104879	0.1986457	0.3375863	0.2790992	0.3388727	0.7564870	0.8139009	0.1842367	0.7665044	0.6078501
0.4168328	0.1475437	0.4577160	0.3409424	0.3398090	0.8605810	0.8456723	0.5784685	0.4022729	0.7262349
0.5613044	0.1497383	0.3365695	0.4633060	0.3654967	0.8702440	0.6986345	0.4275065	0.6580949	0.4145313
