YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C
0.0663217	0.0628501	0.0862603	0.5497005	0.0821006	0.0018133	0.1336902	0.4773764	0.1241760	0.5930123
0.4123328	0.0000924	0.2155253	0.3657005	0.0608782	0.0004226	0.1426195	0.1478167	0.1035712	0.6303116
0.0758528	0.0921864	0.0179770	0.5676941	0.0114244	0.0345659	0.1738688	0.4085929	0.2034740	0.7197147
0.0027980	0.0034262	0.2727145	0.0208046	0.3930271	0.0644156	0.1936062	0.2582127	0.1501161	0.6053333
0.2080876	0.1632613	0.1938857	0.0555503	0.3533214	0.0411552	0.0673595	0.2876481	0.0554003	0.4785400
0.1660603	0.1024650	0.1436641	0.3679818	0.0624568	0.0438146	0.1696791	0.1900682	0.1288497	0.8286229
0.0955183	0.0002240	0.1762351	0.3635465	0.1013022	0.0398510	0.3094065	0.1672018	0.0421271	0.5428466
0.0819168	0.1182943	0.0190198	0.6201548	0.0485708	0.0633222	0.0950469	0.4252704	0.0977183	0.7382828
0.0000778	0.0002058	0.0005484	0.6219127	0.0000226	0.0389852	0.0933498	0.3810931	0.1965153	0.6002208
0.1357301	0.0007421	0.2185100	0.7195772	0.0007454	0.0681575	0.1243537	0.5057200	0.1529349	0.7074047
