YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
0.0716643	0.0019194	0.9223879	0.2526732	0.8567048	0.3907725	0.0003506	0.3839213	0.6170950	0.4173658
0.3297763	0.0178451	0.8880500	0.2187900	0.5757803	1.0548646	0.0059400	0.3529382	0.5780883	0.4612081
0.7950576	0.0629204	0.3927355	0.6351756	0.5660893	0.8132062	0.1122681	0.3491889	0.6823393	0.5295731
0.2383296	0.0233598	0.5114728	0.6119632	0.5888332	1.0400704	0.0635507	0.3738962	0.7738596	0.6377254
0.4470097	0.0060378	1.0114786	0.3724380	0.9031288	0.6184453	0.0768268	0.2985291	0.4774702	0.3026736
0.5901601	0.0058180	0.7126551	0.5757913	0.8733709	1.0244128	0.0933283	0.3335807	0.6799902	0.4376401
0.5831690	0.0007704	0.9034968	0.4573566	0.7525221	0.9856509	0.0608961	0.3954562	0.7453527	0.3621474
0.0524295	0.0170151	0.6174865	0.5599689	0.6521452	0.8904352	0.0904050	0.3151970	0.8465232	0.5672849
0.0297163	0.0078618	0.8602319	0.4828104	0.8598280	0.9659008	0.0010892	0.3605248	0.6098391	0.4162976
0.0025783	0.0038109	1.0563317	0.3466454	0.8389056	0.9397219	0.0010560	0.3591517	0.5282678	0.2870535
