YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.4900588	0.8305247	0.3647545	0.1404520	0.1328507	0.0915563	0.8704338	0.8691613	0.3941151	1.0000000
0.6595698	0.4147816	0.3637970	0.1400085	0.1326230	0.0914851	0.8710515	0.3472659	0.6338390	1.0000000
0.8914983	0.5664852	0.1818520	0.1399655	0.1326009	0.0914782	0.8711114	0.6374672	0.5048419	1.0000000
0.9020640	0.5806232	0.1877485	0.0585623	0.1162197	0.0850836	0.9636870	0.6589454	0.4959627	1.0000000
0.9186684	0.6065428	0.1990396	0.0629150	0.0584320	0.0853414	0.9593000	0.6955796	0.4806706	1.0000000
0.8687967	0.5410636	0.1719170	0.0526150	0.0335345	0.0423750	0.9694438	0.5944510	0.5223070	1.0000000
0.9897276	0.9586092	0.8053517	0.8702673	0.7396135	0.3535066	0.2952053	0.9059268	0.3677755	1.0000000
0.9801177	0.8305247	0.3647545	0.1404520	0.1328507	0.0915563	0.8704338	0.4345807	0.3941151	1.0000000
0.9801177	0.8305247	0.3647545	0.1404520	0.1328507	0.0915563	0.8704338	0.9964776	0.1970606	1.0000000
0.9803506	0.8335279	0.3699446	0.1437983	0.1353443	0.0925610	0.8574687	0.3156349	0.6516477	0.5000000
