YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.0710191	0.0812379	0.2239553	0.4339199	0.6613084	0.7191715	0.5829164	0.4673043	0.6025967	0.7655562
0.1156591	0.0417134	0.1642084	0.3439046	0.6307603	0.6073668	0.5354235	0.5126092	0.6687434	0.7902581
0.1197471	0.0393305	0.1784993	0.4186317	0.6753569	0.6553694	0.4831022	0.4817833	0.8282824	0.7726180
0.1330833	0.0473848	0.0718951	0.1905198	0.8555622	0.7748098	0.5258430	0.4972383	0.5337088	0.7209541
0.2253751	0.1815507	0.3149706	0.5042410	0.2913812	0.7827859	0.4322513	0.5552634	0.8802007	0.7678061
0.1097350	0.1295980	0.2486165	0.3102796	0.6438227	0.3373900	0.6264646	0.4787693	0.5887618	0.7792853
0.1455833	0.0712692	0.1817585	0.5628038	0.6808863	0.6464502	0.2837014	0.5170725	0.5699344	0.7840255
0.1497496	0.1247059	0.2139316	0.4095706	0.5700102	0.6832020	0.5949381	0.2232397	0.5867250	0.7629283
0.1599897	0.0577388	0.2248369	0.3607966	0.7775858	0.6438913	0.5292058	0.2219299	0.2381380	0.7265341
0.1868032	0.0832234	0.1285763	0.4003117	0.5907271	0.6467548	0.8234741	0.0528035	0.1969436	0.4575606
