YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.0000002	0.0954897	0.2408681	0.4971567	0.8620570	0.8738737	0.6112172	0.6985757	0.8311915	1.0000000
0.0300575	0.0000000	0.2404108	0.4965452	0.8640715	0.8854834	0.6573451	0.6985757	0.8311915	1.0000000
0.1004044	0.0456993	0.0000000	0.4968121	0.8632039	0.8804736	0.6365719	0.6985757	0.8311915	1.0000000
0.1004070	0.0457003	0.0016301	0.0000000	0.8632029	0.8804725	0.6365713	0.6985757	0.8311915	1.0000000
0.4379369	0.3183381	0.5978878	0.9918865	0.0000000	0.8516832	0.5394481	0.6985757	0.8311915	1.0000000
0.1004044	0.0457003	0.0016302	0.0006998	0.0293712	0.0000000	0.6365714	0.6985757	0.8311915	1.0000000
0.1310245	0.0645108	0.1518081	0.3844293	0.1765086	0.0596342	0.0000000	0.6985757	0.8311915	1.0000000
0.1785095	0.0946476	0.2386081	0.4942848	0.8712657	0.9291536	0.9322952	0.0000001	0.8311915	1.0000000
0.1786187	0.0947240	0.2387848	0.4944912	0.8706411	0.9252656	0.8976096	0.0431770	0.0000000	1.0000000
0.1786382	0.0947356	0.2388038	0.4945063	0.8706132	0.9251326	0.8965200	0.0456555	0.0757450	0.0000004
