YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
0.0000052	0.0043048	0.8593951	0.4674940	0.7880237	0.9998989	0.0927156	0.3861717	0.6402515	0.4171059
0.1099849	0.0000034	0.8593884	0.4676258	0.7878494	0.9998989	0.0927134	0.3863846	0.6399665	0.4169970
0.9953821	0.9999951	0.0000051	0.3382286	0.9663767	0.9998894	0.0942524	0.3025242	0.9009154	0.9999974
0.1123164	0.0036360	0.9999987	0.0000000	0.7703015	0.9999001	0.0925089	0.4156160	0.5730681	0.3579552
0.9948843	0.9502475	0.1107704	1.0000000	0.0000001	0.9998897	0.0941865	0.3045485	0.8928776	0.9547618
0.1132510	0.0043043	0.8595098	0.4674159	0.7880953	0.0000050	0.0927165	0.3861141	0.6402644	0.4170693
0.1132511	0.0043047	0.8594320	0.4674637	0.7880536	1.0000000	0.0000041	0.3861439	0.6402678	0.4170987
0.1124052	0.0037032	0.9792447	0.3183780	0.9999994	0.0342745	0.9999951	0.0000005	0.5831991	0.3659640
0.5380362	0.0669755	0.3676794	0.7351515	0.5126997	0.9999034	0.0919920	1.0000000	0.0000000	0.7424986
0.5292985	0.0654144	0.3735622	0.7272781	0.5220526	0.9999034	0.0919935	0.9668338	0.0259954	0.0000000
