"Time"	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W

0	0.1964450	0.3411476	0.5794953	0.7750224	0.4160770	0.7919503	0.0377445	0.0851223	0.0491275	0.8994234
50	0.2319358	0.2443716	0.4930539	0.7158752	0.5293495	0.7438638	0.0718520	0.1278182	0.0412027	0.4957173
100	0.2647596	0.2669247	0.4870429	0.8637536	0.4641098	0.4417830	0.0497026	0.0800933	0.1119764	0.2893726
150	0.4144664	0.2019994	0.5665167	0.7934754	0.6030412	0.4125168	0.0359252	0.1364991	0.2924792	0.1197860
200	0.3395588	0.2066544	0.4690249	0.7690003	0.4371090	0.5159493	0.0735779	0.2727270	0.4949616	0.1201836
250	0.4099938	0.1526656	0.5156833	0.8041969	0.4329395	0.4527485	0.1567036	0.3589887	0.5908146	0.0989458
300	0.4323904	0.1676129	0.4357875	0.6729971	0.4166243	0.3420435	0.3266259	0.4189108	0.8373267	0.1495958
350	0.4323527	0.3265616	0.4270367	0.6690151	0.4482699	0.1897416	0.3043796	0.4779731	0.8340638	0.0978996
400	0.4381514	0.1742742	0.4969639	0.8266135	0.2583509	0.0714348	0.3968069	0.4874930	0.8209240	0.0784675
450	0.4222292	0.1859229	0.4911433	0.6976816	0.1545582	0.0334357	0.4072480	0.5951129	0.8065537	0.1132426
500	0.5102595	0.2439188	0.5499447	0.7725313	0.1689580	0.0463877	0.5027885	0.4118479	0.8559390	0.0937000
550	0.3463475	0.2885681	0.5132055	0.6113644	0.1744405	0.0325553	0.4880269	0.4437830	0.6474438	0.3276748
600	0.2694106	0.3245548	0.5403911	0.6658853	0.0633897	0.0259734	0.4310169	0.5226294	0.5587625	0.6048781
650	0.1861169	0.3590260	0.6062232	0.8513402	0.0453281	0.0319720	0.4790479	0.4923696	0.2471791	0.6773414
700	0.1656571	0.3831861	0.4856921	0.7946157	0.0498987	0.0219848	0.4574071	0.3523763	0.1805956	0.7352046
750	0.1057622	0.2996408	0.6286952	0.7425730	0.0246726	0.0211350	0.3550595	0.2842320	0.0875462	0.8136531
800	0.1127420	0.4524572	0.4759368	0.7501061	0.0124207	0.0672795	0.2384417	0.1600900	0.0262455	0.8243088
850	0.1276977	0.3929954	0.4828608	0.7755914	0.0342098	0.0777105	0.1205393	0.0804293	0.0514312	0.8059535
900	0.1957271	0.3335689	0.5722008	0.6197102	0.0244949	0.2705371	0.0920424	0.1183331	0.0468232	0.7762175
950	0.1891898	0.3190472	0.3939192	0.6577707	0.0652513	0.6567473	0.1052258	0.1481400	0.0325867	0.8995736
1000	0.2021185	0.4660726	0.4892553	0.7368390	0.2031908	0.5921464	0.0888911	0.0905158	0.0360675	0.7144429

0	0.2267236	0.2904295	0.5967805	0.7173132	0.5410436	0.6314601	0.0487439	0.0963439	0.0361949	0.7656520
50	0.1408359	0.3002270	0.4937052	0.8751724	0.4832219	0.6923264	0.0570489	0.0817596	0.0215896	0.7709258
100	0.1373899	0.3572418	0.5789959	0.7745959	0.5332950	0.7085048	0.0413635	0.0708470	0.0382681	0.7041720
150	0.1958238	0.3435136	0.5409738	0.7441242	0.6500609	0.7576257	0.0447334	0.0994622	0.0603795	0.6254695
200	0.0831812	0.4215821	0.4539832	0.7005218	0.5882526	0.6662968	0.0477506	0.0797134	0.0418899	0.6142205
250	0.0962019	0.3769411	0.4349083	0.8493995	0.5508551	0.6586295	0.0442830	0.1053841	0.0295481	0.7568515
300	0.0832364	0.3667822	0.5922546	0.7815505	0.4921470	0.6452388	0.0926477	0.0903651	0.0222875	0.6856119
350	0.0901166	0.3335722	0.4392340	0.7559166	0.5420982	0.6612847	0.0555027	0.1413928	0.0391531	0.6732387
400	0.0621095	0.3323840	0.5978446	0.6703293	0.5193236	0.7334864	0.0622765	0.0756434	0.0191865	0.7326252
450	0.0796537	0.3212635	0.5251553	0.5894182	0.5686460	0.6275466	0.0687591	0.1193141	0.0288343	0.5828725
500	0.0978573	0.3929032	0.5556130	0.8512323	0.6372621	0.7620603	0.0497405	0.0964472	0.0221163	0.5915767
550	0.1582269	0.3440880	0.4343737	0.6258626	0.5654096	0.7246782	0.0285737	0.0328840	0.0079264	0.6271586
600	0.1351038	0.4150328	0.4593831	0.7626131	0.5742661	0.9336373	0.0388533	0.0474122	0.0306288	0.8162190
650	0.1934121	0.3642500	0.5934575	0.6853022	0.5045841	0.8427464	0.0367837	0.1079484	0.0332940	0.6880939
700	0.1080613	0.4681062	0.4230202	0.6900207	0.6223597	0.6475433	0.0355267	0.0684946	0.0315777	0.7110772
750	0.1040550	0.3675232	0.4374230	0.5796768	0.4408096	0.8625289	0.0428693	0.0618953	0.0112770	0.7024162
800	0.1344361	0.4063876	0.5785418	0.7360223	0.4201722	0.7866579	0.0716601	0.1037548	0.0667729	0.6870123
850	0.1230536	0.2852620	0.4817493	0.7714544	0.6632039	0.6749274	0.0463345	0.1153564	0.0561639	0.7344746
900	0.1580445	0.3168629	0.4961875	0.7430090	0.4293090	0.6297717	0.0770482	0.0973716	0.0781468	0.7078869
950	0.1817199	0.3050048	0.5609216	0.7122484	0.4870086	0.5812308	0.0441345	0.0717126	0.0421450	0.7691710
1000	0.1384892	0.2999382	0.5489677	0.8012378	0.5274396	0.6697092	0.0760845	0.0895674	0.0251722	0.7601799

0	0.2109349	0.4116770	0.5780996	0.8651846	0.5683512	0.6268500	0.0773786	0.0890083	0.0281929	0.7766300
50	0.1820277	0.3364121	0.6991867	0.7302073	0.3501507	0.6475149	0.0532251	0.0636777	0.0392119	0.6435575
100	0.1767430	0.4471770	0.5181018	0.8796540	0.4102518	0.6649856	0.0328990	0.0722049	0.0296572	0.8888937
150	0.1674589	0.3670358	0.5111017	0.7998914	0.3515846	0.5460340	0.0277188	0.1036843	0.0555887	0.6617178
200	0.1963100	0.4229397	0.4726998	0.7473126	0.4103038	0.6796963	0.0339355	0.0999377	0.0304702	0.7322103
250	0.0900241	0.4455375	0.4622055	0.7670495	0.3805850	0.8457638	0.0257469	0.0826566	0.0153827	0.6932409
300	0.0600688	0.3986035	0.4741933	0.7686232	0.4207375	0.7157331	0.0186887	0.0739558	0.0309408	0.7637871
350	0.1207172	0.4544294	0.3688058	0.7866554	0.5600275	0.8802546	0.0210203	0.0496263	0.0192194	0.8688958
400	0.0942524	0.5097407	0.4707835	0.7315671	0.3908990	0.7567920	0.0133041	0.0542775	0.0342926	0.6713456
450	0.1678992	0.4703021	0.5472947	0.7266614	0.5181805	0.8315835	0.0199937	0.0650811	0.0162808	0.7472573
500	0.1091063	0.5069819	0.5271531	0.9126485	0.4043672	0.8529772	0.0355149	0.0635342	0.0507584	0.8591880
550	0.1712543	0.4849335	0.5202805	0.7581753	0.4212747	0.7258515	0.0490735	0.0658119	0.0211106	0.7577646
600	0.1416049	0.3305893	0.5137620	0.8531072	0.4120534	0.8584098	0.0258429	0.0420392	0.0114468	0.6790721
650	0.1780509	0.3561808	0.6055698	0.8719188	0.4086397	0.9359522	0.0472010	0.0931739	0.0151244	0.7760275
700	0.1028855	0.3041512	0.4346596	0.6935686	0.4008928	0.7301056	0.0375643	0.0805450	0.0405633	0.8511524
750	0.1890981	0.2201664	0.5948082	0.7362344	0.4263367	0.7946920	0.0227786	0.1415595	0.0217715	0.7827342
800	0.1873501	0.3641165	0.4537883	0.6918289	0.4485902	0.7950702	0.0556806	0.1576016	0.0309074	0.8307965
850	0.1703300	0.3497865	0.4962938	0.7114402	0.3972657	0.8411392	0.0554234	0.0676016	0.0266596	0.6464416
900	0.0950884	0.3917995	0.5776304	0.7499927	0.5410199	0.6670801	0.0464034	0.0657810	0.0281666	0.9491434
950	0.1970186	0.4565578	0.3888931	0.7499325	0.5237374	0.7880133	0.0491950	0.0644071	0.0217031	0.6366070
1000	0.1327001	0.4753276	0.4464336	0.7802728	0.5490807	0.6110468	0.0172243	0.0530641	0.0284622	0.7807822

0	0.2271189	0.3290092	0.5737411	0.8730406	0.5586670	0.7052495	0.0776069	0.0978870	0.0597823	0.7133644
50	0.2185205	0.2988549	0.6408345	0.9847852	0.5486393	0.7829676	0.0745104	0.2239082	0.0293428	0.6390340
100	0.1771763	0.3345388	0.5886096	0.6757321	0.5247587	0.6652633	0.1202583	0.3031217	0.0331273	0.7548462
