YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.0000000	0.6646391	0.8836443	0.0074948	0.0733650	0.2348414	0.4413814	0.0376278	0.7919673	0.6112678
0.7503530	0.0000000	0.8200881	0.0178785	0.1285666	0.2690990	0.4917841	0.0753844	0.6680566	0.6928925
0.8206139	0.0201782	0.0000000	0.0248580	0.0812727	0.2881309	0.7403930	0.0599775	0.6936747	0.7700528
0.0298572	0.7092004	0.7705401	0.0006732	0.1596612	0.3404219	0.4793698	0.0743872	0.7049056	0.7020945
0.0386137	0.6295026	0.8538103	0.0186097	0.0000000	0.3157199	0.3828926	0.1062420	0.6194555	0.8166522
0.8638831	0.6880032	0.7273632	0.0135558	0.0267048	0.0000000	0.4305342	0.0110059	0.6282111	0.9051424
0.0408102	0.6616633	0.6790961	0.0184312	0.1805012	0.3548163	0.0000000	0.0565295	0.7462636	0.7429637
0.6605657	0.7023620	0.6944106	0.0160108	0.0382908	0.0383612	0.4729064	0.0000000	0.6868852	0.7543460
0.0241469	0.6122615	0.6288770	0.0705952	0.4055631	0.6522295	0.0421585	0.7903869	0.0000000	0.7719566
0.0152494	0.6114579	0.7511568	0.0525077	0.4491928	0.6604520	0.0231524	0.7431317	0.0441379	0.0000000
