YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
0.0000000	0.4464512	0.6278769	0.5555476	0.9637844	0.1111626	0.1013762	0.0759294	0.0526373	0.2492182
0.0794566	0.0000000	0.6309468	0.5631667	0.9496363	0.1292450	0.1013954	0.0760688	0.0579231	0.2586764
0.0794565	0.0262122	0.0000007	0.5631301	0.9496540	0.1292429	0.1013948	0.0760647	0.0578115	0.2585715
0.0794565	0.0262308	0.0709948	0.0000000	0.9496753	0.1292143	0.1013185	0.0755247	0.0059147	0.0696975
0.6167729	0.8782890	0.9918063	1.0000000	0.0000000	0.3218035	0.3005008	0.5007364	0.6096368	0.8025910
0.1029263	0.4315307	0.6198243	0.5366250	1.0000000	0.0000000	0.1013465	0.0757195	0.0415702	0.2269437
0.1077023	0.4464544	0.6278773	0.5555477	0.9637844	0.1111626	0.0000000	0.0759297	0.0526400	0.2492186
0.1095677	0.4517439	0.6307300	0.5626646	0.9505196	0.1282120	0.0961981	0.0000000	0.0575069	0.2579996
0.1097579	0.4523349	0.6310707	0.5635602	0.9488541	0.1301869	0.1013185	0.0755242	0.0000007	0.2590965
0.1097581	0.4523358	0.6310712	0.5635611	0.9488532	0.1301871	0.1013187	0.0755245	0.0047080	0.0000000
