"Time"	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W

0	0.2392333	0.9987933	0.0755002	0.2782501	0.9170568	0.2354575	0.6111409	0.7266411	0.8160467	1.0000000
50	0.1971419	0.9987934	0.0755394	0.2783115	0.9170829	0.2354648	0.6111424	0.7264673	0.8160433	1.0000000
100	0.1579184	0.9987914	0.0755470	0.2783080	0.9170956	0.2354643	0.6115069	0.7252506	0.8160417	1.0000000
150	0.1401841	0.9987825	0.0754583	0.2780526	0.9170970	0.2354334	0.6128533	0.7230638	0.8160417	1.0000000
200	0.1335436	0.9987656	0.0751593	0.2772555	0.9170737	0.2353371	0.6151064	0.7208060	0.8160453	1.0000000
250	0.1312639	0.9987447	0.0746226	0.2758830	0.9170052	0.2351712	0.6175692	0.7190846	0.8160557	1.0000000
300	0.1305165	0.9987250	0.0739490	0.2742256	0.9168849	0.2349708	0.6196336	0.7179925	0.8160735	1.0000000
350	0.1302747	0.9987097	0.0732836	0.2726511	0.9167299	0.2347803	0.6210827	0.7173758	0.8160960	1.0000000
400	0.1301932	0.9986992	0.0727293	0.2713907	0.9165692	0.2346278	0.6219818	0.7170531	0.8161190	1.0000000
450	0.1301615	0.9986927	0.0723223	0.2705018	0.9164277	0.2345203	0.6224928	0.7168924	0.8161388	1.0000000
500	0.1301458	0.9986890	0.0720507	0.2699325	0.9163180	0.2344515	0.6227654	0.7168148	0.8161540	1.0000000
550	0.1722272	0.9986872	0.0718828	0.2695951	0.9162410	0.2344108	0.6228529	0.7172830	0.8161644	1.0000000
600	0.2114401	0.9986918	0.0718136	0.2694892	0.9161920	0.2343982	0.6220569	0.7195287	0.8161710	1.0000000
650	0.2291678	0.9987078	0.0719514	0.2699214	0.9161733	0.2344511	0.6198530	0.7221624	0.8161732	1.0000000
700	0.2358052	0.9987305	0.0723930	0.2711153	0.9162055	0.2345966	0.6171274	0.7241331	0.8161682	1.0000000
750	0.2380849	0.9987521	0.0730592	0.2728065	0.9163041	0.2348019	0.6148032	0.7253387	0.8161536	1.0000000
