YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.4987569	0.7153517	0.3578603	0.6363664	0.0686219	0.2625818	0.6922932	0.2364182	0.6696886	0.7853622
0.4473057	0.7166416	0.3823321	0.5155123	0.4015978	0.2978775	0.3864311	0.1467534	0.3600479	0.7726855
0.4022855	0.6598648	0.2516234	0.7094479	0.2977944	0.0204763	0.5621998	0.2424982	0.4294427	0.6694054
0.5251130	0.1657239	0.5377384	0.6759716	0.1516518	0.3403403	0.5442010	0.3166552	0.3702303	0.7825561
0.4298935	0.8501949	0.3479754	0.5202919	0.2825602	0.3742889	0.3710555	0.2581617	0.2602513	0.3156009
0.2314643	0.7724787	0.2987103	0.5852801	0.1314904	0.3616074	0.4228388	0.3603645	0.4390689	0.5457734
0.3248745	0.6530396	0.3344071	0.6731577	0.2423280	0.3793244	0.4365228	0.2301320	0.5082783	0.7359402
0.3256031	0.8838405	0.1336511	0.5186396	0.2133937	0.3894723	0.5395552	0.2356684	0.4038837	0.5018428
0.1709329	0.5807978	0.4487086	0.4178671	0.3581234	0.5735925	0.1675363	0.1970482	0.4340458	0.5956376
0.3687768	0.7500113	0.4292162	0.4217867	0.4446240	0.3742237	0.3118411	0.2103336	0.4393777	0.5990080
