YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.0000000	0.9195794	0.0896710	0.8289604	0.2056569	0.7020026	0.4099889	0.9423959	0.6387164	0.8909287
0.0169688	0.0000000	0.4725923	0.3000871	0.1883425	0.9044622	0.3773367	0.6984196	0.5739089	0.8083405
0.7081856	0.7730110	0.0000000	0.5425136	0.4656819	0.1675707	0.5103716	0.6826070	0.8181727	0.7909661
0.6611720	0.7184578	0.0987699	0.0000000	0.4434266	0.2552215	0.4519655	0.7309440	0.7445732	0.8007839
0.5417679	0.7694942	0.0397420	0.8352424	0.0000000	0.5477601	0.3104248	0.6956666	0.6549193	0.6871335
0.5810550	0.7965262	0.0866645	0.4058493	0.6967947	0.0000000	0.6956098	0.6617397	0.7976867	0.7452999
0.5280072	0.7917552	0.0868135	0.7789621	0.2372595	0.8325280	0.0000000	0.7248075	0.4929025	0.8230587
0.5860678	0.6910268	0.1096770	0.3310604	0.7176821	0.1310031	0.6174865	0.0000000	0.6450108	0.7826781
0.7156419	0.7988085	0.0320835	0.3261519	0.7818468	0.0619204	0.7564142	0.0027247	0.0000000	0.8124241
0.5748498	0.7012884	0.0492383	0.5964552	0.5500421	0.3516197	0.5757231	0.7020673	0.7699872	0.0000000
