YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.1175460	0.1036490	0.0196901	0.0327615	0.5697749	0.3516751	0.3165004	0.4190134	0.5628254	0.6835439
0.1473753	0.0716221	0.0152676	0.0291995	0.7838213	0.3575701	0.3489758	0.4520562	0.6626154	0.7012272
0.1240519	0.1902519	0.0185579	0.0496013	0.6544243	0.3688194	0.2957707	0.4384316	0.6765649	0.6122721
0.1708130	0.1630686	0.0043192	0.0112155	0.6662663	0.5214087	0.4576544	0.3044733	0.5854026	0.5962889
0.2142391	0.2059578	0.0523870	0.0573190	0.3710169	0.5232649	0.3176822	0.4060428	0.6650293	0.6734087
0.1777796	0.1898106	0.0338483	0.0509291	0.5904668	0.1686535	0.2970448	0.3751633	0.6540632	0.7030649
0.2462508	0.1434893	0.0476617	0.0337333	0.4190405	0.0996477	0.1309079	0.3997474	0.6246435	0.7063038
0.3141824	0.2404565	0.3816029	0.7122701	0.0176487	0.0323558	0.0516956	0.2162729	0.6730764	0.6748164
0.3941989	0.2993572	0.4666753	0.5796397	0.0303342	0.0370536	0.0538456	0.1456680	0.3131675	0.5314291
0.1862944	0.2232580	0.0384343	0.0384400	0.6438299	0.5154529	0.3857740	0.3290772	0.7446257	0.3762228
