YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.0933104	0.2083063	0.8624151	0.9545493	0.9756137	0.3123093	0.9306860	0.4223727	0.3748656	0.8649027
0.0007915	0.0115910	0.8731808	0.5609014	0.4829688	0.8647392	0.9196685	0.4863822	0.3985011	0.8341878
0.2171715	0.3776801	0.9195983	0.9148269	0.9517780	0.3929894	0.9619243	0.4204503	0.3741101	0.7648708
0.3392164	0.5503154	0.8442768	0.7993490	0.5579246	0.5576251	0.9910717	0.7097643	0.4774335	0.7102773
0.2377864	0.4058383	0.8424041	0.9724675	0.9856968	0.2618109	0.9836380	0.8028986	0.4984404	0.5791690
0.2468437	0.4180366	0.9071455	0.8705402	0.9256271	0.1252975	0.9957818	0.2934292	0.3107845	0.6842100
0.2688114	0.4484404	0.9162934	0.9841175	0.7451776	0.2164043	0.9814464	0.7275891	0.5107715	0.5897387
0.6972524	0.8864978	0.8316675	0.5567807	0.6426178	0.8707815	0.9435848	0.7370469	0.5168338	0.5324718
0.5017627	0.6429740	0.8602777	0.4901847	0.4194995	0.7124177	0.9380974	0.9360355	0.7700063	0.2704847
0.5881423	0.5167234	0.8143298	0.8909322	0.7335080	0.4323364	0.8867352	0.3157699	0.3364637	0.7395021
