YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
-0.18360392889007926	0.0	0.0	0.0	0.7799094617723101	0.0	0.0	0.0	0.0	-0.855587976751849
0.0	0.0	0.4731058298632484	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	-0.08771890262141824	0.0	-0.26609772513620555	-0.9951182485092431	0.0	0.4854476615423146	0.0
0.0	0.0	0.0	-0.14019575738348067	0.0	0.0	-0.6676741451956332	-0.49460481316782534	0.0	-0.022688823519274592
-0.7114440524019301	0.0	0.0	0.0	0.0	0.0	0.0	-0.7390509329270571	0.0	0.0
0.0	0.0	0.0	0.0	0.0	-0.02427869290113449	-0.785405331524089	0.0	0.0	0.0
-0.8487948963884264	0.0	0.0	-0.09653140814043581	0.33061548488983744	0.0	0.0	0.0	0.3009546567322496	0.0
-0.49127627932466567	0.3829753051112494	0.0	0.0	0.0	-0.387409494491294	0.0	0.0	0.8858050169059816	0.0
0.0	0.8247397159292451	0.0	-0.3289894175250083	0.17130185667263204	-0.18278415594249964	0.0	0.0	0.0	0.0
0.0	0.0	0.0	-0.30065525020472705	0.0	0.0	-0.188163599697873	-0.7349627010989934	0.14761314756328198	0.0
