"Time"	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W

0	0.8257801	0.2124595	0.1155156	0.9999999	0.4631234	0.5589759	0.4329909	0.0248076	0.6080103	0.3244171
50	0.8168543	0.2630771	0.1154621	1.0000000	0.4528107	0.4329226	0.2987800	0.0135642	0.6048666	0.3293000
100	0.7746412	0.3146294	0.1155950	1.0000000	0.3917993	0.3220838	0.1814641	0.0055940	0.6132081	0.2925206
150	0.7255667	0.3412349	0.1170683	1.0000000	0.3035473	0.2856704	0.1478390	0.0030449	0.6638541	0.2443762
200	0.6907280	0.3554345	0.1204258	1.0000000	0.2384109	0.2785591	0.1597324	0.0025059	0.7308133	0.2142619
250	0.6690909	0.3670709	0.1246557	1.0000000	0.2122060	0.2749278	0.1799746	0.0025196	0.7828993	0.2004609
300	0.6536881	0.3791305	0.1282456	1.0000000	0.2119848	0.2698011	0.1929896	0.0026311	0.8141021	0.1943833
350	0.6403912	0.3905275	0.1306926	1.0000000	0.2207107	0.2649076	0.1980920	0.0027354	0.8310284	0.1909350
400	0.6285330	0.3998266	0.1322876	1.0000000	0.2286959	0.2616718	0.1985397	0.0028262	0.8404810	0.1884892
450	0.6186757	0.4067233	0.1333794	1.0000000	0.2330970	0.2601684	0.1972557	0.0029092	0.8462152	0.1867991
500	0.6110871	0.4116381	0.1341371	1.0000000	0.2344784	0.2598078	0.1959274	0.0029840	0.8498135	0.1858098
550	0.6124107	0.3693486	0.1354902	1.0000000	0.2612658	0.4135541	0.4681417	0.0146072	0.8563059	0.1761324
600	0.6416942	0.3270700	0.1358461	1.0000000	0.3749697	0.4739827	0.6680325	0.0224720	0.8546204	0.2074706
650	0.6787213	0.3036282	0.1306068	1.0000000	0.4864739	0.4499767	0.6212408	0.0243280	0.8187040	0.2377126
700	0.7090663	0.2832277	0.1254915	1.0000000	0.5324737	0.4491965	0.4830576	0.0243021	0.7814383	0.2439336
750	0.7347776	0.2644155	0.1228764	1.0000000	0.5154114	0.4931834	0.3878761	0.0241101	0.7619955	0.2492596
800	0.7570768	0.2504698	0.1212902	1.0000000	0.4725885	0.5505382	0.3675363	0.0240994	0.7428925	0.2705633
850	0.7747396	0.2406433	0.1194183	1.0000000	0.4428007	0.5843415	0.4004582	0.0242603	0.7069713	0.3020885
900	0.7881190	0.2324323	0.1175089	1.0000000	0.4403796	0.5843913	0.4425741	0.0244981	0.6599025	0.3270999
950	0.7988952	0.2250436	0.1161454	1.0000000	0.4545049	0.5667238	0.4603099	0.0247115	0.6207548	0.3358861
1000	0.8080251	0.2191079	0.1154775	1.0000000	0.4680217	0.5516835	0.4519604	0.0248436	0.6016574	0.3317029

0	0.8257801	0.2124595	0.1155156	0.9999999	0.4631234	0.5589759	0.4329909	0.0248076	0.6080103	0.3244171
50	0.8256964	0.2146633	0.1288391	0.7223774	0.4686756	0.4349302	0.4318046	0.0248020	0.6098626	0.3132175
100	0.8163434	0.2743167	0.2186348	0.3970663	0.4742183	0.3076322	0.4255220	0.0247539	0.6394788	0.2585530
150	0.7442276	0.4602288	0.3329913	0.2065117	0.4750971	0.2444421	0.4180625	0.0246182	0.7176015	0.1952102
200	0.6002975	0.6565739	0.4062592	0.1138148	0.4728884	0.2192429	0.4145104	0.0246203	0.8073848	0.1524817
250	0.4660780	0.7863444	0.4506203	0.0724788	0.4704651	0.2102645	0.4153843	0.0252318	0.8737773	0.1301838
300	0.3799307	0.8579968	0.4817123	0.0549444	0.4695245	0.2069744	0.4180984	0.0266647	0.9125743	0.1200735
350	0.3333651	0.8955694	0.5030763	0.0477407	0.4700113	0.2054414	0.4200240	0.0285862	0.9325622	0.1158122
400	0.3098910	0.9152562	0.5160606	0.0448455	0.4709521	0.2045959	0.4202453	0.0304145	0.9421656	0.1140329
450	0.2982512	0.9256251	0.5231156	0.0437000	0.4715188	0.2042322	0.4193936	0.0317921	0.9466136	0.1132624
500	0.2924375	0.9310582	0.5266728	0.0432521	0.4715085	0.2042164	0.4185207	0.0326844	0.9486396	0.1129322
550	0.2895004	0.9338524	0.5268615	0.3207010	0.4653539	0.3311751	0.4194653	0.0332217	0.9490032	0.1192807
600	0.2880440	0.9339743	0.4843603	0.6459453	0.4593942	0.4607030	0.4262799	0.0335740	0.9369195	0.1602122
650	0.2880910	0.9208172	0.3655393	0.8364742	0.4585912	0.5230125	0.4344729	0.0338728	0.8890605	0.2210206
700	0.2930951	0.8656965	0.2507321	0.9291614	0.4611346	0.5455930	0.4382270	0.0341832	0.8100664	0.2701450
750	0.3126894	0.7426366	0.1798437	0.9704936	0.4637932	0.5524363	0.4369920	0.0342553	0.7326308	0.2987702
800	0.3613471	0.5787153	0.1440407	0.9880267	0.4647310	0.5551559	0.4338366	0.0334995	0.6772586	0.3125171
850	0.4461006	0.4323127	0.1276785	0.9952298	0.4640901	0.5573169	0.4317350	0.0316833	0.6443916	0.3187135
900	0.5524650	0.3315602	0.1205890	0.9981249	0.4630053	0.5590152	0.4316181	0.0294423	0.6266331	0.3218170
950	0.6522537	0.2725179	0.1176014	0.9992703	0.4624024	0.5597738	0.4326760	0.0275630	0.6171920	0.3235956
1000	0.7265507	0.2412447	0.1163576	0.9997182	0.4624701	0.5596601	0.4336740	0.0263169	0.6120883	0.3245195

0	0.8257801	0.2124595	0.1155156	0.9999999	0.4631234	0.5589759	0.4329909	0.0248076	0.6080103	0.3244171
50	0.8257500	0.2134229	0.1211451	0.8673970	0.4629561	0.5591659	0.4330558	0.0248107	0.6005680	0.3488847
100	0.8219053	0.2377219	0.1572886	0.7120162	0.4628928	0.5592240	0.4332494	0.0248745	0.5717309	0.3708291
150	0.7895984	0.3309608	0.2150173	0.6210002	0.4629294	0.5591703	0.4333843	0.0250561	0.5434410	0.3803137
200	0.7012743	0.4749499	0.2662089	0.5767247	0.4629966	0.5590908	0.4333962	0.0254069	0.5257835	0.3836780
250	0.5831122	0.6079071	0.2995554	0.5569811	0.4630357	0.5590505	0.4333323	0.0260740	0.5168012	0.3847471
300	0.4816750	0.7004750	0.3178034	0.5486060	0.4630330	0.5590587	0.4332693	0.0271977	0.5127290	0.3850628
350	0.4139879	0.7555196	0.3267933	0.5451652	0.4630090	0.5590883	0.4332491	0.0287277	0.5110087	0.3851596
400	0.3746700	0.7853084	0.3309322	0.5437823	0.4629894	0.5591099	0.4332661	0.0303778	0.5103065	0.3851988
450	0.3535480	0.8004694	0.3327511	0.5432352	0.4629854	0.5591125	0.4332922	0.0318134	0.5100188	0.3852187
500	0.3427285	0.8078550	0.3335241	0.5430213	0.4629926	0.5591029	0.4333059	0.0328603	0.5098988	0.3852262
550	0.3373745	0.8108408	0.3249890	0.6755412	0.4630013	0.5590930	0.4333035	0.0335222	0.5166941	0.3608064
600	0.3355050	0.7999218	0.2762119	0.8308901	0.4630049	0.5590895	0.4332939	0.0338261	0.5440996	0.3389492
650	0.3408038	0.7466251	0.2131776	0.9218939	0.4630033	0.5590920	0.4332867	0.0337731	0.5724538	0.3295160
700	0.3639769	0.6389190	0.1665926	0.9661647	0.4629999	0.5590960	0.4332857	0.0332731	0.5908175	0.3261507
750	0.4165423	0.5067513	0.1399096	0.9859066	0.4629978	0.5590982	0.4332887	0.0321078	0.6003925	0.3250530
800	0.4989482	0.3916763	0.1265176	0.9942810	0.4629978	0.5590980	0.4332920	0.0303481	0.6048216	0.3247131
850	0.5942304	0.3117536	0.1202898	0.9977215	0.4629990	0.5590965	0.4332931	0.0285005	0.6067257	0.3246108
900	0.6793730	0.2637876	0.1175305	0.9991043	0.4630000	0.5590954	0.4332923	0.0270273	0.6075065	0.3245802
950	0.7415435	0.2376596	0.1163484	0.9996514	0.4630002	0.5590952	0.4332910	0.0260497	0.6078169	0.3245708
1000	0.7807274	0.2243556	0.1158545	0.9998654	0.4629999	0.5590957	0.4332903	0.0254701	0.6079379	0.3245680

0	0.8257801	0.2124595	0.1155156	0.9999999	0.4631234	0.5589759	0.4329909	0.0248076	0.6080103	0.3244171
50	0.5825606	0.2124680	0.1155199	1.0000000	0.4629561	0.5591659	0.4330558	0.0132395	0.3627990	0.3244652
100	0.3964942	0.2124800	0.1155202	1.0000000	0.4628928	0.5592240	0.4332494	0.0056921	0.2108376	0.3245603
150	0.3288532	0.2124859	0.1155181	1.0000000	0.4629294	0.5591703	0.4333842	0.0042717	0.1538174	0.3246176
200	0.3084090	0.2124844	0.1155160	1.0000000	0.4629966	0.5590909	0.4333962	0.0047368	0.1330355	0.3246156
