"Time"	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C

0	0.7318010	0.3313095	0.1855528	0.7502118	0.7395544	0.4389043	0.9084630	0.7833814	0.6434807	0.6446098
50	0.6454662	0.3207017	0.1802784	0.6313743	0.7409007	0.3909079	0.4466796	0.7511278	0.6778760	0.6149587
100	0.7298841	0.3495410	0.2143781	0.6095534	0.5834968	0.3611737	0.3614660	0.6161521	0.7061731	0.7381071
150	0.7021103	0.3636687	0.2079762	0.7221156	0.6800958	0.2579149	0.3913585	0.7842024	0.7501302	0.6724987
200	0.6997359	0.3932331	0.1528997	0.6310256	0.7836544	0.2034537	0.3991618	0.7756573	0.6223490	0.6066756
250	0.5613503	0.3611240	0.1958833	0.7777495	0.7849635	0.2698477	0.4124333	0.7226828	0.8145655	0.7184647
300	0.5947437	0.4077688	0.2228308	0.6546743	0.6404720	0.2516746	0.3589057	0.8500239	0.7272084	0.7048766
350	0.7152439	0.4422164	0.1842651	0.5688656	0.7747641	0.2756691	0.3600458	0.5497066	0.6419017	0.7324591
400	0.5628564	0.3514356	0.1727040	0.7163474	0.7046276	0.2561937	0.3661973	0.7665240	0.6891470	0.7691777
450	0.6505016	0.4554293	0.2420817	0.7131128	0.6435299	0.2175826	0.3837037	0.6524685	0.8261297	0.6789702
500	0.5658315	0.3609676	0.2011234	0.7417831	0.7641792	0.2600966	0.2789147	0.6734458	0.8348410	0.7938717
550	0.6480127	0.3314899	0.2441277	0.6608828	0.7282972	0.2815864	0.7254685	0.7661929	0.7809454	0.8027293
600	0.5296946	0.4239113	0.1791065	0.7329815	0.6095682	0.3195641	0.6761520	0.5866084	0.7555018	0.7072164
650	0.6604523	0.3380956	0.2015100	0.6468466	0.7702043	0.2938280	0.8188422	0.6197150	0.7217568	0.8664502
700	0.5069055	0.4076319	0.1885164	0.7578343	0.6112908	0.3695508	0.6080951	0.7661179	0.6636554	0.9025452
750	0.6930234	0.3821032	0.1787177	0.8400957	0.7089057	0.4209046	0.6015109	0.7716527	0.7669338	0.8120145
800	0.6805227	0.3820898	0.1573826	0.7550092	0.6839019	0.3457773	0.7235226	0.6837257	0.7993818	0.8917271
850	0.5837839	0.4851923	0.1697557	0.7271623	0.6592069	0.4003800	0.7810186	0.7139292	0.8326231	0.6944673
900	0.5331800	0.4551085	0.2139188	0.7392325	0.7032441	0.4217299	0.7081634	0.6558473	0.6185389	0.6155071
950	0.6597885	0.3362523	0.1786314	0.7183135	0.5590309	0.3391705	0.6639176	0.6995865	0.7173079	0.7630026
1000	0.6644349	0.2484028	0.1216808	0.9367526	0.7315720	0.5725778	0.7229014	0.6743186	0.6746926	0.6183795

0	0.6626082	0.3703535	0.2176644	0.8053578	0.8237518	0.4606344	0.6688353	0.8133115	0.6972162	0.7268090
50	0.6679378	0.3843540	0.0794813	0.7712656	0.8654922	0.4605218	0.7727686	0.6568257	0.6577672	0.7193564
100	0.5641589	0.3214613	0.0677175	0.7350727	0.6188729	0.4728924	0.7849640	0.7208693	0.6472262	0.6884536
150	0.5500797	0.1987147	0.0336114	0.7993888	0.6376621	0.4001869	0.6309324	0.6933681	0.7039219	0.7516123
200	0.7146385	0.0950183	0.0222463	0.7265592	0.6958435	0.4393202	0.7979848	0.6989761	0.6731395	0.8642963
250	0.4393122	0.0512857	0.0152378	0.7179848	0.7738820	0.3606694	0.6851689	0.6617724	0.6914218	0.7288292
300	0.3521489	0.0663823	0.0133217	0.6412883	0.7610924	0.4764975	0.7038731	0.7647639	0.8022439	0.7109173
350	0.4940923	0.0907812	0.0204840	0.7199363	0.8468061	0.4662828	0.8923368	0.6366487	0.7078601	0.6164177
400	0.3641811	0.0489813	0.0184500	0.7994248	0.6766607	0.5496950	0.7212825	0.8654825	0.4982776	0.7070638
450	0.2928851	0.0466717	0.0103190	0.6664476	0.7123634	0.4049152	0.6961846	0.7178061	0.7960081	0.7961034
500	0.3398493	0.0259831	0.0201874	0.7676667	0.7846483	0.4785578	0.7541566	0.6480131	0.7727167	0.7511577
550	0.2441175	0.0833627	0.1786016	0.6034503	0.8020629	0.4476685	0.7941149	0.6658451	0.8892926	0.7454715
600	0.3375010	0.1646659	0.2413708	0.7874826	0.7375570	0.3913285	0.7821427	0.8113841	0.8824452	0.7110018
650	0.4614251	0.1857247	0.1953396	0.7290496	0.6619173	0.3829186	0.7714977	0.7657700	0.7484116	0.7287016
700	0.4887736	0.3028776	0.2839525	0.6388833	0.7476488	0.3266232	0.7282050	0.6206935	0.7675983	0.8192674
750	0.4368145	0.3410782	0.2076700	0.7655107	0.6552093	0.4586453	0.6174118	0.7149798	0.6645142	0.7239206
800	0.5476274	0.3572162	0.1657377	0.6902885	0.7227801	0.4261062	0.7331372	0.8264134	0.6524480	0.7036401
850	0.5459998	0.3029793	0.1838303	0.8505559	0.7203297	0.3589561	0.7737069	0.6903315	0.7544642	0.5750758
900	0.5693791	0.3518265	0.1632694	0.7176106	0.7416881	0.4512712	0.6903941	0.6023494	0.6501885	0.6443590
950	0.5855590	0.3225766	0.1921095	0.6988162	0.7756843	0.3435267	0.7324597	0.6876402	0.8516063	0.6614229
1000	0.6450732	0.3524724	0.2236257	0.7231587	0.8814722	0.4226998	0.6703089	0.5748630	0.7521376	0.7336761

0	0.6320026	0.3157069	0.1823695	0.6961510	0.9061712	0.4062320	0.7987186	0.7917677	0.7616676	0.7392319
50	0.7105688	0.3121737	0.1817293	0.7423309	0.6508992	0.5307290	0.3488230	0.5828369	0.7349392	0.5813060
100	0.5439764	0.4012357	0.1719315	0.7828360	0.8599193	0.5107234	0.3752272	0.5907743	0.7185957	0.6602270
