"Time"	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C

0	0.3680772	0.4178145	0.5202455	0.4703136	0.5188843	0.1279405	0.0766955	0.8183080	0.7188636	0.6851036
50	0.3544486	0.3587206	0.5248804	0.4668368	0.4747674	0.1526853	0.0349249	0.4017581	0.6210615	0.6833290
100	0.3525488	0.3058294	0.6091041	0.5398031	0.4528740	0.1038173	0.0563988	0.2309690	0.7917566	0.7436269
150	0.3965201	0.3163455	0.5567789	0.4172493	0.5369305	0.0718837	0.0639328	0.1385768	0.7735704	0.7189733
200	0.5715454	0.2906044	0.5970693	0.4727401	0.4562386	0.0760064	0.0438468	0.0774106	0.6923905	0.7332129
250	0.6353960	0.2379325	0.4679496	0.4045390	0.5134444	0.0660002	0.0839404	0.1236870	0.7377391	0.6457975
300	0.7297339	0.2779245	0.5160355	0.3020872	0.4598374	0.0812673	0.0352569	0.2032991	0.6843178	0.7818722
350	0.6181326	0.2666618	0.6100845	0.4476907	0.5192267	0.0883168	0.0469957	0.1120010	0.6019205	0.7480651
400	0.6549473	0.2782308	0.6441551	0.3461811	0.4480619	0.1175256	0.0924077	0.1830418	0.6225976	0.7323537
450	0.5420989	0.3751106	0.5757823	0.4780610	0.4512239	0.0915143	0.0653483	0.1081959	0.6755038	0.6668619
500	0.4546963	0.3456216	0.4783480	0.4442596	0.4956326	0.1111201	0.0648267	0.1015517	0.6752419	0.7844288
550	0.3478157	0.3108238	0.5604307	0.4450427	0.4645277	0.1272298	0.1414729	0.4086081	0.6289413	0.7831083
600	0.3650532	0.3733500	0.6257510	0.4550445	0.5585221	0.1297212	0.0856668	0.6150359	0.6500561	0.7133813
650	0.2740950	0.2979323	0.6131634	0.4874021	0.6303758	0.1702304	0.1061399	0.6716435	0.6599207	0.6499326
700	0.4083068	0.3717232	0.5099208	0.3568466	0.4997531	0.1435605	0.0805713	0.7136586	0.5417976	0.6528759
750	0.4351424	0.3234101	0.4551494	0.4779950	0.5068627	0.1915039	0.0721138	0.6491661	0.7130666	0.6530347
800	0.3662810	0.2986532	0.4931982	0.2674289	0.4096362	0.1378603	0.0810398	0.7497460	0.6207558	0.7335728
850	0.4561737	0.2728459	0.4525472	0.3003713	0.3250219	0.1103927	0.0828795	0.8092602	0.6548263	0.7231853
900	0.4289867	0.2941686	0.6518498	0.4009523	0.4760802	0.0934829	0.0440283	0.8835405	0.6873665	0.8662814
950	0.6749162	0.2922398	0.7499159	0.3833617	0.6651861	0.0990052	0.0301611	0.8515754	0.7505198	0.7211749
1000	0.7151686	0.2780375	0.5492105	0.4397911	0.4273537	0.1265608	0.0255139	0.6720958	0.7512393	0.6498329

0	0.4224693	0.3534755	0.6085855	0.4671955	0.5908703	0.0973087	0.0885642	0.6805779	0.6363391	0.7546953
50	0.4616842	0.4762062	0.5591462	0.4272637	0.5987771	0.1904356	0.0917009	0.6777289	0.6319019	0.3958174
100	0.3037927	0.6253496	0.4694320	0.4172977	0.5941144	0.2069151	0.0732833	0.8699260	0.7261581	0.2808063
150	0.1395598	0.5944393	0.4896897	0.4637590	0.5054701	0.2148767	0.1117248	0.7431863	0.6774650	0.1623106
200	0.1407422	0.6112044	0.5816442	0.4051231	0.4540546	0.2786509	0.1255180	0.7664543	0.6438510	0.2348776
250	0.0585757	0.7738524	0.5485373	0.3657517	0.5292156	0.3210358	0.0639529	0.7726997	0.7675122	0.1923435
300	0.0462353	0.6714208	0.6238168	0.4813679	0.5009531	0.3583689	0.0945753	0.5742558	0.6322698	0.1236857
350	0.0469731	0.6209062	0.6574344	0.5444584	0.5324255	0.3657227	0.0527267	0.7497368	0.6368504	0.1690513
400	0.0380280	0.7389799	0.6327837	0.3793122	0.4409345	0.2476541	0.0717520	0.6329877	0.7586479	0.1414961
450	0.0166447	0.6407628	0.5300177	0.4696543	0.4504653	0.3098263	0.0637467	0.7108348	0.7661590	0.1759917
