YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
0.6585291	0.1780178	0.1013375	0.8153955	0.3791120	0.4006546	0.3789833	0.0069416	0.5921497	0.1823015
0.3811062	0.2293120	0.0811618	0.8289537	0.5131488	0.4567172	0.2710805	0.0076531	0.3776893	0.4382587
0.3515539	0.0102651	0.0138085	0.6807423	0.4323624	0.5802309	0.1342154	0.0170072	0.3175304	0.3458236
0.6306857	0.1480558	0.0929173	0.7933155	0.3304633	0.3086510	0.3405903	0.0009123	0.2686258	0.3661468
0.2261741	0.4575121	0.1203720	0.6214755	0.4134389	0.3848090	0.5068961	0.0232659	0.4028380	0.2859085
0.5290848	0.0702175	0.0545884	0.8245475	0.3572312	0.5643705	0.3701621	0.0326684	0.4221859	0.3453487
0.3893529	0.4280373	0.1013484	0.7597076	0.3660248	0.4501822	0.3675806	0.0011273	0.2023850	0.3256121
0.6209120	0.0000656	0.0069762	0.8422507	0.3889610	0.3877117	0.2938010	0.0125768	0.5472999	0.2048343
0.6050344	0.4324300	0.1228188	0.8291707	0.3550219	0.4790968	0.3094220	0.0602235	0.2545722	0.1582220
0.1573855	0.6812235	0.1823823	0.5218990	0.4248899	0.2499544	0.4282921	0.0511403	0.8871693	0.0696999
