YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.9888112	0.9329495	0.7712429	0.6282960	0.4789759	0.0497225	0.9299915	0.9072963	0.3004505	1.0235477
0.9690433	0.8052463	0.5806996	0.1492134	0.0523440	0.0704312	0.8232956	0.2848934	0.6702736	0.5316468
1.0062136	0.9146641	0.5813378	0.3879454	0.2886535	0.1121249	0.7792039	1.0531354	0.3720121	1.0278122
1.0261631	0.9742925	0.8422118	0.8639951	0.6332027	0.0999584	0.6920569	1.0395524	0.4198655	1.0037214
0.9480186	0.8763603	0.3552766	0.1339018	0.0772419	0.0186991	1.0339448	0.8608895	0.3643771	0.4638962
0.9392977	0.9045200	0.4359416	0.0831838	0.1192812	0.0873846	0.8944172	0.7458877	0.3725916	1.0163611
0.9035005	1.0177134	0.8054051	1.0411988	0.7440544	0.1279212	0.9318173	0.7567079	0.3802699	1.0126940
0.9957624	0.6362325	0.2114855	0.0763617	0.1783773	0.1127830	0.9847719	0.9509619	0.3873096	0.8447215
0.9366902	0.9748015	0.8330085	0.9091197	0.8162769	0.3544467	0.2525741	0.8144472	0.3264703	0.9245858
0.9378085	0.8860953	0.6291520	0.7034255	0.5484864	0.2571005	0.4160960	0.6264918	0.4544860	1.0067149
