YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
0.0	0.1846437092786772	0.0	0.0	0.0	-0.6721280745696276	-0.7815052156802267	-0.2132416656240821	0.0	0.05336210332868814
0.0	0.0	0.0	-0.95702961133793	0.034807912659860725	-0.640901664737612	0.0	0.0	0.0	0.0
0.0	0.0	0.0	-0.45711319940164685	0.0	0.0	0.0	0.0	0.0	0.08255126086121618
-0.6316310921683908	0.0	0.0	0.0	0.0	0.0	0.0	-0.6083972889464349	-0.796624030219391	0.0
0.0	0.8948937202254428	0.0	0.0	0.0	0.0	0.0	0.0	-0.5270294919610023	0.0
0.0	0.0	0.0	0.0	0.0	-0.5179747161455452	0.0	0.0	0.0	0.0
-0.6618832380045205	0.0	-0.9497012123465538	0.0	0.015308718317217699	-0.9734458646271378	0.0	-0.8839414906688035	0.0	0.0
0.0	0.0	0.0	0.0	0.825866064875416	0.0	0.0	0.0	0.0	0.860555894589631
-0.24566483264788985	0.0	-0.3044764243531972	0.0	0.8357374857915859	0.0	0.0	0.0	0.0	0.010580420178009267
0.0	0.19490574853589068	-0.9576169063802809	-0.693093327106908	0.7597473183451514	-0.727275526849553	0.0	0.0	-0.6512721886392683	-0.015115534737126832
