"Time"	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W

0	0.1432154	0.6486843	0.9998126	0.9996998	0.2503837	0.5179453	0.0297809	0.9520828	0.0897263	1.0000000
50	0.1432171	0.9083122	0.9998073	0.4114279	0.4616307	0.5168150	0.0315012	0.8417759	0.0897501	1.0000000
100	0.1432174	0.9215254	0.9997542	0.3121704	0.5379236	0.5057854	0.0354373	0.8052430	0.0892714	1.0000000
150	0.1432094	0.9197664	0.9996457	0.2953895	0.5629296	0.4860960	0.0383243	0.7937370	0.0870785	1.0000000
200	0.1431804	0.9185852	0.9995345	0.2925256	0.5677412	0.4680498	0.0397473	0.7890417	0.0832796	1.0000000
250	0.1431296	0.9180258	0.9994583	0.2920225	0.5655238	0.4559863	0.0404104	0.7852376	0.0792419	1.0000000
300	0.1430703	0.9176273	0.9994140	0.2919269	0.5619467	0.4489369	0.0408347	0.7811038	0.0759663	1.0000000
350	0.1430166	0.9172401	0.9993853	0.2919035	0.5589523	0.4447149	0.0412197	0.7769812	0.0736759	1.0000000
400	0.1429749	0.9168672	0.9993614	0.2918932	0.5568242	0.4417714	0.0415911	0.7734062	0.0721723	1.0000000
450	0.1429455	0.9165438	0.9993393	0.2918854	0.5553335	0.4394002	0.0419217	0.7706232	0.0711762	1.0000000
500	0.1429255	0.9162883	0.9993193	0.2918787	0.5542297	0.4374025	0.0421899	0.7685821	0.0704771	1.0000000
550	0.1429120	0.6140591	0.9993270	0.8798060	0.3270960	0.4371764	0.0395607	0.8797914	0.0699650	1.0000000
600	0.1429029	0.6211970	0.9994709	0.9791477	0.2450413	0.4481985	0.0347983	0.9220335	0.0699318	1.0000000
650	0.1429002	0.6355259	0.9996360	0.9960762	0.2200680	0.4688195	0.0320632	0.9349282	0.0713102	1.0000000
700	0.1429100	0.6413891	0.9997315	0.9990188	0.2189798	0.4880550	0.0309515	0.9386045	0.0743772	1.0000000
750	0.1429376	0.6434761	0.9997734	0.9995500	0.2261510	0.5007344	0.0305469	0.9409826	0.0782706	1.0000000
800	0.1429812	0.6446169	0.9997901	0.9996528	0.2340052	0.5076769	0.0303567	0.9436095	0.0818650	1.0000000
850	0.1430324	0.6456223	0.9997974	0.9996763	0.2399018	0.5113050	0.0302134	0.9461255	0.0845704	1.0000000
900	0.1430815	0.6465258	0.9998017	0.9996844	0.2437019	0.5133854	0.0300888	0.9481280	0.0863767	1.0000000
950	0.1431220	0.6472436	0.9998050	0.9996892	0.2460369	0.5147710	0.0299887	0.9495353	0.0875267	1.0000000
1000	0.1431522	0.6477557	0.9998074	0.9996927	0.2475042	0.5157773	0.0299158	0.9504578	0.0882656	1.0000000

0	0.1432154	0.6486843	0.9998126	0.9996998	0.2503837	0.5179453	0.0297809	0.9520828	0.0897263	1.0000000
50	0.1261413	0.5799546	0.9997846	0.6668241	0.2211886	0.2929129	0.0389187	0.5289561	0.0624369	0.2723348
100	0.2539202	0.4424699	0.9990428	0.6101781	0.1518021	0.1909220	0.0752554	0.4084233	0.0631204	0.1631432
150	0.4101204	0.3584838	0.9916500	0.5970119	0.0938573	0.1239112	0.1209132	0.3715052	0.1075074	0.1467581
200	0.4989116	0.3212448	0.9643567	0.5843659	0.0573128	0.0828905	0.1542260	0.3477337	0.1642894	0.1442994
250	0.5382880	0.2991863	0.9183329	0.5674361	0.0373754	0.0605721	0.1793387	0.3256811	0.2061937	0.1439305
300	0.5544360	0.2820092	0.8618220	0.5478782	0.0274363	0.0483832	0.2019430	0.3091677	0.2307999	0.1438751
350	0.5608701	0.2694215	0.7996662	0.5265136	0.0226750	0.0411770	0.2211064	0.2988369	0.2437725	0.1438668
400	0.5634011	0.2613374	0.7407119	0.5057951	0.0203913	0.0366482	0.2350796	0.2930606	0.2502163	0.1438656
450	0.5643899	0.2566718	0.6938692	0.4887650	0.0192647	0.0337853	0.2439570	0.2900578	0.2532994	0.1438654
500	0.5647744	0.2541785	0.6619613	0.4767752	0.0186870	0.0320288	0.2490329	0.2885732	0.2547372	0.1438654
550	0.7201082	0.3630855	0.6978571	0.7643340	0.0205441	0.1210810	0.1547689	0.6622796	0.2128305	0.8715305
600	0.4773599	0.5015874	0.8892824	0.9195792	0.0298463	0.1824868	0.0746835	0.7582959	0.1294028	0.9807222
650	0.2954990	0.5615276	0.9753542	0.9804046	0.0477123	0.2613979	0.0491175	0.8156759	0.0856271	0.9971072
700	0.2076627	0.5932429	0.9947654	0.9952372	0.0773543	0.3436622	0.0399684	0.8657851	0.0665190	0.9995659
750	0.1694930	0.6143497	0.9986494	0.9985221	0.1159706	0.4073628	0.0355429	0.8972409	0.0609579	0.9999349
800	0.1535910	0.6267739	0.9994705	0.9993039	0.1543996	0.4497418	0.0332449	0.9126038	0.0628685	0.9999902
850	0.1471256	0.6333278	0.9996747	0.9995249	0.1858393	0.4757907	0.0320903	0.9219491	0.0680383	0.9999985
900	0.1445582	0.6373694	0.9997389	0.9996022	0.2084230	0.4909792	0.0314343	0.9299835	0.0736541	0.9999998
950	0.1435767	0.6405139	0.9997657	0.9996367	0.2233121	0.4998613	0.0309654	0.9368091	0.0783420	1.0000000
1000	0.1432295	0.6430389	0.9997808	0.9996567	0.2326970	0.5054527	0.0306009	0.9419314	0.0817956	1.0000000

0	0.1432154	0.6486843	0.9998126	0.9996998	0.2503837	0.5179453	0.0297809	0.9520828	0.0897263	1.0000000
50	0.0499477	0.6488828	0.9998128	0.8068321	0.6028040	0.5180034	0.0297601	0.9551037	0.0902873	0.8627488
100	0.0183089	0.6503655	0.9998139	0.7742977	0.7312092	0.5182709	0.0295952	0.9624064	0.0918502	0.8421532
150	0.0076441	0.6526645	0.9998176	0.7688132	0.7780334	0.5192992	0.0293136	0.9681017	0.0934718	0.8390627
