YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.0000000	0.3883741	0.0532499	1.0645272	0.0916216	0.7059511	0.4791410	0.0900037	0.0169706	0.0462137
0.0278270	0.0000000	0.0640613	1.0174906	0.0591917	0.7368588	0.5158196	0.1442284	0.0204110	0.0365832
0.1189574	0.4091296	0.0000000	1.0399542	0.0636321	0.7986639	0.5598533	0.1261753	0.0303191	0.0334076
0.8266042	1.0593319	1.0151528	0.0000000	0.1449407	0.6322371	0.6081041	0.7367266	0.0367205	0.0498716
0.0963331	0.4484965	0.0422453	1.0113693	0.0000000	0.8127915	0.5108219	0.2321844	0.0125582	0.0437949
0.1684728	0.4611723	0.0310214	1.0109843	0.7104024	0.0000000	0.3258536	0.1180822	0.0071995	0.0398696
0.1679014	0.4894871	0.0578588	1.0425347	0.0022351	0.9940044	0.0000000	0.1106839	0.0257153	0.0365425
0.1342356	0.4456254	0.0415325	1.0967980	0.0021111	1.0191294	0.1087505	0.0000000	0.0196784	0.0447534
0.2179001	0.4804320	0.0487545	0.9445772	0.0367392	0.9514893	0.2441589	0.0807506	0.0000000	0.0566236
0.1482886	0.3899007	0.0528535	0.9699955	0.1073450	0.7574608	0.4989720	0.0864479	0.0307097	0.0000000
