YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.3670748	0.9986992	0.9972460	0.0733412	0.1176172	0.1980673	1.0000000	1.0000000	0.1056248	1.0000000
0.3679701	0.4993497	0.9972460	0.0733411	0.1176165	0.1980673	1.0000000	1.0000000	0.1056248	1.0000000
0.7338232	0.9987377	0.4986573	0.0733422	0.1176225	0.1980673	1.0000000	1.0000000	0.1056248	1.0000000
0.7338089	0.9986991	0.9998606	0.0362406	0.0898046	0.1980673	1.0000000	1.0000000	0.1056248	1.0000000
0.7338089	0.9986992	0.9974480	0.0720281	0.0583451	0.1980673	1.0000000	1.0000000	0.1056248	1.0000000
0.7338090	0.9986994	0.9909023	0.0974677	0.2763632	0.0990336	1.0000000	1.0000000	0.1056248	1.0000000
0.7338089	0.9986992	0.9973628	0.0725878	0.0945377	0.8533970	0.5000102	1.0000000	0.1056248	1.0000000
0.7329467	0.9967394	0.9973019	0.0733410	0.1176163	0.1980673	1.0000000	0.5004537	0.1056248	1.0000000
0.7342793	0.9997877	0.9972459	0.0733414	0.1176181	0.1980673	1.0000000	1.0000000	0.0528228	1.0000000
0.7318447	0.9941727	0.9972460	0.0733411	0.1176165	0.1980673	1.0000000	1.0000000	0.1881820	0.5000065
