YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
0.0000000	0.4566827	0.3880899	0.0608456	0.2000508	0.3433782	0.8008677	0.2247606	0.1739187	0.7408804
0.8516751	0.0000000	0.1835757	0.1279597	0.1719760	0.3313027	0.7622568	0.1341759	0.8552499	0.1533474
0.1045732	0.7808104	0.0068987	0.0856466	0.1339479	0.3159457	0.8200166	0.3759703	0.8153599	0.0646692
0.6208700	0.2668613	0.9234320	0.0000000	0.1767563	0.3566561	0.6797803	0.2084975	0.8090544	0.2599940
0.8650999	0.2023169	0.7571039	0.0166769	0.0000000	0.9340356	0.1552845	0.9401880	0.8352597	0.1693933
0.6317464	0.3299624	0.7498656	0.0383185	0.1351456	0.0000000	0.5015375	0.3938333	0.9207721	0.2870835
0.1813070	0.7664549	0.0211639	0.5180053	0.4688512	0.6577451	0.0000000	0.0754092	0.7654285	0.0956811
0.5936171	0.3303611	0.6309711	0.1581481	0.1717940	0.3599961	0.8497400	0.0000000	0.7306535	0.2786274
0.3346625	0.5091408	0.4290122	0.0424200	0.1343588	0.3312372	0.9014601	0.2370563	0.0000000	0.4200155
0.4991080	0.2937709	0.4354689	0.1014137	0.2421529	0.5409041	0.6702032	0.1792510	0.7637256	0.0000000
