YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.9075280	0.9976036	0.3225071	0.0644711	0.9727453	0.4551118	0.7654597	0.5827073	0.6221662	0.0695319
0.9073182	0.9961364	0.3225908	0.0644801	0.9567667	0.7006252	0.0670562	0.4142821	0.6221159	0.0697144
0.9470048	0.9827004	0.3583669	0.0644788	0.9589341	0.8051019	0.6234486	0.7435688	0.4873947	0.0696887
0.9069290	0.9932651	0.3232588	0.0645690	0.8349968	0.3678338	0.6991267	0.6261673	0.6218059	0.0717013
0.9598816	0.9959354	0.3227362	0.0644998	0.9237464	0.3345315	0.8335803	0.7957864	0.3441167	0.0032673
0.9621277	0.9787962	0.1560307	0.0431318	0.8000806	0.3379464	0.8310637	0.4553936	0.7724787	0.0044913
0.9464663	0.9969159	0.3224188	0.0644582	0.9984706	0.9986929	0.3443664	0.3461829	0.5527378	0.0023710
0.9051701	0.9811724	0.3229701	0.0645307	0.8800391	0.4328955	0.7453794	0.6260548	0.6219653	0.0022868
0.9073533	0.9963856	0.3776045	0.0644596	0.9955713	0.7709750	0.5859731	0.5869438	0.5535405	0.0012963
0.9073547	0.9963970	0.4669217	0.0644583	0.9981874	0.9329043	0.3839135	0.5392157	0.5669912	0.0692793
