"Time"	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W

0	0.1797150	0.6986829	0.0838335	0.3082488	0.6109943	0.1113246	0.1036178	0.0338618	0.0592395	0.6432583
50	0.2968948	0.4103817	0.1117575	0.2430768	0.6117001	0.0712898	0.1112845	0.0513855	0.0274076	0.6958116
100	0.3692897	0.4487312	0.0931356	0.2096888	0.5772232	0.0686249	0.0870004	0.0336912	0.0482489	0.7370366
150	0.2423993	0.4748377	0.0625296	0.2708638	0.6183780	0.0778903	0.1021703	0.0359650	0.0651186	0.7094189
200	0.2890410	0.5094817	0.0443403	0.1513433	0.5938795	0.0946597	0.0500499	0.0218494	0.0275177	0.6015873
250	0.3429896	0.4612928	0.0327249	0.1851235	0.6792929	0.0982481	0.1240334	0.0407465	0.0389824	0.6928787
300	0.4423287	0.5178238	0.0376162	0.1744098	0.6742460	0.1294755	0.0656245	0.0572681	0.1162608	0.6335882
350	0.2734029	0.4018099	0.0396391	0.1999200	0.5851138	0.0948296	0.0294942	0.0924722	0.0676844	0.7051644
400	0.3196987	0.5744740	0.0224649	0.2031975	0.5622568	0.1270261	0.0237317	0.0442176	0.0763572	0.8146525
450	0.3352914	0.5785291	0.0310336	0.1781582	0.6496229	0.1261410	0.0272270	0.0305205	0.0647055	0.6631371
500	0.2404052	0.4263467	0.0262553	0.1505949	0.6483532	0.1601250	0.0759051	0.0597150	0.0535570	0.8556564
550	0.2395259	0.7157556	0.0514113	0.1752142	0.5645295	0.1359139	0.0426730	0.0557082	0.0358315	0.6658290
600	0.2702779	0.6615503	0.0458563	0.2219795	0.5456208	0.1385118	0.0667216	0.0390409	0.0384514	0.8480866
650	0.2190695	0.7438036	0.0340558	0.2100896	0.5582135	0.0900562	0.0237717	0.0354823	0.0381166	0.9795387
700	0.1804899	0.7594015	0.0575444	0.2684927	0.5825180	0.0972036	0.0319053	0.0470990	0.0302435	0.6614939
750	0.2314457	0.8409227	0.0373536	0.3322440	0.6813544	0.0819310	0.0930000	0.0386181	0.0343403	0.7479240
800	0.2547208	0.6041906	0.0976530	0.2235397	0.5194030	0.1101771	0.0611347	0.0177842	0.0299914	0.7532293
850	0.1827651	0.6658276	0.0992911	0.2721503	0.7739636	0.0866238	0.0349831	0.0584967	0.0567008	0.7062127
900	0.2011351	0.6278629	0.0887177	0.2715997	0.6217281	0.0702635	0.0764248	0.0378506	0.0718149	0.6276577
950	0.1945964	0.8437378	0.0987007	0.3049579	0.6962622	0.0803045	0.0722309	0.0406196	0.0612522	0.7332775
1000	0.2263497	0.7385101	0.1113735	0.3082390	0.6940986	0.0536196	0.0691508	0.0344637	0.0320086	0.7244543

0	0.2054973	0.6908852	0.0810234	0.2573001	0.7022037	0.1308881	0.1526478	0.0363847	0.0669451	0.7072713
50	0.1602100	0.6501646	0.0797328	0.2754560	0.7005869	0.3101964	0.0687716	0.4913588	0.0884792	0.6630312
100	0.2221417	0.5747102	0.1287680	0.3067059	0.4188383	0.3944625	0.0407287	0.7387300	0.0392161	0.7305312
150	0.3101793	0.6220992	0.1360454	0.3086834	0.4226160	0.5458825	0.0302349	0.6871597	0.0738080	0.7742567
200	0.3655766	0.6587455	0.1083724	0.2177178	0.2694439	0.7552043	0.0233050	0.6622030	0.0613752	0.8063554
250	0.3081680	0.6558398	0.0793802	0.1727637	0.2316597	0.7076610	0.0437819	0.7679165	0.0516885	0.6714442
300	0.3651318	0.6490676	0.0692819	0.2249078	0.2271362	0.5209058	0.0387021	0.8337112	0.1133109	0.7773435
350	0.2914795	0.8444832	0.0946961	0.1906647	0.2039819	0.6429822	0.0191720	0.7631926	0.0561794	0.7136205
400	0.4355919	0.8075916	0.0603300	0.2612517	0.2009891	0.7921113	0.0154197	0.7793863	0.0518882	0.5945019
450	0.3321001	0.7323716	0.0375039	0.3132617	0.2386913	0.7527240	0.0103866	0.6357854	0.0821434	0.8936874
500	0.3438295	0.6511953	0.0614084	0.2600364	0.1635195	0.7473351	0.0184486	0.8153658	0.0559597	0.6861897
