"Time"	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W

0	0.3991031	0.6651936	0.0447019	0.8982802	0.0851456	0.2974176	0.9875951	0.8811497	0.8178202	0.2220369
50	0.3958622	0.6050098	0.0290198	0.9048646	0.0830387	0.2035902	0.9876377	0.9074000	0.8175645	0.2222164
100	0.3771928	0.5516138	0.0139964	0.9340308	0.0770084	0.1112096	0.9878882	0.9313882	0.8168904	0.2224336
150	0.3509421	0.5290615	0.0067888	0.9643916	0.0730431	0.0652743	0.9882544	0.9418691	0.8157852	0.2228669
200	0.3290311	0.5214912	0.0038405	0.9832714	0.0713103	0.0456940	0.9885754	0.9455422	0.8146497	0.2235164
250	0.3149851	0.5194739	0.0027060	0.9926243	0.0706376	0.0378097	0.9887915	0.9466134	0.8136326	0.2242360
300	0.3073520	0.5192584	0.0022810	0.9967457	0.0703855	0.0347095	0.9889151	0.9468110	0.8127468	0.2249229
350	0.3037021	0.5195557	0.0021237	0.9984445	0.0702920	0.0335026	0.9889782	0.9467455	0.8119808	0.2255395
400	0.3021796	0.5199592	0.0020657	0.9991170	0.0702575	0.0330346	0.9890075	0.9466155	0.8113203	0.2260797
450	0.3016808	0.5203505	0.0020444	0.9993766	0.0702447	0.0328533	0.9890198	0.9464809	0.8107514	0.2265487
500	0.3016317	0.5207003	0.0020365	0.9994752	0.0702400	0.0327831	0.9890241	0.9463581	0.8102614	0.2269541
550	0.3053648	0.5816507	0.0177112	0.9987266	0.0702621	0.1256595	0.9889853	0.9190951	0.8098395	0.2273042
600	0.3250879	0.6360620	0.0327296	0.9890926	0.0710113	0.2171377	0.9887680	0.8941574	0.8094978	0.2276048
650	0.3520300	0.6592516	0.0399358	0.9669112	0.0737578	0.2627531	0.9884539	0.8830925	0.8093732	0.2278379
700	0.3741347	0.6671686	0.0428848	0.9424157	0.0775042	0.2824778	0.9881629	0.8790493	0.8096143	0.2279270
750	0.3881833	0.6694178	0.0440209	0.9236203	0.0806461	0.2907662	0.9879374	0.8777846	0.8101565	0.2278048
800	0.3958161	0.6697926	0.0444478	0.9118066	0.0826967	0.2943308	0.9877787	0.8775502	0.8108362	0.2274932
850	0.3995028	0.6695905	0.0446069	0.9051911	0.0838692	0.2959373	0.9876756	0.8776894	0.8115325	0.2270711
900	0.4010815	0.6692329	0.0446663	0.9017266	0.0844952	0.2966968	0.9876137	0.8779526	0.8121856	0.2266146
950	0.4016350	0.6688557	0.0446887	0.8999774	0.0848184	0.2970684	0.9875797	0.8782421	0.8127726	0.2261715
1000	0.4017270	0.6685026	0.0446973	0.8991094	0.0849828	0.2972537	0.9875629	0.8785192	0.8132886	0.2257655

0	0.3991031	0.6651936	0.0447019	0.8982802	0.0851456	0.2974176	0.9875951	0.8811497	0.8178202	0.2220369
50	0.3860657	0.4358834	0.0291286	0.8982851	0.0851435	0.2972469	0.9917228	0.8812093	0.8242840	0.1848078
100	0.3129088	0.2300098	0.0141892	0.8984127	0.0850984	0.2963278	0.9960708	0.8839923	0.8485793	0.1553199
150	0.2160052	0.1397027	0.0070017	0.8988534	0.0849588	0.2950752	0.9983350	0.8908379	0.8731395	0.1385872
200	0.1417545	0.1058260	0.0040503	0.8995489	0.0847595	0.2940401	0.9993161	0.8988327	0.8914105	0.1274016
250	0.0975120	0.0933833	0.0029097	0.9002808	0.0845670	0.2933664	0.9997072	0.9056450	0.9041958	0.1197246
300	0.0744004	0.0884915	0.0024808	0.9008858	0.0844187	0.2929817	0.9998561	0.9106839	0.9129771	0.1145404
350	0.0631956	0.0862901	0.0023216	0.9013131	0.0843198	0.2927780	0.9999114	0.9141776	0.9189238	0.1110818
400	0.0579860	0.0851377	0.0022629	0.9015841	0.0842598	0.2926748	0.9999317	0.9165285	0.9229066	0.1087899
450	0.0556073	0.0844612	0.0022413	0.9017433	0.0842257	0.2926238	0.9999391	0.9180882	0.9255538	0.1072775
500	0.0545183	0.0840376	0.0022333	0.9018319	0.0842072	0.2925988	0.9999419	0.9191160	0.9273043	0.1062821
550	0.0605352	0.2949687	0.0177741	0.9018739	0.0841995	0.2927470	0.9960183	0.9197095	0.9237169	0.1335811
