"Time"	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C

0	0.9828854	0.8401771	0.1178073	0.0957414	0.1277817	0.2536428	0.9984723	0.9108120	0.2323933	0.9990392
50	0.9828070	0.8249379	0.1996061	0.1994139	0.4408706	0.0730501	0.9984724	0.9108154	0.2323930	0.9988148
100	0.9791915	0.6879881	0.3713118	0.2914252	0.5539271	0.0420515	0.9984725	0.9108163	0.2324149	0.9932879
150	0.9566693	0.5039043	0.4772068	0.3700522	0.5959558	0.0367307	0.9984725	0.9108015	0.2326545	0.9656308
200	0.8819691	0.3902032	0.5135785	0.4214806	0.6117400	0.0358173	0.9984723	0.9106943	0.2335648	0.9195681
250	0.7486287	0.3407764	0.5106675	0.4500918	0.6176847	0.0356606	0.9984715	0.9103449	0.2352643	0.8837932
300	0.6318934	0.3269499	0.4961146	0.4645535	0.6199262	0.0356339	0.9984691	0.9096787	0.2371586	0.8703067
350	0.5782768	0.3283687	0.4859320	0.4714217	0.6207719	0.0356298	0.9984650	0.9088296	0.2385069	0.8715087
400	0.5691587	0.3329952	0.4832032	0.4745440	0.6210910	0.0356298	0.9984596	0.9080532	0.2390864	0.8765251
450	0.5754275	0.3357008	0.4845466	0.4759181	0.6212114	0.0356305	0.9984544	0.9075265	0.2391580	0.8797548
500	0.5812251	0.3360849	0.4864430	0.4765080	0.6212569	0.0356314	0.9984505	0.9072626	0.2390602	0.8804934
550	0.5835073	0.3386882	0.4354658	0.3841171	0.2911038	0.2162267	0.9984482	0.9071727	0.2389734	0.8830097
600	0.6064139	0.3763864	0.3042048	0.2703963	0.1808947	0.2472260	0.9984471	0.9071714	0.2386747	0.9109126
650	0.7085203	0.4769970	0.2024185	0.1834450	0.1459221	0.2525472	0.9984469	0.9073061	0.2375219	0.9529364
700	0.8482775	0.6101716	0.1516845	0.1356447	0.1342677	0.2534605	0.9984479	0.9077288	0.2358095	0.9799164
750	0.9312697	0.7192743	0.1305733	0.1130138	0.1301658	0.2536169	0.9984506	0.9084155	0.2343311	0.9918433
800	0.9637569	0.7843218	0.1224679	0.1030093	0.1286711	0.2536430	0.9984549	0.9091605	0.2333774	0.9964212
850	0.9754786	0.8164520	0.1194844	0.0987416	0.1281161	0.2536464	0.9984597	0.9097847	0.2328562	0.9980962
900	0.9799262	0.8306590	0.1184087	0.0969607	0.1279080	0.2536459	0.9984640	0.9102245	0.2325992	0.9987007
950	0.9817047	0.8365222	0.1180229	0.0962289	0.1278294	0.2536449	0.9984673	0.9104988	0.2324809	0.9989183
1000	0.9824291	0.8388358	0.1178838	0.0959318	0.1277996	0.2536441	0.9984695	0.9106552	0.2324291	0.9989967

0	0.9828854	0.8401771	0.1178073	0.0957414	0.1277817	0.2536428	0.9984723	0.9108120	0.2323933	0.9990392
50	0.9829430	0.8467519	0.0852369	0.0954120	0.1132503	0.0563508	0.9984723	0.9105909	0.2402166	0.3436708
100	0.9840570	0.8942878	0.0401623	0.0930338	0.0954770	0.0224859	0.9984675	0.9060259	0.2974945	0.1452319
150	0.9868304	0.9475999	0.0256929	0.0896833	0.0876004	0.0166741	0.9984216	0.8806705	0.4730992	0.0851502
200	0.9891953	0.9750416	0.0227724	0.0870545	0.0845315	0.0156829	0.9982013	0.8114817	0.7018801	0.0669574
250	0.9904388	0.9853472	0.0222547	0.0854498	0.0833606	0.0155367	0.9975179	0.7159297	0.8489669	0.0614483
300	0.9909678	0.9887301	0.0221604	0.0845901	0.0829168	0.0155740	0.9960253	0.6344839	0.9160174	0.0597801
350	0.9911690	0.9897636	0.0221408	0.0841645	0.0827496	0.0156987	0.9936584	0.5815321	0.9428051	0.0592749
400	0.9912400	0.9900654	0.0221358	0.0839649	0.0826876	0.0158859	0.9909130	0.5519463	0.9529595	0.0591219
450	0.9912636	0.9901510	0.0221344	0.0838750	0.0826659	0.0160926	0.9885041	0.5368925	0.9567120	0.0590756
500	0.9912712	0.9901749	0.0221339	0.0838359	0.0826594	0.0162710	0.9868099	0.5297051	0.9580766	0.0590616
550	0.9912734	0.9901334	0.0233174	0.0838584	0.0869915	0.2158065	0.9858375	0.5331780	0.7089570	0.7150576
600	0.9912639	0.9883184	0.0354681	0.0846359	0.1037596	0.2501556	0.9868172	0.5993416	0.3988598	0.9137091
650	0.9911513	0.9777613	0.0606047	0.0869085	0.1174091	0.2554783	0.9908707	0.7109704	0.2859632	0.9738555
700	0.9906909	0.9517052	0.0859698	0.0898618	0.1241301	0.2553967	0.9946372	0.8036497	0.2496047	0.9920148
750	0.9896388	0.9160174	0.1029186	0.0923827	0.1267569	0.2546421	0.9967396	0.8592603	0.2379906	0.9973768
800	0.9880500	0.8839509	0.1117258	0.0940480	0.1276095	0.2541256	0.9977192	0.8876247	0.2342315	0.9988221
850	0.9863178	0.8622583	0.1156075	0.0949726	0.1278232	0.2538603	0.9981495	0.9008415	0.2329967	0.9991172
900	0.9848738	0.8501527	0.1171159	0.0954236	0.1278458	0.2537376	0.9983353	0.9066621	0.2325883	0.9991243
950	0.9839072	0.8442763	0.1176349	0.0956212	0.1278268	0.2536834	0.9984148	0.9091287	0.2324540	0.9990883
