"Time"	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C

0	0.4241907	0.4023369	0.4903080	0.5286805	0.5467343	0.1366763	0.0765101	0.8127055	0.7462677	0.6582505
50	0.2946620	0.3435903	0.6318757	0.4308864	0.4371821	0.0949527	0.0250281	0.2490137	0.5956984	0.6599092
100	0.4242404	0.3926706	0.5644866	0.3914666	0.5341649	0.0592752	0.0336293	0.1303274	0.6479096	0.7020982
150	0.5045138	0.2798457	0.5338012	0.4249991	0.5612117	0.0608103	0.0533544	0.1115202	0.6325928	0.8005372
200	0.6792992	0.2798534	0.5555496	0.3776922	0.6157740	0.0469728	0.0809760	0.1490251	0.6785073	0.8065462
250	0.6962682	0.4066551	0.4465483	0.2645688	0.5351517	0.0929959	0.0617882	0.1134718	0.7016289	0.5475488
300	0.4296218	0.3180266	0.5644182	0.4140532	0.3886145	0.1192158	0.0478207	0.1725253	0.5583130	0.6432755
350	0.4882925	0.3815843	0.6312082	0.4748547	0.4987176	0.0610290	0.0380003	0.1988887	0.7589146	0.6481306
400	0.5068624	0.4119439	0.5925930	0.5005327	0.6316584	0.0910413	0.0445841	0.1620137	0.7197729	0.7104535
450	0.5497468	0.3973921	0.4073249	0.4443046	0.4151502	0.1066917	0.0502665	0.1270541	0.7288449	0.7974727
500	0.3452060	0.3347535	0.5104786	0.4268769	0.4449395	0.1109969	0.0716061	0.1031897	0.6138814	0.7023127
550	0.3611681	0.3955644	0.6578760	0.4039710	0.4882519	0.1391903	0.1795204	0.6494016	0.6281751	0.6752900
600	0.3786444	0.3687345	0.5490988	0.4590751	0.5117621	0.1492924	0.1060093	0.6964254	0.6802390	0.5511872
650	0.4400793	0.3523438	0.5275026	0.4637088	0.4973233	0.1562300	0.0801075	0.7235916	0.7748748	0.6187176
700	0.4457598	0.3150886	0.4550873	0.3353408	0.5186652	0.2255785	0.1149697	0.6326730	0.6632112	0.7131615
750	0.3353934	0.3607972	0.4341530	0.3646767	0.4871923	0.1520755	0.0436459	0.5809014	0.6213571	0.6452433
800	0.4518350	0.3254062	0.5397218	0.3972169	0.4204011	0.1341079	0.0965065	0.7914283	0.5626632	0.7876888
850	0.5724576	0.2804016	0.6102831	0.4036767	0.3885039	0.1111775	0.0548360	0.6955779	0.5327909	0.6842757
900	0.4891522	0.2890294	0.5947616	0.4927475	0.5484784	0.1184809	0.0388467	0.6849213	0.5668015	0.5943229
950	0.4439521	0.3916573	0.6555267	0.3886946	0.5970681	0.0528794	0.0521414	0.6911801	0.6611314	0.6324948
1000	0.4612111	0.3789430	0.5801748	0.4852674	0.4754529	0.0664550	0.0675669	0.6260704	0.6705026	0.6785922

0	0.3013007	0.4961520	0.4572950	0.5213696	0.6237937	0.1481487	0.0995443	0.8936534	0.9270596	0.7901996
50	0.3611783	0.6322117	0.5091403	0.4258143	0.4184693	0.2465970	0.0757985	0.6998064	0.8082991	0.2154906
100	0.1527734	0.6507700	0.5719423	0.5102385	0.5711178	0.2970014	0.0634993	0.8746849	0.7159954	0.2239783
150	0.0592718	0.7545833	0.4989246	0.3627426	0.4734502	0.2308944	0.0619224	0.7958399	0.5868627	0.1633481
200	0.0797114	0.6958735	0.5253699	0.3823259	0.4867776	0.3002133	0.0775043	0.7340230	0.4638279	0.2169337
250	0.0481740	0.6393343	0.5241217	0.3881503	0.5005091	0.2812538	0.0492303	0.8026081	0.6292635	0.1575581
300	0.0322826	0.7471322	0.5879703	0.4637978	0.5138966	0.3289336	0.0325033	0.7750828	0.6690405	0.1946452
350	0.0386213	0.6476009	0.5655586	0.5432197	0.4630694	0.3021652	0.0551827	0.6303469	0.9136573	0.2143921
400	0.0434398	0.7543467	0.6204767	0.4283967	0.4907329	0.3248909	0.0432251	0.7157506	0.6800781	0.1532360
450	0.0427271	0.6758041	0.5409885	0.3993113	0.5768106	0.2856470	0.0910272	0.6922559	0.6038312	0.1799626
500	0.0500615	0.6264358	0.5601302	0.3587663	0.4522965	0.2125798	0.0733527	0.7152455	0.6461409	0.1595279
550	0.0457354	0.4559237	0.5035676	0.3142395	0.5115434	0.1633346	0.1170138	0.7555632	0.6471284	0.6446962
600	0.1085638	0.3473771	0.4389594	0.5254919	0.4468036	0.1632829	0.0474943	0.7354881	0.6871483	0.7509565
650	0.2363686	0.3724788	0.4433184	0.4197442	0.4431038	0.1341089	0.1115017	0.7670411	0.7649614	0.5802800
700	0.2960105	0.3558118	0.5539342	0.4456188	0.5204203	0.1227063	0.1043188	0.7636497	0.6726684	0.6619599
750	0.3988720	0.3571896	0.4909609	0.4358148	0.5034464	0.1350066	0.0676593	0.8989916	0.5991115	0.7354468
800	0.3883466	0.3539256	0.4944860	0.4642382	0.4959891	0.1600959	0.0883085	0.8110523	0.8001489	0.8248553
850	0.4672421	0.3772457	0.5268458	0.3845517	0.3509574	0.1328176	0.0618493	0.6675501	0.6713970	0.6926283
900	0.6022863	0.2913434	0.6105271	0.3512567	0.4608781	0.1613411	0.1139183	0.7615512	0.7778324	0.6910363
950	0.5121289	0.3637435	0.4535068	0.3528350	0.5717097	0.0928245	0.0959218	0.7655957	0.6487770	0.6639065
1000	0.4959935	0.3416229	0.5482425	0.3014217	0.5115595	0.1049622	0.0491857	0.7733920	0.6273840	0.8131450

0	0.4087810	0.4419056	0.5320095	0.4578062	0.5288389	0.2301002	0.0780415	0.8178956	0.7323712	0.7640227
