YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.1293961	0.9997419	0.7379293	0.2509005	0.3826942	0.6207730	0.5116256	0.9174489	0.4582576	1.0000000
0.2575048	0.4999074	0.7363770	0.2491106	0.3844370	0.6229799	0.5141265	0.9103587	0.4600169	1.0000000
0.5196167	0.9921255	0.3680623	0.2487582	0.3848180	0.6234982	0.5147394	0.9086267	0.4604048	1.0000000
0.3756906	0.9983790	0.5075937	0.1244349	0.3846982	0.6233395	0.5145596	0.9091170	0.4602830	1.0000000
0.2194922	0.9999122	0.9180642	0.6342254	0.1921375	0.6227384	0.5138153	0.9112830	0.4598505	1.0000000
0.3734237	0.9999176	0.9294412	0.7053134	0.1683268	0.3627906	0.6563280	0.5722120	0.2258236	1.0000000
0.3706935	0.9999135	0.9206125	0.6483459	0.1877637	0.3887665	0.3133065	0.6325200	0.2487415	1.0000000
0.2256185	0.9992684	0.5968666	0.1608726	0.4872757	0.7536310	0.7079205	0.4738833	0.5595625	1.0000000
0.4435641	0.9995285	0.6533637	0.1901873	0.4462630	0.6999788	0.6153901	0.6564760	0.2603095	1.0000000
0.2575100	0.9997401	0.7363677	0.2491101	0.3844353	0.6229775	0.5141251	0.9103586	0.4600150	0.5000001
