"Time"	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W

0	0.8890031	0.4802955	0.7761045	0.0871996	0.7759280	0.7306232	0.7777893	0.3381981	0.2061732	0.3113240
50	0.8888534	0.4804019	0.7797979	0.0695044	0.7803953	0.8024735	0.7815044	0.3950734	0.2656311	0.3381021
100	0.8886651	0.4815371	0.7988765	0.0497640	0.8035241	0.8905609	0.7969526	0.4580823	0.3399526	0.3707886
150	0.8878598	0.4854522	0.8239509	0.0383034	0.8343554	0.9451174	0.8164566	0.4925193	0.3907845	0.3912792
200	0.8854393	0.4918065	0.8440784	0.0322809	0.8597826	0.9733346	0.8319568	0.5077158	0.4214860	0.4028139
250	0.8809316	0.4987453	0.8569321	0.0290781	0.8766696	0.9867811	0.8417907	0.5138288	0.4392213	0.4099135
300	0.8748421	0.5047400	0.8641689	0.0273226	0.8866520	0.9929067	0.8472908	0.5167434	0.4494626	0.4150231
350	0.8682418	0.5091891	0.8679383	0.0263444	0.8921490	0.9956221	0.8502148	0.5190724	0.4556400	0.4190290
400	0.8621407	0.5121604	0.8698020	0.0257999	0.8950358	0.9968051	0.8518532	0.5215649	0.4596450	0.4221571
450	0.8571383	0.5139975	0.8706900	0.0255004	0.8965012	0.9973149	0.8529350	0.5241453	0.4624179	0.4244869
500	0.8534010	0.5150684	0.8711016	0.0253387	0.8972263	0.9975332	0.8537864	0.5265310	0.4644025	0.4261245
550	0.8508083	0.5156448	0.8695226	0.0428805	0.8957839	0.9308089	0.8526124	0.4745292	0.4127941	0.4015658
600	0.8491580	0.5154446	0.8582971	0.0623665	0.8838313	0.8486422	0.8436705	0.4154700	0.3450654	0.3711966
650	0.8485448	0.5134145	0.8392231	0.0733522	0.8619935	0.7967865	0.8288337	0.3827437	0.2960026	0.3522832
700	0.8495165	0.5091776	0.8198099	0.0788818	0.8381647	0.7683730	0.8142785	0.3684491	0.2646567	0.3417401
750	0.8525062	0.5035535	0.8045156	0.0818202	0.8181168	0.7530943	0.8035986	0.3631616	0.2456892	0.3352965
800	0.8572826	0.4977786	0.7940537	0.0835847	0.8035446	0.7446777	0.7970829	0.3609737	0.2343115	0.3305033
850	0.8630360	0.4927588	0.7874320	0.0847505	0.7938075	0.7399279	0.7934380	0.3590336	0.2271603	0.3264097
900	0.8688348	0.4888657	0.7834120	0.0855475	0.7876157	0.7372165	0.7912362	0.3564532	0.2222339	0.3228313
950	0.8739911	0.4860793	0.7810246	0.0860884	0.7837960	0.7356415	0.7895230	0.3533441	0.2185155	0.3198263
1000	0.8781717	0.4841963	0.7796167	0.0864471	0.7814770	0.7346710	0.7878650	0.3501405	0.2155647	0.3174447

0	0.8890031	0.4802955	0.7761045	0.0871996	0.7759280	0.7306232	0.7777893	0.3381981	0.2061732	0.3113240
50	0.6752065	0.4838593	0.7761647	0.0620060	0.7760216	0.7306947	0.7780428	0.3420962	0.3098910	0.3117560
100	0.4060498	0.4882940	0.7762114	0.0342029	0.7760926	0.7307906	0.7801014	0.3603535	0.4277734	0.3136628
150	0.2349719	0.4910991	0.7762710	0.0189365	0.7761758	0.7311460	0.7858274	0.3767268	0.4951007	0.3162940
200	0.1445276	0.4925832	0.7764233	0.0119589	0.7763726	0.7320079	0.7924724	0.3815251	0.5275399	0.3186311
250	0.1006628	0.4933279	0.7767517	0.0090260	0.7767945	0.7332299	0.7969291	0.3797356	0.5422349	0.3203200
300	0.0804133	0.4937319	0.7772420	0.0078474	0.7774342	0.7344119	0.7986865	0.3766371	0.5487988	0.3214077
350	0.0713532	0.4940058	0.7777815	0.0073840	0.7781560	0.7352617	0.7987242	0.3742761	0.5517701	0.3220693
400	0.0673817	0.4942341	0.7782461	0.0072016	0.7787985	0.7357194	0.7980915	0.3728900	0.5531562	0.3224730
450	0.0656622	0.4944332	0.7785680	0.0071279	0.7792647	0.7358773	0.7974007	0.3721945	0.5538311	0.3227350
500	0.0649210	0.4945950	0.7787452	0.0070965	0.7795402	0.7358659	0.7968800	0.3718967	0.5541790	0.3229205
550	0.2747424	0.4912147	0.7788135	0.0322127	0.7796644	0.7357879	0.7966280	0.3753238	0.4519832	0.3228909
600	0.5405825	0.4869038	0.7788187	0.0599443	0.7796942	0.7357328	0.7980133	0.3918961	0.3356870	0.3218396
650	0.7113289	0.4841733	0.7788134	0.0751715	0.7796980	0.7359039	0.8022318	0.4021103	0.2692126	0.3197668
700	0.8029679	0.4827402	0.7788764	0.0821301	0.7797795	0.7364575	0.8061124	0.3952548	0.2369337	0.3174324
750	0.8482760	0.4820647	0.7790653	0.0850504	0.7800190	0.7371588	0.8063992	0.3800181	0.2219012	0.3154739
800	0.8696698	0.4817917	0.7793316	0.0862131	0.7803659	0.7375564	0.8029344	0.3652751	0.2147635	0.3141094
850	0.8794716	0.4817217	0.7795371	0.0866548	0.7806497	0.7373707	0.7974873	0.3544708	0.2112058	0.3132772
900	0.8838529	0.4817340	0.7795536	0.0868143	0.7807008	0.7366303	0.7919164	0.3476558	0.2093478	0.3128237
950	0.8857629	0.4817491	0.7793379	0.0868722	0.7804502	0.7355633	0.7873142	0.3437614	0.2083544	0.3126019
1000	0.8865799	0.4817197	0.7789355	0.0869011	0.7799434	0.7344312	0.7840023	0.3416958	0.2078255	0.3125000

0	0.8890031	0.4802955	0.7761045	0.0871996	0.7759280	0.7306232	0.7777893	0.3381981	0.2061732	0.3113240
50	0.8888542	0.4803548	0.7761716	0.0872302	0.7682109	0.7309759	0.7922519	0.3493468	0.2159027	0.4542066
100	0.8887481	0.4804006	0.7763802	0.0874644	0.7601716	0.7327977	0.8121786	0.4084602	0.2733734	0.6263867
150	0.8886690	0.4804723	0.7770523	0.0878086	0.7565128	0.7361045	0.8336385	0.4743012	0.3589753	0.7307171
200	0.8885881	0.4806414	0.7783216	0.0880921	0.7560410	0.7403216	0.8533189	0.5089758	0.4350906	0.7833564
250	0.8884573	0.4809692	0.7800746	0.0882429	0.7574074	0.7446943	0.8671001	0.5160578	0.4880088	0.8077664
300	0.8882228	0.4814693	0.7820389	0.0882677	0.7596273	0.7484747	0.8744764	0.5102532	0.5200321	0.8185765
350	0.8878490	0.4820995	0.7839016	0.0882050	0.7619949	0.7512431	0.8771851	0.5016103	0.5377844	0.8232522
400	0.8873365	0.4827799	0.7854303	0.0880976	0.7640597	0.7529672	0.8772999	0.4943597	0.5470565	0.8252709
450	0.8867238	0.4834249	0.7865287	0.0879803	0.7656151	0.7538571	0.8763598	0.4894424	0.5517020	0.8261680
500	0.8860739	0.4839703	0.7872192	0.0878756	0.7666431	0.7541955	0.8752370	0.4865187	0.5539665	0.8265958
550	0.8854532	0.4843857	0.7875867	0.0877512	0.7750492	0.7540599	0.8642160	0.4826051	0.5486876	0.6845030
600	0.8849136	0.4846690	0.7876522	0.0874539	0.7835308	0.7529102	0.8517560	0.4633142	0.5062891	0.5131435
650	0.8844859	0.4848222	0.7873365	0.0870763	0.7877026	0.7509946	0.8411942	0.4246242	0.4314352	0.4093784
700	0.8841861	0.4848386	0.7866644	0.0867696	0.7889789	0.7487232	0.8286853	0.3829652	0.3545857	0.3570897
750	0.8840242	0.4847188	0.7857272	0.0865854	0.7887021	0.7460748	0.8137174	0.3540545	0.2950947	0.3328791
800	0.8840044	0.4844762	0.7845637	0.0865093	0.7875746	0.7429850	0.7993072	0.3400939	0.2562028	0.3221600
850	0.8841222	0.4841258	0.7831883	0.0865108	0.7859181	0.7396997	0.7884799	0.3358819	0.2334071	0.3174939
900	0.8843676	0.4836810	0.7816794	0.0865639	0.7839626	0.7366814	0.7820680	0.3360864	0.2209924	0.3154185
950	0.8847271	0.4831639	0.7801944	0.0866492	0.7819656	0.7343080	0.7791389	0.3375400	0.2145483	0.3144051
1000	0.8851811	0.4826142	0.7789018	0.0867499	0.7801755	0.7327024	0.7782705	0.3388811	0.2112805	0.3138059

0	0.8890031	0.4802955	0.7761045	0.0871996	0.7759280	0.7306232	0.7777893	0.3381981	0.2061732	0.3113240
50	0.8882643	0.4884569	0.7914673	0.0871878	0.7760378	0.7312452	0.8057662	0.3358370	0.2947029	0.3117807
100	0.8839106	0.5006393	0.8069072	0.0871776	0.7764910	0.7345437	0.8352751	0.3208144	0.3953779	0.3143723
150	0.8754773	0.5105720	0.8151944	0.0871548	0.7779453	0.7394146	0.8484364	0.2991275	0.4532034	0.3190972
200	0.8652981	0.5173682	0.8196446	0.0870973	0.7803133	0.7435803	0.8500418	0.2818417	0.4817604	0.3244681
250	0.8556929	0.5216418	0.8222882	0.0869991	0.7828592	0.7460498	0.8465526	0.2724215	0.4956303	0.3292727
300	0.8478886	0.5242305	0.8238679	0.0868776	0.7849113	0.7469738	0.8423710	0.2692155	0.5027724	0.3330048
350	0.8421364	0.5257706	0.8247001	0.0867598	0.7861998	0.7469575	0.8394668	0.2694639	0.5067993	0.3356567
400	0.8381706	0.5266638	0.8250280	0.0866665	0.7868012	0.7465792	0.8381353	0.2710724	0.5092543	0.3374329
450	0.8355702	0.5271553	0.8250717	0.0866052	0.7869503	0.7461992	0.8379414	0.2728813	0.5108180	0.3385713
500	0.8339392	0.5274014	0.8250002	0.0865725	0.7868842	0.7459630	0.8383422	0.2744033	0.5118262	0.3392721
550	0.8336770	0.5196942	0.8101304	0.0865596	0.7867504	0.7452746	0.8057065	0.2779423	0.4265439	0.3393432
600	0.8380435	0.5079572	0.7951091	0.0865595	0.7862532	0.7415658	0.7720409	0.2933943	0.3291223	0.3372129
650	0.8468835	0.4982249	0.7867321	0.0865794	0.7846487	0.7359084	0.7596011	0.3156776	0.2728666	0.3328933
700	0.8571887	0.4913968	0.7817784	0.0866399	0.7819546	0.7312067	0.7615576	0.3337211	0.2445006	0.3277815
750	0.8665406	0.4869306	0.7785458	0.0867487	0.7790502	0.7288212	0.7686375	0.3435881	0.2299841	0.3230625
800	0.8739218	0.4840783	0.7765957	0.0868855	0.7768259	0.7284436	0.7752405	0.3468930	0.2218178	0.3192757
850	0.8792778	0.4822953	0.7757076	0.0870161	0.7756340	0.7291347	0.7794391	0.3465711	0.2167009	0.3164852
900	0.8829532	0.4812424	0.7755545	0.0871134	0.7753236	0.7300866	0.7813278	0.3448513	0.2132624	0.3145446
950	0.8853601	0.4806905	0.7757772	0.0871683	0.7755305	0.7308600	0.7816751	0.3429509	0.2108944	0.3132617
1000	0.8868552	0.4804622	0.7761002	0.0871872	0.7759172	0.7313215	0.7812366	0.3413745	0.2092752	0.3124625

0	0.8890031	0.4802955	0.7761045	0.0871996	0.7759280	0.7306232	0.7777893	0.3381981	0.2061732	0.3113240
50	0.6845708	0.5794936	0.8100800	0.0653607	0.7972724	0.7969496	0.7780417	0.3421351	0.3038334	0.3161466
