YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.0482165	0.7064887	0.6807758	0.0870728	0.2308738	0.2377516	0.3739738	0.0141696	0.6752255	0.5989242
0.2820746	0.6070454	0.6354267	0.0863708	0.0400429	0.1328251	0.4645710	0.0052371	0.5662254	0.6639065
0.0682424	0.6947065	0.7608198	0.0079865	0.2134122	0.3931414	0.3867762	0.0498522	0.7265398	0.4655881
0.0156809	0.7128969	0.6590854	0.0009969	0.1204695	0.2527954	0.2458473	0.0663144	0.7941760	0.7447674
0.3089561	0.2942552	0.3914662	0.2011938	0.2290804	0.3874291	0.4585888	0.0786504	0.5755902	0.8028941
0.0016965	0.5995991	0.8169060	0.0114422	0.2700377	0.3479094	0.3624679	0.0310033	0.6718836	0.7902576
0.0112629	0.6460019	0.6472692	0.0725288	0.2648345	0.4373470	0.3304031	0.0073959	0.6983495	0.4738608
0.5797405	0.0085919	0.1482197	0.4392656	0.2467119	0.3341575	0.6582043	0.0398927	0.7662233	0.7663879
0.0080690	0.7737210	0.7548978	0.0051823	0.1555534	0.2802265	0.5861775	0.0450607	0.5821082	0.6637228
0.0567575	0.6691051	0.6412976	0.1046864	0.1590707	0.3211997	0.4493525	0.0769787	0.9006194	0.8187030
