YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.0	0.0	0.0	0.13356632542979618	0.5384839735369931	-0.4965524354483932	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	-0.7814207642804831	0.0	0.0	0.0	-0.9409443712793291
0.0	0.0	0.1484184254018731	0.0	0.007227375582213216	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.45556927653064827	-0.2857197541743517	0.0	0.0	-0.978117500199005	0.0
0.0	-0.4239703002385795	0.0	0.0	-0.0698164234027465	0.0	0.3356145837654491	0.0	0.0	-0.7019745393190533
0.0	-0.8498884811997414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.07641184143722057
0.0	-0.8708330208901316	0.17073743329962265	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	-0.2235655242111534	0.0	0.0	-0.28098467690870166	-0.006088663591071963
0.20946442215213606	-0.4378387383185327	0.45220226660018337	0.0	0.2765104874878923	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.21102905232106817	0.3288610765169998	0.0	-0.09959745034575462	0.23657310505706267	-0.548737421631813	0.0	0.0
