YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.0329030	0.2749996	0.8498667	0.5386452	0.9977843	0.5487942	0.8906440	0.9894149	0.0973203	1.0000000
0.0454334	0.1375172	0.8498669	0.5386449	0.9977849	0.5488685	0.8906127	0.9894149	0.0973203	1.0000000
0.0610469	0.2572133	0.4249335	0.5386449	0.9977852	0.5488668	0.8905840	0.9894149	0.0973203	1.0000000
0.1940416	0.5013983	0.9813751	0.2693226	0.9977849	0.5488280	0.8905966	0.9894149	0.0973203	1.0000000
0.2192659	0.5356757	0.9901758	0.2203974	0.4988925	0.5488404	0.8905973	0.9894149	0.0973203	1.0000000
0.0663106	0.2775065	0.8526933	0.5349478	0.9909086	0.3315828	0.9951154	0.9894149	0.0973203	1.0000000
0.1004906	0.3545380	0.9179100	0.4354730	0.8188460	0.1067192	0.4999982	0.9894149	0.0973203	1.0000000
0.0685112	0.2842151	0.8496634	0.5389161	0.9982896	0.6016988	0.9371930	0.4947075	0.0973203	1.0000000
0.0657952	0.2749693	0.8498695	0.5386401	0.9977743	0.5480395	0.8900478	0.9989796	0.0486602	1.0000000
0.0676932	0.2816851	0.8496928	0.5388866	0.9982482	0.5964063	0.9317162	0.5378651	0.3575565	0.5000000
