YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.2917612	0.8151762	0.0573014	0.4501168	0.2918657	0.5581075	0.4817004	0.8777696	0.5386167	0.8488692
0.3142195	0.3555712	0.1704104	0.6643792	0.2059686	0.7260722	0.4238718	0.7725828	0.5253384	0.7781941
0.5881278	0.7673761	0.0350905	0.3831267	0.6210871	0.1786819	0.5177603	0.6403273	0.8110107	0.9190971
0.5772935	0.7495959	0.0703542	0.2308769	0.4822378	0.2694003	0.6081289	0.6700320	0.7107424	0.8510058
0.5229308	0.8817356	0.0758034	0.6483486	0.1398104	0.6406042	0.3064217	0.7307024	0.6258603	0.8041397
0.5630036	0.6887673	0.0559362	0.4337566	0.7019367	0.0773409	0.6014031	0.8033307	0.9160052	0.7556615
0.5615731	0.8006022	0.0430371	0.7593392	0.1919389	0.7635113	0.2481888	0.7388966	0.5912916	0.7263262
0.6164078	0.8454069	0.0361112	0.2620911	0.7280662	0.0855328	0.8190484	0.4163628	0.6352592	0.8163785
0.6294660	0.8081199	0.0687637	0.3579408	0.6712816	0.0879780	0.6131136	0.5840241	0.3624446	0.7479973
0.5792214	0.6872343	0.0889900	0.5916452	0.3761447	0.2790320	0.4170647	0.8376465	0.8124442	0.5576015
