YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.1277736	0.2745157	0.9379506	0.8724262	0.8219407	0.4518726	0.2398499	0.0162877	0.8649271	0.5567997
0.1644791	0.2784885	0.7322143	0.3862944	0.6320909	0.9475382	0.4448946	0.0081603	0.5139838	0.6223391
0.0862692	0.1536154	1.0056217	0.4303468	0.7181343	0.5760401	0.2447848	0.0047489	0.7552944	0.2360005
0.1378845	0.2685657	0.9240859	0.7540539	0.7991727	0.5858674	0.2887740	0.0218479	0.8899929	0.4791956
0.1056317	0.3002240	0.8190962	0.4844570	0.5608681	0.9233840	1.0942238	0.3939931	0.1829786	0.5662838
0.0128750	0.3208281	0.8759139	0.5538172	0.7920067	0.7368578	0.2558219	0.0109421	0.9265719	0.5107706
0.0236553	0.2335139	0.7067816	0.5199302	0.6939295	0.7525884	0.3647057	0.0292863	0.7111655	0.5350977
0.0481920	0.2615338	0.8756391	0.5939954	0.9187957	0.3283149	0.1869056	0.0196294	0.9486560	0.5873508
0.1347734	0.7562225	0.0995293	0.1400384	0.2015125	1.0210726	0.6467010	0.0877281	0.2979635	0.3464917
0.1592595	0.1489661	0.9430869	0.7611212	0.7182977	0.2631812	0.0820088	0.0275009	1.0013240	0.3136390
