"Time"	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W

0	0.9919944	0.0416113	0.0900407	0.9853737	0.9463431	1.0000000	0.2351286	0.7986107	0.8805173	0.9990174
50	0.9920352	0.0415933	0.0900405	0.9853770	0.9447545	0.8659291	0.1614828	0.8025303	0.8805216	0.9991635
100	0.9920496	0.0415869	0.0900404	0.9853404	0.9349712	0.7124782	0.0959117	0.8252352	0.8805364	0.9992760
150	0.9920547	0.0415846	0.0900406	0.9851896	0.9187248	0.6239360	0.0746778	0.8545699	0.8805495	0.9993075
200	0.9920565	0.0415838	0.0900410	0.9849081	0.9027017	0.5809998	0.0753773	0.8745428	0.8805554	0.9992995
250	0.9920572	0.0415835	0.0900419	0.9845617	0.8909316	0.5616932	0.0817423	0.8827085	0.8805560	0.9992782
300	0.9920574	0.0415835	0.0900429	0.9842355	0.8837788	0.5533463	0.0873642	0.8836074	0.8805540	0.9992571
350	0.9920574	0.0415836	0.0900440	0.9839813	0.8799477	0.5498173	0.0909647	0.8817450	0.8805514	0.9992412
400	0.9920574	0.0415837	0.0900449	0.9838089	0.8780631	0.5483452	0.0929520	0.8795643	0.8805493	0.9992312
450	0.9920574	0.0415837	0.0900455	0.9837036	0.8771883	0.5477360	0.0939578	0.8779116	0.8805478	0.9992255
500	0.9920574	0.0415838	0.0900460	0.9836442	0.8767980	0.5474852	0.0944392	0.8768685	0.8805469	0.9992225
550	0.9920574	0.0415839	0.0900462	0.9836192	0.8816040	0.6814532	0.1937370	0.8691692	0.8805418	0.9990482
600	0.9920574	0.0415839	0.0900463	0.9837225	0.9016628	0.8348620	0.2603959	0.8383532	0.8805244	0.9989268
650	0.9920573	0.0415839	0.0900460	0.9840426	0.9216797	0.9233869	0.2673810	0.8084727	0.8805105	0.9989154
700	0.9920573	0.0415839	0.0900450	0.9844541	0.9342582	0.9663161	0.2572225	0.7934561	0.8805064	0.9989447
750	0.9920574	0.0415838	0.0900438	0.9848113	0.9407906	0.9856199	0.2475158	0.7898178	0.8805082	0.9989749
800	0.9920574	0.0415837	0.0900427	0.9850604	0.9438850	0.9939656	0.2414486	0.7911189	0.8805115	0.9989952
850	0.9920574	0.0415836	0.0900418	0.9852120	0.9452800	0.9974940	0.2382069	0.7934641	0.8805142	0.9990066
900	0.9920574	0.0415835	0.0900412	0.9852962	0.9458905	0.9989660	0.2366070	0.7953820	0.8805160	0.9990125
950	0.9920575	0.0415834	0.0900408	0.9853401	0.9461526	0.9995751	0.2358530	0.7966194	0.8805170	0.9990153
1000	0.9920575	0.0415834	0.0900406	0.9853619	0.9462636	0.9998258	0.2355075	0.7973250	0.8805175	0.9990166

0	0.9919944	0.0416113	0.0900407	0.9853737	0.9463431	1.0000000	0.2351286	0.7986107	0.8805173	0.9990174
50	0.9920352	0.0415933	0.0900405	0.9853777	0.9455140	0.9270865	0.1707802	0.8019782	0.8805217	0.9991678
100	0.9920496	0.0415869	0.0900404	0.9853603	0.9408760	0.8436334	0.1131452	0.8215492	0.8805370	0.9992856
150	0.9920547	0.0415846	0.0900405	0.9852917	0.9341309	0.7954805	0.0926782	0.8468616	0.8805509	0.9993257
200	0.9920565	0.0415838	0.0900407	0.9851760	0.9282642	0.7721300	0.0901234	0.8647283	0.8805580	0.9993318
250	0.9920572	0.0415835	0.0900410	0.9850476	0.9243580	0.7616302	0.0925910	0.8731815	0.8805603	0.9993273
300	0.9920574	0.0415834	0.0900414	0.9849371	0.9221444	0.7570908	0.0952426	0.8756727	0.8805604	0.9993216
350	0.9920575	0.0415834	0.0900418	0.9848571	0.9210140	0.7551716	0.0970053	0.8755978	0.8805599	0.9993173
400	0.9920575	0.0415835	0.0900421	0.9848059	0.9204753	0.7543709	0.0979870	0.8748434	0.8805594	0.9993146
450	0.9920575	0.0415835	0.0900423	0.9847760	0.9202304	0.7540397	0.0984846	0.8741443	0.8805590	0.9993132
500	0.9920575	0.0415835	0.0900424	0.9847598	0.9201227	0.7539033	0.0987227	0.8736705	0.8805588	0.9993124
550	0.9920575	0.0415835	0.0900425	0.9847530	0.9215135	0.8267608	0.1670710	0.8685798	0.8805544	0.9991520
600	0.9920575	0.0415835	0.0900425	0.9847813	0.9280519	0.9101910	0.2237735	0.8460779	0.8805383	0.9990291
650	0.9920575	0.0415835	0.0900424	0.9848783	0.9354859	0.9583346	0.2412530	0.8212470	0.8805239	0.9989926
700	0.9920575	0.0415835	0.0900421	0.9850156	0.9406887	0.9816812	0.2425124	0.8056718	0.8805171	0.9989922
750	0.9920575	0.0415835	0.0900417	0.9851454	0.9436220	0.9921795	0.2401155	0.7988174	0.8805154	0.9990005
800	0.9920575	0.0415835	0.0900413	0.9852425	0.9450976	0.9967182	0.2379423	0.7967916	0.8805157	0.9990079
850	0.9920575	0.0415834	0.0900410	0.9853052	0.9457918	0.9986371	0.2366013	0.7966894	0.8805165	0.9990126
900	0.9920575	0.0415834	0.0900407	0.9853418	0.9461047	0.9994377	0.2358868	0.7970888	0.8805171	0.9990152
950	0.9920575	0.0415834	0.0900406	0.9853616	0.9462417	0.9997689	0.2355342	0.7974772	0.8805175	0.9990165
1000	0.9920575	0.0415833	0.0900405	0.9853718	0.9463005	0.9999053	0.2353677	0.7977401	0.8805177	0.9990171

0	0.9919944	0.0416113	0.0900407	0.9853737	0.9463431	1.0000000	0.2351286	0.7986107	0.8805173	0.9990174
50	0.8891067	0.0415933	0.0900399	0.9864401	0.9463432	1.0000000	0.2351923	0.7988903	0.9258476	0.9990176
100	0.8167810	0.0415868	0.0900372	0.9875800	0.9463432	1.0000000	0.2352202	0.8012096	0.9544382	0.9990176
150	0.7931458	0.0415843	0.0900340	0.9881839	0.9463432	1.0000000	0.2352268	0.8036161	0.9630408	0.9990177
200	0.7868002	0.0415832	0.0900318	0.9884495	0.9463432	1.0000000	0.2352213	0.8051030	0.9652544	0.9990177
250	0.7852468	0.0415827	0.0900305	0.9885566	0.9463432	1.0000000	0.2352132	0.8058277	0.9657927	0.9990177
300	0.7848865	0.0415824	0.0900299	0.9885977	0.9463432	1.0000000	0.2352068	0.8061376	0.9659206	0.9990177
350	0.7848058	0.0415823	0.0900297	0.9886130	0.9463432	1.0000000	0.2352029	0.8062601	0.9659507	0.9990177
400	0.7847882	0.0415822	0.0900296	0.9886186	0.9463432	1.0000000	0.2352008	0.8063062	0.9659577	0.9990177
450	0.7847845	0.0415822	0.0900295	0.9886206	0.9463432	1.0000000	0.2351999	0.8063232	0.9659594	0.9990177
500	0.7847837	0.0415822	0.0900295	0.9886213	0.9463432	1.0000000	0.2351995	0.8063293	0.9659597	0.9990177
