YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.0666028	0.2547782	0.1102888	0.7057915	0.7745338	0.0617936	0.6818091	0.1791699	0.7007514	0.7804525
0.1522463	0.0829894	0.1756883	0.6688283	0.5754913	0.1144442	0.7352323	0.2262051	0.7951423	0.7193993
0.0574707	0.1710750	0.0906713	0.5922262	0.5545179	0.0838009	0.7178215	0.1198783	0.7311630	0.7438778
0.5453042	0.2707103	0.1926261	0.3757151	0.7090522	0.0327097	0.6943128	0.2367070	0.8097739	0.7319985
0.2106988	0.3191731	0.1488102	0.5635854	0.3602584	0.1176908	0.7576107	0.1748513	0.6007792	0.7264033
0.1456759	0.2311725	0.1448399	0.6571854	0.7091076	0.0258757	0.6427101	0.2009652	0.7059671	0.7222887
0.1810011	0.3170635	0.1018097	0.5943735	0.1719803	0.2899221	0.3384221	0.1561147	0.7481794	0.7845537
0.0808700	0.2319094	0.1491138	0.6157087	0.7810693	0.0887100	0.8055109	0.0785499	0.8594121	0.7964308
0.0451878	0.2174864	0.2079928	0.6484370	0.6410203	0.1424389	0.5977453	0.5336665	0.4347140	0.7068106
0.0389628	0.1788288	0.2055815	0.5555725	0.7256967	0.0679285	0.8827686	0.2009810	0.8705942	0.3371398
