YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.0857774	0.9998859	0.0008517	0.7730736	0.5865103	0.8851259	0.8157990	0.9465142	0.6457631	0.4498651
0.0879756	0.8729808	0.0332445	0.8304131	0.5891912	0.8731581	0.7753683	1.0000000	0.6478935	1.0000000
0.1085316	0.5958699	0.0003043	0.9512987	0.7677528	0.8639896	0.8268620	1.0000000	0.8733420	0.9095447
0.0033543	0.9414874	0.0328818	0.9877093	0.8851925	0.7507010	0.8633425	1.0000000	0.8769365	0.9044870
0.0874116	0.8976793	0.0328759	0.9922725	0.9762148	0.8302221	0.8906666	1.0000000	0.7041876	0.9465396
0.0857778	0.9999692	0.0003686	0.9316153	0.8070303	0.8753138	0.8058987	1.0000000	0.6852936	1.0000000
0.0108230	0.6730665	0.0003044	0.9613795	0.7370648	0.8080597	0.7753685	1.0000000	0.7751502	0.9430267
0.0869643	0.9203907	0.0002721	0.9454714	0.8778226	0.6593130	0.5302550	0.6615596	0.7783041	1.0000000
0.0019420	0.9408883	0.0330980	0.8761681	0.6332230	0.8544629	0.9337994	1.0000000	0.6659597	0.6656541
0.0857767	0.9999873	0.0002232	0.9830407	0.9031310	0.7128806	0.6950168	0.7187577	0.8088845	1.0000000
