"Time"	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W

0	0.1364969	0.6721547	0.4850060	0.3817272	0.5083362	0.1400390	0.2840832	0.6724268	0.5666523	0.0262481
50	0.1312416	0.6302892	0.5089278	0.3253876	0.4078766	0.1366050	0.3247717	0.6118514	0.5351828	0.0484234
100	0.1268679	0.6163343	0.4859786	0.3255376	0.2335708	0.1163105	0.3605962	0.5570544	0.4132282	0.0448158
150	0.1128642	0.6504788	0.4649679	0.2270017	0.1273939	0.1447095	0.3495744	0.4726590	0.4543104	0.0402190
200	0.0852405	0.7373145	0.3780330	0.1818363	0.0710563	0.1566124	0.3232425	0.5472704	0.5215319	0.0694530
250	0.0954090	0.7003197	0.2509846	0.2192106	0.0584661	0.1170252	0.2307940	0.4985248	0.5228857	0.0454513
300	0.1040403	0.7929609	0.2452684	0.1964441	0.0535928	0.1172838	0.2763464	0.5881160	0.5313039	0.0348713
350	0.1047477	0.8765634	0.2642947	0.1648815	0.0726460	0.1035390	0.2444639	0.5417603	0.4913682	0.0472210
400	0.1082833	0.8811504	0.2267757	0.2068312	0.0901674	0.0966971	0.2180552	0.5176052	0.4878919	0.0347596
450	0.0979032	0.8279044	0.1819611	0.2051608	0.0765354	0.1116189	0.2211581	0.5242956	0.6225711	0.0197767
500	0.0685119	0.8642361	0.1818223	0.2826010	0.0600545	0.1426667	0.2129990	0.6299697	0.6568759	0.0401764
550	0.0560612	0.9886107	0.2390352	0.2819577	0.3036542	0.1220970	0.2319667	0.7020059	0.6819906	0.0348454
600	0.0785614	1.0294576	0.3408847	0.3613962	0.5346041	0.1117320	0.2816228	0.7421560	0.6598059	0.0527674
650	0.0825001	0.9700639	0.4113264	0.4747207	0.6465054	0.0968354	0.2909942	0.8034214	0.8149330	0.0302973
700	0.0932531	0.8615084	0.4941820	0.5155843	0.5372424	0.1465998	0.3437032	0.9041173	0.8219587	0.0210722
750	0.1062707	0.8495461	0.5326934	0.6102801	0.4517438	0.1484428	0.3621753	0.9181157	0.7572260	0.0440100
800	0.1157940	0.8177287	0.5679292	0.4508587	0.4543019	0.1493864	0.3496176	0.7575328	0.8376065	0.0843842
850	0.1199232	0.7732554	0.5485576	0.4398069	0.4220018	0.1723127	0.3174656	0.7434635	0.6719952	0.0944334
900	0.1081833	0.6549046	0.5035755	0.4562521	0.4218542	0.1188005	0.2695518	0.7717521	0.6780211	0.0882805
950	0.1058792	0.7052261	0.5323420	0.4304180	0.4321163	0.1229296	0.2763638	0.7406969	0.6697379	0.0734316
1000	0.0766427	0.6768478	0.5042382	0.5238864	0.4427979	0.1599346	0.2921373	0.6999839	0.6692296	0.0726077

0	0.1364969	0.6721547	0.4850060	0.3817272	0.5083362	0.1400390	0.2840832	0.6724268	0.5666523	0.0262481
50	0.1342461	0.6836083	0.5514550	0.5246494	0.3341989	0.1852372	0.2688683	0.7493875	0.4781989	0.0535843
100	0.1295217	0.6249978	0.6025123	0.5598598	0.2529541	0.2072771	0.3222677	0.8518701	0.5921778	0.1145253
150	0.1116140	0.6932233	0.6302832	0.5677508	0.1920222	0.2077384	0.2762547	0.9173807	0.5281384	0.1752343
200	0.1270590	0.6725944	0.6806978	0.5878776	0.1838783	0.2160043	0.2847825	0.9258465	0.5877281	0.2611290
250	0.1208698	0.6122954	0.7764972	0.6606632	0.1387224	0.2325593	0.3021922	0.8613311	0.5666392	0.3153170
300	0.0972685	0.5996289	0.7621144	0.6242589	0.1153063	0.2315995	0.3231417	0.9007262	0.5416927	0.2667637
350	0.1272212	0.6872545	0.7947030	0.6295635	0.0983648	0.2576294	0.3505867	0.9573042	0.4933648	0.2821015
400	0.1188514	0.6617798	0.7761497	0.5921133	0.0809992	0.2967804	0.3030334	0.8807066	0.5046338	0.2883828
450	0.1282552	0.6481421	0.8244462	0.5362884	0.0793882	0.2187858	0.3150527	0.9237805	0.5429346	0.3373348
500	0.1361021	0.6115930	0.6860999	0.6048228	0.0727716	0.2232656	0.2942510	0.9520724	0.5766342	0.3341680
550	0.1200933	0.5964541	0.8171782	0.4610465	0.1865246	0.1836060	0.3506625	0.8719636	0.5882801	0.2691194
600	0.1516405	0.5566147	0.6147784	0.4239239	0.2949433	0.1624357	0.2981096	0.7704289	0.4919231	0.1925884
650	0.1231450	0.6431732	0.5389922	0.3254493	0.3910512	0.1325167	0.2951647	0.6379477	0.4196005	0.1191122
700	0.1614736	0.6120189	0.4703730	0.2754432	0.4523171	0.0914619	0.3005248	0.4532090	0.4423149	0.0739287
750	0.1390065	0.6628120	0.3715295	0.2727302	0.4588443	0.1227225	0.2914548	0.5093980	0.4689030	0.0614353
800	0.1051529	0.6716690	0.3685733	0.3136809	0.5181474	0.1574219	0.2706301	0.4731286	0.5790514	0.0547592
850	0.1099629	0.8116581	0.3160033	0.3240308	0.5985753	0.1357563	0.2980497	0.5429871	0.6114851	0.0656492
900	0.1462441	0.8456909	0.3738773	0.4180857	0.6614114	0.1481166	0.2880546	0.5838032	0.5816246	0.0775278
950	0.1294850	0.8282569	0.4625413	0.4646281	0.6386798	0.1433501	0.2886422	0.6303170	0.6543646	0.0979790
1000	0.1197064	0.8617502	0.5089885	0.4289776	0.5159486	0.1485877	0.3356037	0.6965227	0.6829077	0.0626217

