YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.6963729	0.1456684	0.0044002	0.7563865	0.6809999	0.3049004	0.8895552	0.9999999	0.9556260	0.8505844
0.3075224	0.4974424	0.0000001	0.8607529	0.6868067	0.4645537	0.8740578	0.9216095	0.9038811	1.0000000
0.7139708	0.0000039	0.0044003	0.7426672	0.7329711	0.2203589	0.7943245	0.7439894	0.9950719	0.8070441
0.4509696	0.2606041	0.0044009	0.5829672	0.6730236	0.5251876	0.8869596	0.9873776	0.9061310	1.0000000
0.2829342	0.2685630	0.0044001	0.8580628	0.7347933	0.0000305	0.0437084	0.2077784	0.8213645	0.6783950
0.5080418	0.0158763	0.0044001	0.9286701	0.9725036	0.3817628	0.9353351	0.9433889	0.9139578	1.0000000
0.9999450	0.0000039	0.0044001	1.0000000	0.9999113	0.9409588	0.8098977	0.7513650	0.9980295	0.8719020
0.4880548	0.3005768	0.0000000	1.0000000	0.8918144	0.3285427	0.8895531	1.0000000	0.9979346	1.0000000
0.7762836	0.0000038	0.0000001	0.7810348	0.9914191	0.3764864	0.8895553	1.0000000	0.9065805	1.0000000
0.8452184	0.0000038	0.0000001	0.8894449	0.9998839	0.4383419	0.9442522	1.0000000	0.9139604	0.8982275
