YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.0000024	0.0954898	0.2408682	0.4971568	0.8620569	0.8738735	0.6112171	0.6985757	0.8311915	1.0000000
0.0300746	0.0000001	0.2404704	0.4965746	0.8640403	0.8854412	0.6573443	0.6985757	0.8311915	1.0000000
0.1004218	0.0456994	0.0000063	0.4968308	0.8631816	0.8804386	0.6365703	0.6985757	0.8311915	1.0000000
0.1004276	0.0457004	0.0016384	0.0000006	0.8631800	0.8804354	0.6365693	0.6985757	0.8311915	1.0000000
0.4377147	0.3183140	0.5978836	0.9918923	0.0000000	0.8518311	0.5394783	0.6985757	0.8311915	1.0000000
0.1004129	0.0457003	0.0016349	0.0007004	0.0293730	0.0000003	0.6365706	0.6985757	0.8311915	1.0000000
0.1310760	0.0645127	0.1518062	0.3844276	0.1765105	0.0596342	0.0000000	0.6985757	0.8311915	1.0000000
0.1786583	0.0947063	0.2387633	0.4943462	0.8712088	0.9290669	0.9322236	0.0000012	0.8311915	1.0000000
0.1787588	0.0947817	0.2389434	0.4945581	0.8705742	0.9251538	0.8975150	0.0431786	0.0000002	1.0000000
0.1787774	0.0947942	0.2389678	0.4945778	0.8705388	0.9250036	0.8964206	0.0456584	0.0757452	0.0000025
