"Time"	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C

0	0.8506691	0.6337538	0.3032990	0.7114554	0.5292979	0.8905568	0.2987104	0.4920010	1.0163761	0.9289588
50	0.8678686	0.5282231	0.3127295	0.4974971	0.4182142	0.6137141	0.2668639	0.4940469	0.9048535	0.8474117
100	0.9257586	0.6148718	0.2456436	0.3442383	0.3740533	0.3348927	0.2388860	0.4435311	0.8777593	0.9422584
150	1.0144419	0.6195902	0.2757999	0.4451997	0.2749317	0.2699017	0.2312549	0.4575210	0.9769905	1.0662166
200	1.0386166	0.6174481	0.2903577	0.4664451	0.1627819	0.2174467	0.2214735	0.3869584	0.9413465	1.0986336
250	0.9169460	0.6799167	0.3047284	0.5011535	0.1279599	0.1985602	0.3201690	0.5150818	0.9651260	1.0062319
300	0.9064302	0.6710756	0.2959903	0.4439777	0.1390803	0.1784262	0.2482756	0.4540983	0.9040755	1.0729212
350	0.9747355	0.6784451	0.2910497	0.4560383	0.1456504	0.2061405	0.2913931	0.4804086	0.8339240	1.0582189
400	0.9641651	0.6426355	0.2337868	0.4727142	0.1513025	0.1644236	0.3888646	0.4811495	0.8317133	0.9829273
450	1.0515603	0.6717459	0.2572759	0.4575737	0.0925934	0.1690690	0.3289495	0.4207545	0.8614083	1.0026636
500	1.0181723	0.6324938	0.2961605	0.4838342	0.1064229	0.2145782	0.3031320	0.4892057	0.8157111	0.9965765
550	0.9689988	0.6360352	0.2760089	0.8227965	0.1840433	0.4633377	0.3104864	0.5324132	0.9561478	0.9968282
600	0.9262295	0.6291619	0.2934967	0.8657194	0.3144041	0.6434933	0.2658603	0.5474272	0.9256922	0.9275484
650	0.8749521	0.5818633	0.3550189	0.8284532	0.4392402	0.7903839	0.2926085	0.5548668	0.9171589	0.8996406
700	0.9546935	0.5691679	0.3761747	0.7336919	0.4728304	0.8186057	0.2729676	0.4640698	0.9066965	0.8943369
750	0.9532539	0.6073599	0.3414839	0.7964503	0.4390796	0.9326753	0.2886746	0.4898214	0.8510044	0.8821851
800	0.9362937	0.6028416	0.3556758	0.7161600	0.5477644	0.8966698	0.3092984	0.4561881	0.9374631	1.0053667
850	0.8654820	0.5651305	0.3955677	0.6678498	0.4391874	0.8613110	0.2854968	0.5215581	0.9209840	1.0165380
900	0.8800381	0.5944204	0.4301010	0.6988638	0.5235212	0.9703718	0.2922106	0.5672503	0.9442976	0.9117324
950	0.7967563	0.5301972	0.3830068	0.6780842	0.5286755	0.9539138	0.2364517	0.4176066	0.9004793	0.9801225
1000	0.7647811	0.5558531	0.3789561	0.7533420	0.5012815	1.0050198	0.2119836	0.4845271	0.9239071	1.0231806

0	0.8506691	0.6337538	0.3032990	0.7114554	0.5292979	0.8905568	0.2987104	0.4920010	1.0163761	0.9289588
50	0.8552713	0.6101632	0.3736408	0.5787912	0.5901780	0.8224801	0.5141256	0.4736645	0.8278990	1.0056873
100	0.9271378	0.6017090	0.2900206	0.4606619	0.5428534	0.8257195	0.7067716	0.6094056	0.8865155	0.9966511
150	0.9520547	0.5600165	0.2699047	0.4531299	0.4830864	0.7108977	0.7433792	0.6487839	0.8605208	1.0135248
200	0.9956189	0.5002426	0.2859606	0.4854938	0.3852948	0.6843834	0.7668510	0.6590070	0.9474466	1.0150598
250	0.8786322	0.4634146	0.2741115	0.4919941	0.3688050	0.5942802	0.7492152	0.6357437	0.9781003	1.0043798
300	0.7963437	0.4108873	0.2785578	0.5558410	0.3493502	0.5426011	0.7340607	0.5841323	1.0214086	0.9275621
350	0.7788088	0.4360407	0.2693670	0.4948277	0.3783775	0.5831689	0.7648120	0.7121334	1.0411100	0.9061895
400	0.7260897	0.3772336	0.3104114	0.5595579	0.3445237	0.5775599	0.7169739	0.6171780	0.9620371	1.0383313
450	0.7025655	0.3870552	0.2641067	0.4998186	0.3994752	0.6435614	0.8364408	0.6601860	0.8925081	1.0320461
500	0.6741725	0.3888464	0.2420389	0.5170356	0.4305584	0.6265251	0.8690843	0.6889197	0.9527518	1.0255282
550	0.7108514	0.3659663	0.3024109	0.7221398	0.3665902	0.5703229	0.6698427	0.6798887	0.9624266	1.0326516
600	0.6883642	0.4023646	0.3039425	0.7264728	0.4047916	0.6001049	0.3131793	0.6138085	0.8257413	0.9722368
650	0.6993641	0.4930586	0.3400460	0.8868271	0.3445865	0.7406222	0.2655382	0.4278746	0.7856533	1.0729406
700	0.7994221	0.5839113	0.3388505	0.7984509	0.4731549	0.8035912	0.2377558	0.4981702	0.8951848	1.0321189
750	0.8249093	0.6082008	0.4351457	0.7191098	0.5310219	0.8800034	0.2418910	0.5154915	0.9410590	1.0809674
800	0.9041483	0.5434045	0.4002290	0.8405924	0.4960038	0.9026339	0.2100569	0.5505059	0.8988404	1.0533918
850	0.9060200	0.4774375	0.4080867	0.7040977	0.5577669	0.8238645	0.2491563	0.4995902	0.8861331	0.9818607
900	0.8376894	0.5529687	0.3476158	0.6409829	0.5259274	0.8624338	0.2462406	0.4110082	0.9064423	1.0450061
950	0.9001191	0.6278232	0.3877050	0.6557200	0.4967595	0.8169800	0.2600876	0.4109218	0.9404501	0.9953638
1000	1.0153815	0.6275529	0.3987349	0.7175135	0.4787292	1.0099235	0.2751015	0.4766686	0.9397014	0.9760266

0	0.8506691	0.6337538	0.3032990	0.7114554	0.5292979	0.8905568	0.2987104	0.4920010	1.0163761	0.9289588
50	0.8503559	0.6481055	0.4872995	0.4069133	0.4679858	0.8123191	0.2540698	0.4583179	0.8726969	1.0202114
100	0.8668981	0.5861422	0.6506314	0.1751367	0.4122943	0.7756712	0.2583217	0.4804645	0.8711831	1.0537916
150	0.8489881	0.5579786	0.6098500	0.0918436	0.4428669	0.7840610	0.2689852	0.4863936	1.0493399	1.0265652
200	0.8331724	0.5698480	0.6970028	0.1063299	0.4847195	0.7651248	0.2490817	0.4572245	1.0598945	1.0932288
250	0.8267852	0.5872364	0.6806572	0.0792947	0.4905804	0.7437966	0.2729722	0.4887880	0.8764829	0.9757629
300	0.9073727	0.5472954	0.5747678	0.0842962	0.4067248	0.6807768	0.2735783	0.4042031	0.8327209	1.0352359
350	0.7621939	0.5427766	0.6593026	0.0656985	0.4266761	0.7548168	0.2783716	0.5235432	0.8785773	1.0696542
400	0.8513849	0.5507145	0.5736216	0.0760646	0.4872209	0.7168867	0.2534112	0.4902519	0.9738841	0.9624143
450	0.9433958	0.5631066	0.6150285	0.0967523	0.4619832	0.6945523	0.2196544	0.4767933	0.9529691	0.9412885
500	0.8907585	0.5980191	0.6442974	0.0669526	0.5971603	0.7514530	0.2320475	0.5251893	0.8813203	1.0096027
550	0.8400422	0.5729705	0.4994341	0.3738082	0.3947561	0.7112480	0.2310504	0.5070932	0.9655507	0.9444303
600	0.7634064	0.6328440	0.4043567	0.6773620	0.4397755	0.8767657	0.3051653	0.4524073	0.9225538	0.9174890
650	0.8394117	0.6227185	0.3406091	0.6845668	0.5211921	0.8509909	0.2869163	0.5260718	0.8952236	1.0185533
700	0.8369888	0.5874227	0.3660228	0.7252745	0.5044585	0.9236626	0.2990825	0.5179482	0.8493461	1.0669298
750	0.9113302	0.6452499	0.3762112	0.7745164	0.5303511	0.8452787	0.2948203	0.3706816	0.8883926	1.0470556
800	0.8561231	0.6751635	0.3968803	0.7180555	0.4545092	0.9144234	0.2896868	0.5442406	0.9001086	0.9532142
850	0.8884820	0.6097240	0.3612116	0.8707614	0.4938983	0.9187075	0.2582214	0.4468435	1.0412528	0.9830524
900	0.8377068	0.6414811	0.3772368	0.8034896	0.5423087	1.0044678	0.2792287	0.4768589	0.9045859	1.0807846
950	0.9461800	0.5707735	0.3789180	0.7734817	0.5889975	0.8980043	0.3343327	0.5158153	0.9137868	1.1482041
1000	0.8994601	0.5551404	0.3893944	0.7669399	0.4628379	0.8815325	0.2297486	0.5488849	0.8963593	0.9508260

0	0.8506691	0.6337538	0.3032990	0.7114554	0.5292979	0.8905568	0.2987104	0.4920010	1.0163761	0.9289588
50	0.8486496	0.3733471	0.5580109	0.4108856	0.5047304	0.8276867	0.4801579	0.5170760	0.9651782	0.8881950
100	0.9121931	0.3742500	0.5990303	0.2249777	0.5161337	0.8032156	0.5776394	0.5399584	0.9175804	0.8673434
150	0.6424513	0.3269908	0.5529368	0.1928043	0.5046716	0.7960281	0.7061092	0.5557894	0.9552526	0.8376153
200	0.5987692	0.2901976	0.6320668	0.1685364	0.4473048	0.7217545	0.7481968	0.6949304	0.9335628	0.9231958
250	0.5041696	0.2305426	0.6620536	0.1414770	0.4765928	0.6597999	0.7349389	0.7208390	0.9203703	0.9459498
300	0.3950380	0.2462855	0.5857440	0.1334080	0.5006500	0.6263838	0.6948012	0.6854876	0.8123604	0.8401484
350	0.4226338	0.2515605	0.5151086	0.1797168	0.4582839	0.6901266	0.6777020	0.6001027	0.8311240	0.8097824
400	0.4397039	0.2936304	0.5121658	0.1355272	0.4852898	0.6797551	0.6981827	0.5553220	0.8378978	0.7943145
450	0.4638593	0.3616951	0.5962619	0.1803913	0.4264539	0.5946509	0.7165054	0.5864664	0.7977594	0.8564662
500	0.4936646	0.2982190	0.5854158	0.1847788	0.4320594	0.5851208	0.6849640	0.5930314	0.8454971	0.7473588
550	0.5240909	0.3765185	0.3710167	0.4775407	0.3093441	0.5824627	0.4861215	0.5887082	0.8174232	0.8384486
600	0.5811095	0.4868416	0.3015203	0.6359569	0.3461508	0.6744385	0.3208951	0.6396769	0.9468818	0.9313741
650	0.7201506	0.5519775	0.2965883	0.7321167	0.3192089	0.7816267	0.2229924	0.5436157	1.0276954	1.0255662
700	0.7912603	0.5576552	0.2869810	0.7943011	0.4191705	0.7780994	0.1900954	0.4928895	0.8976960	1.1167227
750	0.8137183	0.6280516	0.2928714	0.7157710	0.4832429	0.8317968	0.2408055	0.4779256	0.8261996	1.0006324
800	0.8771160	0.6859716	0.3645634	0.7473348	0.5505471	0.9465889	0.2782534	0.4855667	0.9094794	0.9956304
850	0.8642397	0.6814206	0.3517399	0.6143788	0.4407930	0.9118379	0.3195162	0.4685686	0.8416221	1.0258182
900	0.8741719	0.6959263	0.3617696	0.7081377	0.5421614	0.8480543	0.3256866	0.5167754	0.9402607	1.0370268
950	0.9057178	0.6476212	0.4169375	0.7113003	0.5257577	0.8733593	0.2928311	0.4599269	0.9585876	0.9726223
1000	0.8526245	0.6086294	0.4401271	0.7439715	0.5708347	0.8886835	0.2730573	0.4668393	1.0902559	0.9744332

0	0.8506691	0.6337538	0.3032990	0.7114554	0.5292979	0.8905568	0.2987104	0.4920010	1.0163761	0.9289588
50	0.8344952	0.5473803	0.4010164	0.6871719	0.5527794	0.7428371	0.2600334	0.4584073	0.8874107	1.0127211
100	0.8475486	0.5808074	0.4700637	0.7443811	0.4172029	0.4617900	0.2830613	0.4170424	0.9092565	0.9094902
150	0.8295870	0.6122887	0.3613975	0.9399330	0.3795948	0.4227609	0.2810304	0.5417498	0.8818444	1.0364790
200	0.9320498	0.5828209	0.3843430	0.9141990	0.2963496	0.3797298	0.3223196	0.4350607	0.9133549	1.0262520
250	1.0317145	0.5290447	0.3688316	0.7995359	0.1899027	0.3785162	0.2968982	0.5502412	0.9572718	0.9715630
300	0.8516042	0.4873270	0.3533962	0.8850973	0.2925206	0.4029497	0.2708518	0.5492097	1.0072486	0.9699274
350	0.7529105	0.5642322	0.3614145	0.9319898	0.2421485	0.4001837	0.2306048	0.4961260	0.8996994	0.9864594
400	0.8943356	0.5475390	0.3534056	0.8087760	0.2435549	0.3221559	0.3205678	0.4861682	0.8968547	0.9504069
450	0.9135162	0.6659473	0.3860182	0.9468376	0.2564109	0.3421648	0.2589564	0.4487607	0.9381434	0.9809819
500	0.8906952	0.6620041	0.4038668	0.9107995	0.2126626	0.3805780	0.2925925	0.5302596	0.8763529	0.9653308
550	0.9399298	0.6528150	0.3281002	0.9349004	0.2764158	0.5484919	0.2804747	0.5358154	0.9198315	0.9213704
600	0.8699875	0.5979651	0.2990322	0.8480345	0.3532922	0.7542022	0.2498278	0.4895580	0.9972362	1.0248182
