"Time"	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C

0	0.1989760	0.9836033	0.5777861	0.4268811	0.6781709	1.0957792	0.2379001	0.4865175	1.1384557	1.0756400
50	0.1945547	0.9818510	0.5675030	0.3677895	0.8277209	1.0531008	0.2171952	0.3990428	1.0432796	0.6838928
100	0.2154022	0.9566142	0.5121228	0.3222445	0.9255789	1.0101967	0.2500721	0.4641559	1.0448377	0.3960949
150	0.2182240	0.9522194	0.5207140	0.3131655	0.9125111	1.0052021	0.2296298	0.5699659	0.9847222	0.3067647
200	0.2136470	0.9076507	0.4621297	0.2656232	0.9595571	1.0367213	0.2038541	0.5855878	0.9338554	0.1933563
250	0.1311515	0.9457137	0.3323322	0.2835563	1.0005258	0.9794824	0.1709898	0.5209603	0.9430960	0.1540664
300	0.1479855	0.9543960	0.3153714	0.2804298	0.8903871	0.9944167	0.1851713	0.5042535	0.9750774	0.1667797
350	0.2014676	0.9814961	0.2717028	0.2069016	0.9817488	1.0616691	0.1582416	0.5015691	0.9737858	0.1713002
400	0.1622284	0.8661084	0.2899176	0.2646970	0.9665583	0.9532705	0.2112289	0.4113412	0.9525700	0.1678548
450	0.1346796	0.9499409	0.2455636	0.2262440	0.9908186	0.9908074	0.2714785	0.4355223	1.0051646	0.1097703
500	0.1693177	0.9271386	0.1634905	0.2183541	0.9653177	0.9239394	0.2224385	0.4682492	0.9028808	0.1202806
550	0.1932291	0.9117563	0.1672005	0.2874228	0.8657329	0.5826202	0.2110953	0.5147999	0.8131527	0.3486671
600	0.1854556	0.8254825	0.1916618	0.3218334	0.5066903	0.4560204	0.1660552	0.4634295	0.9134187	0.7182400
650	0.3106855	0.9836387	0.2719327	0.6110259	0.3108958	0.7050859	0.1974121	0.4573167	1.0301703	0.8075318
700	0.2863086	0.8640173	0.4988656	0.7764767	0.3306889	0.8542124	0.2430371	0.4242508	1.0721668	0.9834247
750	0.2345800	0.8851149	0.7301327	0.6733567	0.4662821	0.9682738	0.2616449	0.4461835	1.0582422	0.9646308
800	0.2173856	0.9297048	0.9298309	0.6120657	0.5419979	0.9360869	0.2464062	0.4340362	0.9635546	0.9525816
850	0.2362584	0.9648177	0.9313255	0.5434055	0.5247789	1.0035971	0.2127423	0.4230799	0.9854114	0.9084767
900	0.2006749	0.9639649	0.9103354	0.4970441	0.5706695	0.9393254	0.2563015	0.4472869	0.9849785	0.8308375
950	0.2256067	0.9725810	0.9372486	0.5220985	0.6672758	0.9776722	0.2596207	0.4634261	0.9482476	0.9492700
1000	0.1982896	0.9349638	0.8242123	0.4464799	0.7064524	0.9981445	0.2518176	0.4799891	0.9467262	0.9897815

0	0.1989760	0.9836033	0.5777861	0.4268811	0.6781709	1.0957792	0.2379001	0.4865175	1.1384557	1.0756400
50	0.2089945	0.9223420	0.6085059	0.4159399	0.7292153	1.1143698	0.2979562	0.4432772	0.9527688	0.9535431
100	0.2177453	1.0110237	0.6806620	0.4018133	0.6987214	1.0340233	0.2979706	0.4152576	0.9606391	0.9164357
150	0.1978338	1.0073780	0.8978554	0.4486086	0.6634315	0.9682354	0.2783336	0.4737004	1.0082146	0.9986065
200	0.1941342	1.0161915	0.9348461	0.4265417	0.6556837	0.9467791	0.3209253	0.4546387	0.9588423	0.9595353
250	0.1764254	1.0628981	0.9093460	0.4065492	0.5705211	1.0024417	0.2772397	0.5238641	0.9721370	1.0224040
300	0.2438668	1.0768849	0.8672053	0.4377821	0.5965720	0.9519437	0.1961187	0.5527937	0.9604533	0.9770682
