"Time"	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C

0	0.1579843	0.4252245	0.0435914	0.9999902	0.0633971	0.8589023	0.4420636	0.1596342	0.0221351	0.0377056
50	0.3391699	0.4223736	0.0319399	0.9999902	0.0634342	0.8582270	0.4569724	0.2689233	0.0221172	0.0377056
100	0.4706961	0.4140825	0.0193824	0.9999902	0.0645056	0.8452073	0.5201883	0.3610720	0.0220554	0.0377056
150	0.5191510	0.4087205	0.0126427	0.9999900	0.0674253	0.8103326	0.5887942	0.3997304	0.0220083	0.0377054
200	0.5345987	0.4066058	0.0096194	0.9999894	0.0717185	0.7670576	0.6358775	0.4135910	0.0219871	0.0377051
250	0.5392382	0.4059012	0.0083676	0.9999883	0.0764878	0.7308468	0.6620525	0.4182640	0.0219794	0.0377050
300	0.5405875	0.4056744	0.0078711	0.9999869	0.0807784	0.7067775	0.6749645	0.4197966	0.0219769	0.0377048
350	0.5409694	0.4055999	0.0076793	0.9999853	0.0840080	0.6929583	0.6808624	0.4202933	0.0219762	0.0377048
400	0.5410735	0.4055746	0.0076064	0.9999839	0.0861103	0.6857771	0.6834162	0.4204536	0.0219759	0.0377047
450	0.5411000	0.4055659	0.0075789	0.9999828	0.0873304	0.6823037	0.6844794	0.4205054	0.0219759	0.0377047
500	0.5411059	0.4055629	0.0075687	0.9999820	0.0879781	0.6807119	0.6849090	0.4205221	0.0219759	0.0377047
550	0.3548282	0.4060037	0.0192164	0.9999815	0.0882896	0.6803783	0.6782643	0.3108275	0.0219765	0.0377047
600	0.2185206	0.4094505	0.0317725	0.9999812	0.0881110	0.6879112	0.6372148	0.2181301	0.0219878	0.0377047
650	0.1682476	0.4151973	0.0385118	0.9999812	0.0863829	0.7140884	0.5737920	0.1789775	0.0220212	0.0377047
700	0.1544207	0.4199951	0.0415349	0.9999816	0.0823626	0.7539261	0.5172013	0.1649950	0.0220631	0.0377048
750	0.1529442	0.4228251	0.0427867	0.9999827	0.0770053	0.7930039	0.4795757	0.1605858	0.0220963	0.0377050
800	0.1544544	0.4242084	0.0432831	0.9999843	0.0719742	0.8222165	0.4587888	0.1594634	0.0221164	0.0377052
850	0.1559930	0.4248155	0.0434749	0.9999860	0.0682371	0.8404454	0.4487403	0.1593289	0.0221268	0.0377054
900	0.1569808	0.4250652	0.0435478	0.9999874	0.0658790	0.8504409	0.4443952	0.1594167	0.0221316	0.0377055
950	0.1575127	0.4251638	0.0435752	0.9999886	0.0645580	0.8553920	0.4427126	0.1595108	0.0221337	0.0377055
1000	0.1577727	0.4252017	0.0435854	0.9999893	0.0638840	0.8576357	0.4421438	0.1595714	0.0221345	0.0377056

