YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.0011264	0.8576177	0.7519830	0.0464038	0.9193939	0.7041745	0.7846219	0.0024514	0.0581914	0.7552446
0.0228749	0.0000000	0.8587331	0.0821319	0.7581043	0.8130646	0.8288844	0.0123750	0.0416403	0.6643366
0.6816791	0.7281313	0.0000000	0.0705807	0.6674298	0.7269478	0.8626022	0.0510572	0.2351771	0.6951274
0.8056358	0.4213038	0.8022652	0.0000000	0.7429260	0.6599363	0.8375702	0.0156384	0.1478083	0.8159674
0.6631262	0.5061858	0.4720795	0.6737544	0.0000000	0.9035710	0.8082769	0.0079015	0.3228362	0.8483099
0.7069577	0.4400455	0.6966968	0.0788834	0.7070951	0.0000000	0.7426570	0.0021282	0.0954484	0.7102806
0.6666714	0.4932379	1.0521307	0.0381146	0.6374549	0.7252397	0.0000000	0.0177265	0.2152119	0.7667145
0.6780573	0.3706076	0.7352185	0.0487944	0.6028500	0.7964402	0.6985800	0.0000000	0.1543633	0.8496278
0.6293310	0.4930610	0.7309415	0.0590490	0.8403097	0.7469248	0.7362588	0.0149563	0.0000000	0.6862059
0.6442014	0.4656926	0.8306413	0.0351081	0.6912356	0.7538026	0.8640377	0.0107828	0.0608705	0.0000000
