YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.0737834	0.3660299	0.4461333	0.3314592	0.4475708	0.0654871	0.2618388	0.4642533	0.3454543	0.0534758
0.1041901	0.3256112	0.3850523	0.2851460	0.4090878	0.1219984	0.3214434	0.1682366	0.2525811	0.1467371
0.1099451	0.7948132	0.3109203	0.4460660	0.5962993	0.1113179	0.2879508	0.4385462	0.5764622	0.0198859
0.0674296	0.9033866	0.1879490	0.1807328	0.7400902	0.1532504	0.1361176	0.5478191	0.5771404	0.0162519
0.1006985	0.7413440	0.3488165	0.3166292	0.3043969	0.0856707	0.2892995	0.5462317	0.5472069	0.0395699
0.0850876	0.6272383	0.3378976	0.3139235	0.4880525	0.0734833	0.2613887	0.4386587	0.3915787	0.0230631
0.0796180	0.4395937	0.4410430	0.3053066	0.5563944	0.0706696	0.1112637	0.4939221	0.3633621	0.0131472
0.0819095	0.6088033	0.5280827	0.3206825	0.2884661	0.1575995	0.2844450	0.3346359	0.4009092	0.1111136
0.0823542	0.6192448	0.2612273	0.2582335	0.5745245	0.1824964	0.3578718	0.1839915	0.3076032	0.2351744
0.0770125	0.5052897	0.3924892	0.3953790	0.4501199	0.0738803	0.2723304	0.3664873	0.4154513	0.0521390
