"Time"	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C

0	0.0318139	0.0238089	0.0585116	0.5495732	0.0463321	0.0690855	0.1579649	0.3533763	0.1670587	0.6817157
50	0.0305680	0.0415155	0.1123082	0.7174891	0.0258229	0.0760602	0.1389381	0.5061344	0.1842749	0.7705668
100	0.0185542	0.0569293	0.1023661	0.7497465	0.0278479	0.0792091	0.0450301	0.5704193	0.1614998	0.6749075
150	0.0474853	0.0387891	0.1282299	0.6330434	0.0239858	0.0441169	0.0799089	0.6668411	0.1868256	0.7347145
200	0.0556210	0.0407528	0.1138495	0.7052090	0.0090498	0.0549087	0.0959128	0.5289754	0.2336591	0.8210733
250	0.0339293	0.0317824	0.2039255	0.7051840	0.0418713	0.0574038	0.0722690	0.7137964	0.1455445	0.6545620
300	0.0123244	0.0333797	0.1641281	0.7282607	0.0375459	0.0539290	0.0553108	0.6202119	0.2035675	0.6247666
350	0.0133757	0.0595402	0.1439984	0.7132421	0.0305842	0.0472178	0.0500120	0.6375993	0.1694406	0.7481314
400	0.0362006	0.0494818	0.1260137	0.8364006	0.0440783	0.0900519	0.0406723	0.6073072	0.1589328	0.6608434
450	0.0142194	0.0222911	0.1605714	0.6146552	0.0579225	0.0549739	0.0690155	0.5947718	0.1311341	0.7285244
500	0.0234145	0.0354638	0.1392103	0.7873280	0.0307108	0.0341684	0.1201575	0.7391303	0.2345801	0.8053658
550	0.0283782	0.0512618	0.1116166	0.7650685	0.0097871	0.0623005	0.1236178	0.5621666	0.2476668	0.7775862
600	0.0254608	0.0283773	0.1164914	0.6263469	0.0124539	0.0311456	0.0695391	0.6295673	0.1370302	0.5945324
650	0.0234760	0.0254313	0.0411670	0.7951850	0.0580561	0.0256293	0.0799614	0.4482403	0.1746751	0.6948995
700	0.0338463	0.0676946	0.0509731	0.5424657	0.0072892	0.0400180	0.1374580	0.4248038	0.1780669	0.6018749
750	0.0306497	0.0428603	0.0459417	0.5472872	0.0434744	0.0348356	0.1429740	0.4222047	0.1841447	0.6762756
800	0.0130776	0.0455545	0.0255562	0.5312251	0.0090851	0.0589611	0.1132820	0.3633473	0.2280342	0.7248656
850	0.0123825	0.0583870	0.0564300	0.6171529	0.0229415	0.0798588	0.1274995	0.4276964	0.2295560	0.6463210
900	0.0136893	0.0449187	0.0385605	0.6795633	0.0157337	0.0871760	0.1318246	0.3353558	0.1598153	0.6901315
950	0.0282904	0.0295405	0.0249466	0.6434669	0.0214477	0.0663757	0.1712630	0.4123083	0.1160827	0.7383723
1000	0.0437936	0.0394200	0.0236348	0.6237151	0.0413818	0.0392571	0.1603286	0.3679518	0.2055738	0.5626883

0	0.0431240	0.0277562	0.0658113	0.5086984	0.0180758	0.0365827	0.1206816	0.3535410	0.1555159	0.7594053
50	0.0276360	0.0206732	0.1268093	0.5428887	0.0077980	0.0607604	0.1356173	0.3801043	0.1390087	0.6528258
100	0.0154133	0.0363413	0.4275973	0.3158498	0.0224550	0.0571347	0.0885412	0.2974978	0.2432404	0.8030541
150	0.0251053	0.0290682	0.4928664	0.1399389	0.0188281	0.0453313	0.1135800	0.2097578	0.1316450	0.6750148
200	0.0145372	0.0232086	0.5613461	0.1397016	0.0142408	0.0786178	0.1034267	0.1262228	0.0814354	0.5623769
250	0.0153300	0.0139766	0.4942084	0.1775103	0.0225001	0.0732444	0.1330869	0.0757525	0.1731867	0.6507252
