YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.2607183	0.3202121	0.9998451	0.9904401	0.1898421	1.0000000	0.8908944	0.9834323	0.9999740	0.0620040
0.2237074	0.1601062	0.9998451	0.9904401	0.1898421	1.0000000	0.8908945	0.9834323	0.9999740	0.0620040
0.8855856	0.8894913	0.4999226	0.9904401	0.1898421	1.0000000	0.8617851	0.9834321	0.9999740	0.0620040
0.5226951	0.3210986	0.9987455	0.4952221	0.1898421	1.0000000	0.8565315	0.9834321	0.9999740	0.0620040
0.5214304	0.3202086	0.9998493	0.9995950	0.0949211	1.0000000	0.8913178	0.9834339	1.0000000	0.0053766
0.5241290	0.3220453	0.9976058	0.3999811	0.5735649	0.5000000	0.7606937	0.7029581	0.0250106	0.7975941
0.5214356	0.3202121	0.9998451	0.9904401	0.1898421	1.0000000	0.4454455	0.9833741	0.9999740	0.0620040
0.5214356	0.3202121	0.9998451	0.9904401	0.1898421	1.0000000	0.8241194	0.4917193	0.9999740	0.0620040
0.5214356	0.3202121	0.9998451	0.9904401	0.1898421	1.0000000	0.8801925	0.8518868	0.4999893	0.0620040
0.5214356	0.3202121	0.9998451	0.9904401	0.1898421	1.0000000	0.8908944	0.9834338	0.9999996	0.0310045
