"Time"	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W

0	0.0690908	0.3830439	0.8007668	0.6701286	0.1467941	0.3921407	0.0371282	0.5930057	0.0707802	0.7156494
50	0.0801479	0.6093632	0.6551206	0.4703710	0.2406020	0.3132358	0.0120125	0.6314462	0.0394662	0.6484538
100	0.1135162	0.5995597	0.8125028	0.3069744	0.3569915	0.3310083	0.0468263	0.6061253	0.0915845	0.7421140
150	0.0883496	0.6265881	0.5829323	0.2720030	0.3865575	0.4313244	0.0244389	0.6031131	0.0740481	0.7645485
200	0.0560868	0.5534255	0.5594894	0.2051231	0.4041806	0.4638565	0.0165897	0.5274072	0.1181119	0.6628746
250	0.1142624	0.5921551	0.7436653	0.1800833	0.4138587	0.3707763	0.0436934	0.8057476	0.0577964	0.7044921
300	0.0696132	0.6640285	0.6989709	0.2059614	0.4040108	0.4125672	0.0337205	0.5281827	0.0440330	0.6770402
350	0.0982085	0.6774323	0.7924527	0.1484271	0.3608738	0.3100953	0.0364528	0.6153520	0.0272054	0.6626211
400	0.1344502	0.7291180	0.6448355	0.1459333	0.2752701	0.2521511	0.0581178	0.4853265	0.0472828	0.7240595
450	0.1003475	0.6095362	0.6561280	0.2138542	0.4409253	0.2883144	0.0349317	0.5653468	0.0456694	0.7195607
500	0.1047025	0.6043823	0.5797780	0.1921156	0.3992005	0.2197262	0.0527793	0.5500949	0.0394697	0.7530819
550	0.1011405	0.4513963	0.7702619	0.3854243	0.3190623	0.3121716	0.0141701	0.5038309	0.0449896	0.8192890
600	0.1153954	0.4597563	0.7084375	0.5704133	0.2269856	0.3134253	0.0268922	0.6557917	0.0676911	0.7094285
650	0.0999312	0.4696999	0.6875189	0.5446838	0.1867743	0.2995698	0.0306084	0.6858636	0.0437501	0.6680619
700	0.0982459	0.4138656	0.6408822	0.7427888	0.1579234	0.3707226	0.0193259	0.5739592	0.0435508	0.7826097
750	0.1054821	0.4246418	0.7233243	0.6569348	0.1988456	0.2591877	0.0261857	0.6847669	0.0322644	0.6898120
800	0.1063114	0.4483137	0.7581675	0.7218974	0.1466468	0.2752232	0.0143854	0.5961579	0.0412364	0.6721242
850	0.0991019	0.3950914	0.6130286	0.6903143	0.1352218	0.3474514	0.0316532	0.6973650	0.0551929	0.7484642
900	0.1316612	0.3970138	0.6556811	0.8026012	0.1719814	0.3818980	0.0236904	0.6048227	0.0471060	0.6374815
950	0.0803393	0.5570184	0.7229585	0.7798872	0.1974392	0.3853296	0.0296714	0.6576192	0.0533550	0.7660230
1000	0.1135985	0.5719861	0.7335582	0.6672611	0.2262934	0.3068057	0.0358538	0.6513254	0.0485836	0.6975894

0	0.1234070	0.3555633	0.6029992	0.7095138	0.1696657	0.3903652	0.0287526	0.6202791	0.0568647	0.7553592
50	0.0886547	0.4437560	0.7323597	0.5628547	0.2330744	0.2086487	0.0239746	0.4341872	0.0402225	0.3908021
100	0.0918915	0.3484350	0.6799629	0.5057712	0.1402523	0.1397815	0.0362792	0.3705077	0.0542076	0.2250696
150	0.2461395	0.2324147	0.6294375	0.4408321	0.0979984	0.0993429	0.0493931	0.2480655	0.0622371	0.2229015
200	0.2845078	0.1864358	0.7411098	0.5155900	0.0450693	0.0811895	0.0948716	0.1964263	0.1132511	0.0952673
250	0.3678662	0.1271506	0.6463662	0.4605857	0.0547501	0.0422771	0.0665637	0.2424032	0.0968612	0.1277085
300	0.3872472	0.2222487	0.6193364	0.4390126	0.0196751	0.0350199	0.1027081	0.2323049	0.1169516	0.1083120
350	0.3558179	0.1626062	0.4633149	0.3017648	0.0093773	0.0170908	0.1847117	0.2200537	0.1259283	0.0973395
400	0.4382859	0.1656743	0.5261236	0.3078656	0.0178278	0.0171414	0.2079731	0.1916707	0.1626419	0.1606738
450	0.3486894	0.2660609	0.4108458	0.2372600	0.0496043	0.0070518	0.1619166	0.2227939	0.1891508	0.1248246
500	0.4348032	0.2511097	0.4686067	0.4130557	0.0352197	0.0112547	0.2252782	0.2230736	0.2296686	0.0740405
550	0.4588627	0.2094101	0.3783657	0.4562021	0.0067864	0.0732741	0.1609071	0.3201401	0.1548953	0.3426921
